,X,Y,Speed
2,-1320,-398,218
3,-1315,-403,222
4,-1257,-449,225
5,-1177,-511,229
6,-1153,-529,233
7,-1070,-592,239
8,-1063,-599,241
9,-946,-688,243
10,-899,-723,246
11,-826,-780,249
12,-723,-858,253
13,-715,-865,255
14,-648,-916,257
15,-564,-979,259
16,-476,-1047,261
17,-451,-1065,263
18,-371,-1127,263
19,-354,-1139,264
20,-132,-1309,270
21,-123,-1317,272
22,-3,-1410,274
23,66,-1463,276
24,256,-1610,279
25,266,-1617,281
26,354,-1684,283
27,406,-1723,285
28,568,-1848,287
29,682,-1935,290
30,721,-1965,290
31,832,-2050,291
32,992,-2172,292
33,1006,-2183,294
34,1124,-2272,296
35,1162,-2302,297
36,1284,-2395,299
37,1333,-2433,299
38,1491,-2553,299
39,1544,-2594,299
40,1625,-2656,300
41,1690,-2705,301
42,1763,-2761,302
43,1877,-2849,302
44,1889,-2858,302
45,1996,-2940,302
46,2065,-2993,303
47,2103,-3022,303
48,2262,-3147,303
49,2308,-3183,304
50,2881,-3631,301
51,2940,-3679,286
52,2998,-3728,271
53,3065,-3785,254
54,3114,-3825,237
55,3190,-3887,221
56,3286,-3964,195
57,3299,-3974,182
58,3363,-4016,169
59,3364,-4016,156
60,3447,-4050,140
61,3499,-4064,136
62,3514,-4067,133
63,3553,-4073,130
64,3590,-4075,128
65,3613,-4072,126
66,3672,-4056,113
67,3722,-4033,109
68,3741,-4019,106
69,3769,-3985,102
70,3769,-3983,99
71,3786,-3958,96
72,3791,-3946,93
73,3812,-3855,86
74,3813,-3852,85
75,3814,-3823,84
76,3812,-3795,84
77,3805,-3727,85
78,3804,-3725,86
79,3798,-3673,91
80,3788,-3602,97
81,3785,-3582,101
82,3776,-3531,106
83,3769,-3500,111
84,3755,-3439,114
85,3752,-3426,117
86,3748,-3412,120
87,3718,-3325,130
88,3695,-3273,140
89,3665,-3206,145
90,3660,-3196,151
91,3637,-3147,162
92,3615,-3100,168
93,3579,-3022,174
94,3548,-2956,180
95,3541,-2940,184
96,3514,-2881,189
97,3498,-2844,193
98,3480,-2800,197
99,3451,-2722,200
100,3443,-2702,204
101,3416,-2627,211
102,3415,-2622,212
103,3399,-2572,214
104,3393,-2548,216
105,3365,-2442,218
106,3357,-2414,221
107,3333,-2299,225
108,3327,-2220,230
109,3336,-2044,231
110,3353,-1931,233
111,3390,-1775,239
112,3392,-1768,242
113,3424,-1670,246
114,3431,-1654,247
115,3524,-1468,248
116,3532,-1452,250
117,3561,-1408,251
118,3735,-1191,252
119,3737,-1188,254
120,3828,-1106,256
121,3843,-1095,257
122,3951,-1011,259
123,3994,-982,260
124,4216,-845,262
125,4242,-831,263
126,4318,-790,265
127,4331,-784,265
128,4423,-736,266
129,4582,-654,267
130,4651,-617,269
131,4714,-584,269
132,4829,-515,270
133,4856,-496,271
134,4952,-427,272
135,5027,-369,273
136,5062,-344,273
137,5159,-270,273
138,5221,-219,274
139,5342,-113,274
140,5409,-37,274
141,5432,-2,275
142,5544,194,275
143,5551,206,275
144,5621,326,275
145,5655,387,276
146,5727,512,275
147,5838,673,275
148,5839,675,275
149,5938,784,275
150,5939,785,275
151,6076,891,272
152,6091,899,272
153,6268,983,272
154,6328,1011,273
155,6424,1062,274
156,6464,1096,271
157,6546,1180,268
158,6578,1228,266
159,6689,1439,264
160,6720,1509,262
161,6736,1589,260
162,6744,1638,259
163,6796,1864,259
164,6801,1879,260
165,6857,2036,261
166,6900,2132,261
167,6940,2210,261
168,7055,2349,256
169,7057,2351,252
170,7106,2399,249
171,7214,2489,246
172,7289,2541,243
173,7418,2622,240
174,7452,2641,237
175,7547,2684,234
176,7644,2721,231
177,7655,2724,231
178,7905,2756,231
179,7907,2756,231
180,7999,2753,232
181,8061,2739,232
182,8074,2735,232
183,8286,2668,232
184,8288,2667,233
185,8402,2620,235
186,8485,2578,237
187,8495,2574,237
188,8601,2514,238
189,8646,2490,238
190,8696,2463,238
191,8776,2424,239
192,8830,2402,240
193,8898,2381,238
194,8936,2370,236
195,8954,2364,234
196,9049,2344,228
197,9170,2335,222
198,9303,2347,219
199,9379,2378,216
200,9414,2398,214
201,9573,2499,213
202,9574,2500,212
203,9659,2562,212
204,9670,2571,213
205,9761,2660,214
206,9771,2671,215
207,9854,2772,215
208,9906,2842,216
209,9912,2850,211
210,9986,2936,206
211,10043,2999,201
212,10050,3007,196
213,10121,3086,180
214,10141,3106,177
215,10204,3161,175
216,10205,3162,173
217,10235,3182,167
218,10267,3202,161
219,10322,3229,157
220,10429,3256,154
221,10507,3270,150
222,10531,3272,146
223,10564,3268,143
224,10637,3255,141
225,10726,3234,141
226,10756,3222,141
227,10811,3194,141
228,10831,3181,142
229,10893,3138,144
230,10898,3136,145
231,10995,3057,146
232,10997,3054,148
233,11083,2961,150
234,11108,2932,153
235,11137,2910,161
236,11202,2877,169
237,11313,2828,170
238,11383,2812,172
239,11437,2812,174
240,11538,2815,177
241,11539,2815,180
242,11631,2824,183
243,11632,2824,186
244,11738,2835,193
245,11747,2837,196
246,11892,2859,200
247,11945,2870,204
248,11980,2879,207
249,12094,2908,210
250,12140,2920,213
251,12232,2944,217
252,12330,2968,222
253,12351,2974,224
254,12425,2993,227
255,12484,3009,229
256,12558,3029,231
