index,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
504,0 days 01:04:31.467000,SAR,2,0 days 00:01:51.967000,1.0,1.0,0 days 00:17:42.265000,,,0 days 00:00:43.494000,0 days 00:00:35.176000,,0 days 01:03:56.340000,0 days 01:04:31.559000,193.0,178.0,201.0,305.0,False,MEDIUM,1.0,True,Williams,0 days 01:02:39.217000,2023-10-22 19:03:41.450,1,17.0,False,,False,False
505,0 days 01:06:16.858000,SAR,2,0 days 00:01:45.391000,2.0,1.0,,,0 days 00:00:28.681000,0 days 00:00:41.496000,0 days 00:00:35.214000,0 days 01:05:00.142000,0 days 01:05:41.638000,0 days 01:06:16.852000,195.0,180.0,201.0,308.0,True,MEDIUM,2.0,True,Williams,0 days 01:04:31.467000,2023-10-22 19:05:33.700,1,17.0,False,,False,True
506,0 days 01:08:01.615000,SAR,2,0 days 00:01:44.757000,3.0,1.0,,,0 days 00:00:28.417000,0 days 00:00:41.377000,0 days 00:00:34.963000,0 days 01:06:45.269000,0 days 01:07:26.646000,0 days 01:08:01.609000,198.0,172.0,200.0,319.0,True,MEDIUM,3.0,True,Williams,0 days 01:06:16.858000,2023-10-22 19:07:19.091,1,17.0,False,,False,True
507,0 days 01:09:47.038000,SAR,2,0 days 00:01:45.423000,4.0,1.0,,,0 days 00:00:28.376000,0 days 00:00:41.706000,0 days 00:00:35.341000,0 days 01:08:29.985000,0 days 01:09:11.691000,0 days 01:09:47.032000,196.0,179.0,201.0,310.0,False,MEDIUM,4.0,True,Williams,0 days 01:08:01.615000,2023-10-22 19:09:03.848,1,16.0,False,,False,True
508,0 days 01:11:30.774000,SAR,2,0 days 00:01:43.736000,5.0,1.0,,,0 days 00:00:28.112000,0 days 00:00:41.166000,0 days 00:00:34.458000,0 days 01:10:15.144000,0 days 01:10:56.310000,0 days 01:11:30.768000,195.0,179.0,200.0,322.0,True,MEDIUM,5.0,True,Williams,0 days 01:09:47.038000,2023-10-22 19:10:49.271,1,16.0,False,,False,True
509,0 days 01:13:14.418000,SAR,2,0 days 00:01:43.644000,6.0,1.0,,,0 days 00:00:28.185000,0 days 00:00:41.180000,0 days 00:00:34.279000,0 days 01:11:58.953000,0 days 01:12:40.133000,0 days 01:13:14.412000,200.0,181.0,200.0,313.0,True,MEDIUM,6.0,True,Williams,0 days 01:11:30.774000,2023-10-22 19:12:33.007,1,16.0,False,,False,True
510,0 days 01:14:59.358000,SAR,2,0 days 00:01:44.940000,7.0,1.0,,,0 days 00:00:27.973000,0 days 00:00:42.005000,0 days 00:00:34.962000,0 days 01:13:42.385000,0 days 01:14:24.390000,0 days 01:14:59.352000,,176.0,201.0,324.0,False,MEDIUM,7.0,True,Williams,0 days 01:13:14.418000,2023-10-22 19:14:16.651,1,17.0,False,,False,True
511,0 days 01:16:43.638000,SAR,2,0 days 00:01:44.280000,8.0,1.0,,,0 days 00:00:28.137000,0 days 00:00:41.739000,0 days 00:00:34.404000,0 days 01:15:27.489000,0 days 01:16:09.228000,0 days 01:16:43.632000,203.0,183.0,199.0,304.0,False,MEDIUM,8.0,True,Williams,0 days 01:14:59.358000,2023-10-22 19:16:01.591,1,17.0,False,,False,True
512,0 days 01:18:27.362000,SAR,2,0 days 00:01:43.724000,9.0,1.0,,,0 days 00:00:28.047000,0 days 00:00:41.373000,0 days 00:00:34.304000,0 days 01:17:11.679000,0 days 01:17:53.052000,0 days 01:18:27.356000,208.0,182.0,197.0,303.0,False,MEDIUM,9.0,True,Williams,0 days 01:16:43.638000,2023-10-22 19:17:45.871,1,17.0,False,,False,True
513,0 days 01:20:11.550000,SAR,2,0 days 00:01:44.188000,10.0,1.0,,,0 days 00:00:28.016000,0 days 00:00:41.628000,0 days 00:00:34.544000,0 days 01:18:55.372000,0 days 01:19:37,0 days 01:20:11.544000,206.0,181.0,197.0,305.0,False,MEDIUM,10.0,True,Williams,0 days 01:18:27.362000,2023-10-22 19:19:29.595,1,15.0,False,,False,True
514,0 days 01:21:55.120000,SAR,2,0 days 00:01:43.570000,11.0,1.0,,0 days 01:21:54.055000,0 days 00:00:27.824000,0 days 00:00:41.420000,0 days 00:00:34.326000,0 days 01:20:39.368000,0 days 01:21:20.788000,0 days 01:21:55.114000,205.0,180.0,,309.0,False,MEDIUM,11.0,True,Williams,0 days 01:20:11.550000,2023-10-22 19:21:13.783,1,12.0,False,,False,False
515,0 days 01:23:59.256000,SAR,2,0 days 00:02:04.136000,12.0,2.0,0 days 01:22:19.071000,,0 days 00:00:49.151000,0 days 00:00:40.688000,0 days 00:00:34.297000,0 days 01:22:44.265000,0 days 01:23:24.953000,0 days 01:23:59.250000,206.0,184.0,200.0,325.0,False,HARD,1.0,True,Williams,0 days 01:21:55.120000,2023-10-22 19:22:57.353,1,18.0,True,TRACK LIMITS AT TURN 19 LAP 12 ,False,False
516,0 days 01:25:42.439000,SAR,2,0 days 00:01:43.183000,13.0,2.0,,,0 days 00:00:28.314000,0 days 00:00:40.935000,0 days 00:00:33.934000,0 days 01:24:27.564000,0 days 01:25:08.499000,0 days 01:25:42.433000,203.0,179.0,201.0,318.0,True,HARD,2.0,True,Williams,0 days 01:23:59.256000,2023-10-22 19:25:01.489,1,17.0,False,,False,True
517,0 days 01:27:25.538000,SAR,2,0 days 00:01:43.099000,14.0,2.0,,,0 days 00:00:27.804000,0 days 00:00:41.102000,0 days 00:00:34.193000,0 days 01:26:10.237000,0 days 01:26:51.339000,0 days 01:27:25.532000,207.0,182.0,200.0,298.0,True,HARD,3.0,True,Williams,0 days 01:25:42.439000,2023-10-22 19:26:44.672,1,17.0,False,,False,True
518,0 days 01:29:08.231000,SAR,2,0 days 00:01:42.693000,15.0,2.0,,,0 days 00:00:27.765000,0 days 00:00:40.957000,0 days 00:00:33.971000,0 days 01:27:53.297000,0 days 01:28:34.254000,0 days 01:29:08.225000,204.0,183.0,200.0,299.0,True,HARD,4.0,True,Williams,0 days 01:27:25.538000,2023-10-22 19:28:27.771,1,17.0,False,,False,True
519,0 days 01:30:51.302000,SAR,2,0 days 00:01:43.071000,16.0,2.0,,,0 days 00:00:27.897000,0 days 00:00:41.173000,0 days 00:00:34.001000,0 days 01:29:36.122000,0 days 01:30:17.295000,0 days 01:30:51.296000,203.0,179.0,200.0,299.0,False,HARD,5.0,True,Williams,0 days 01:29:08.231000,2023-10-22 19:30:10.464,1,17.0,False,,False,True
520,0 days 01:32:33.717000,SAR,2,0 days 00:01:42.415000,17.0,2.0,,,0 days 00:00:27.726000,0 days 00:00:40.896000,0 days 00:00:33.793000,0 days 01:31:19.022000,0 days 01:31:59.918000,0 days 01:32:33.711000,207.0,182.0,200.0,301.0,True,HARD,6.0,True,Williams,0 days 01:30:51.302000,2023-10-22 19:31:53.535,1,17.0,False,,False,True
