,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,10
1,ALB,2.0,HARD,19
2,ALB,3.0,MEDIUM,27
3,ALO,1.0,MEDIUM,19
4,ALO,2.0,MEDIUM,23
5,ALO,3.0,HARD,7
6,BOT,1.0,MEDIUM,10
7,BOT,2.0,HARD,18
8,BOT,3.0,HARD,28
9,GAS,1.0,MEDIUM,18
10,GAS,2.0,MEDIUM,19
11,GAS,3.0,HARD,19
12,HAM,1.0,MEDIUM,20
13,HAM,2.0,HARD,18
14,HAM,3.0,MEDIUM,18
15,HUL,1.0,HARD,19
16,HUL,2.0,MEDIUM,15
17,HUL,3.0,MEDIUM,22
18,LEC,1.0,MEDIUM,23
19,LEC,2.0,HARD,33
20,MAG,1.0,MEDIUM,10
21,MAG,2.0,HARD,19
22,MAG,3.0,MEDIUM,26
23,NOR,1.0,MEDIUM,17
24,NOR,2.0,HARD,17
25,NOR,3.0,HARD,22
26,OCO,1.0,MEDIUM,6
27,PER,1.0,MEDIUM,17
28,PER,2.0,MEDIUM,20
29,PER,3.0,HARD,19
30,PIA,1.0,MEDIUM,10
31,RIC,1.0,MEDIUM,22
32,RIC,2.0,HARD,25
33,RIC,3.0,SOFT,8
34,RUS,1.0,MEDIUM,21
35,RUS,2.0,HARD,18
36,RUS,3.0,MEDIUM,17
37,SAI,1.0,MEDIUM,17
38,SAI,2.0,MEDIUM,18
39,SAI,3.0,HARD,21
40,SAR,1.0,MEDIUM,11
41,SAR,2.0,HARD,21
42,SAR,3.0,MEDIUM,24
43,STR,1.0,HARD,20
44,STR,2.0,MEDIUM,20
45,STR,3.0,MEDIUM,16
46,TSU,1.0,MEDIUM,17
47,TSU,2.0,HARD,17
48,TSU,3.0,MEDIUM,20
49,TSU,4.0,SOFT,2
50,VER,1.0,MEDIUM,16
51,VER,2.0,MEDIUM,19
52,VER,3.0,HARD,21
53,ZHO,1.0,MEDIUM,9
54,ZHO,2.0,HARD,18
55,ZHO,3.0,HARD,28
