index,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
39,0 days 02:11:13.949000,VER,1,100.028,40.0,3.0,,,0 days 00:00:26.907000,0 days 00:00:40.396000,0 days 00:00:32.725000,0 days 02:10:00.827000,0 days 02:10:41.223000,0 days 02:11:13.948000,222.0,180.0,202.0,290.0,True,HARD,5.0,True,Red Bull Racing,0 days 02:09:33.921000,2023-10-22 20:10:36.154,1,1.0,False,,False,True
40,0 days 02:12:54.398000,VER,1,100.44900000000001,41.0,3.0,,,0 days 00:00:27.036000,0 days 00:00:40.284000,0 days 00:00:33.129000,0 days 02:11:40.984000,0 days 02:12:21.268000,0 days 02:12:54.397000,220.0,178.0,200.0,295.0,False,HARD,6.0,True,Red Bull Racing,0 days 02:11:13.949000,2023-10-22 20:12:16.182,1,1.0,False,,False,True
41,0 days 02:14:34.747000,VER,1,100.349,42.0,3.0,,,0 days 00:00:27.153000,0 days 00:00:40.272000,0 days 00:00:32.924000,0 days 02:13:21.550000,0 days 02:14:01.822000,0 days 02:14:34.746000,221.0,178.0,199.0,298.0,False,HARD,7.0,True,Red Bull Racing,0 days 02:12:54.398000,2023-10-22 20:13:56.631,1,1.0,False,,False,True
42,0 days 02:16:14.959000,VER,1,100.212,43.0,3.0,,,0 days 00:00:27.009000,0 days 00:00:40.468000,0 days 00:00:32.735000,0 days 02:15:01.755000,0 days 02:15:42.223000,0 days 02:16:14.958000,,178.0,201.0,293.0,False,HARD,8.0,True,Red Bull Racing,0 days 02:14:34.747000,2023-10-22 20:15:36.980,1,1.0,False,,False,True
43,0 days 02:17:55.729000,VER,1,100.77000000000001,44.0,3.0,,,0 days 00:00:27.067000,0 days 00:00:40.748000,0 days 00:00:32.955000,0 days 02:16:42.025000,0 days 02:17:22.773000,0 days 02:17:55.728000,,179.0,202.0,290.0,False,HARD,9.0,True,Red Bull Racing,0 days 02:16:14.959000,2023-10-22 20:17:17.192,1,1.0,False,,False,True
44,0 days 02:19:35.974000,VER,1,100.245,45.0,3.0,,,0 days 00:00:26.856000,0 days 00:00:40.566000,0 days 00:00:32.823000,0 days 02:18:22.584000,0 days 02:19:03.150000,0 days 02:19:35.973000,223.0,178.0,203.0,290.0,False,HARD,10.0,True,Red Bull Racing,0 days 02:17:55.729000,2023-10-22 20:18:57.962,1,1.0,False,,False,True
45,0 days 02:21:16.562000,VER,1,100.58800000000001,46.0,3.0,,,0 days 00:00:27.175000,0 days 00:00:40.548000,0 days 00:00:32.865000,0 days 02:20:03.148000,0 days 02:20:43.696000,0 days 02:21:16.561000,218.0,180.0,202.0,288.0,False,HARD,11.0,True,Red Bull Racing,0 days 02:19:35.974000,2023-10-22 20:20:38.207,1,1.0,False,,False,True
46,0 days 02:22:56.872000,VER,1,100.31,47.0,3.0,,,0 days 00:00:26.972000,0 days 00:00:40.508000,0 days 00:00:32.830000,0 days 02:21:43.533000,0 days 02:22:24.041000,0 days 02:22:56.871000,217.0,181.0,202.0,290.0,False,HARD,12.0,True,Red Bull Racing,0 days 02:21:16.562000,2023-10-22 20:22:18.795,1,1.0,False,,False,True
47,0 days 02:24:37.201000,VER,1,100.32900000000001,48.0,3.0,,,0 days 00:00:26.999000,0 days 00:00:40.614000,0 days 00:00:32.716000,0 days 02:23:23.870000,0 days 02:24:04.484000,0 days 02:24:37.200000,219.0,181.0,203.0,290.0,False,HARD,13.0,True,Red Bull Racing,0 days 02:22:56.872000,2023-10-22 20:23:59.105,1,1.0,False,,False,True
48,0 days 02:26:17.619000,VER,1,100.418,49.0,3.0,,,0 days 00:00:27.127000,0 days 00:00:40.459000,0 days 00:00:32.832000,0 days 02:25:04.327000,0 days 02:25:44.786000,0 days 02:26:17.618000,222.0,180.0,202.0,292.0,False,HARD,14.0,True,Red Bull Racing,0 days 02:24:37.201000,2023-10-22 20:25:39.434,1,1.0,False,,False,True
49,0 days 02:27:57.828000,VER,1,100.209,50.0,3.0,,,0 days 00:00:26.959000,0 days 00:00:40.455000,0 days 00:00:32.795000,0 days 02:26:44.577000,0 days 02:27:25.032000,0 days 02:27:57.827000,,181.0,203.0,294.0,False,HARD,15.0,True,Red Bull Racing,0 days 02:26:17.619000,2023-10-22 20:27:19.852,1,1.0,False,,False,True
50,0 days 02:29:37.927000,VER,1,100.099,51.0,3.0,,,0 days 00:00:26.759000,0 days 00:00:40.384000,0 days 00:00:32.956000,0 days 02:28:24.586000,0 days 02:29:04.970000,0 days 02:29:37.926000,225.0,177.0,202.0,295.0,False,HARD,16.0,True,Red Bull Racing,0 days 02:27:57.828000,2023-10-22 20:29:00.061,1,1.0,False,,False,True
