Driver,LaptimeB,GapTB,LaptimeS,GapTS,LaptimeA,GapTA,LaptimeBa,GapTBa,LaptimeM,GapTM,Gap5races,GapTeamate,AvgGap,Team
VER,89.708,0,88.761,0.496,0,0,100.391,0,86.814,0,0.496,0.227,0.05675,Red Bull
PER,89.846,0.138,88.265,0,0,0,100.495,0.104,86.841,0.027,0.269,0,0,Red Bull
ALO,90.336,0,88.73,0,77.139,0,101.253,0,87.202,0,0,0,0,Aston Martin
STR,90.836,0.5,88.945,0.215,77.308,0.169,101.611,0.358,88.476,1.274,2.516,2.516,0.5032,Aston Martin
LEC,90,0,88.42,0,77.369,0.099,100.203,0,86.964,0,0.099,0,0,Ferrari
SAI,90.154,0.154,88.931,0.511,77.27,0,101.016,0.813,87.349,0.385,1.863,1.764,0.3528,Ferrari
HAM,90.384,0.044,89.223,0.366,77.104,0.136,101.177,0,87.846,0.103,0.649,0.172,0.0344,Mercedes
RUS,90.34,0,88.857,0,76.968,0,101.654,0.477,87.743,0,0.477,0,0,Mercedes
NOR,91.381,0,90.447,1.204,78.119,0,101.281,0,88.394,0,1.204,0,0,McLaren
PIA,92.101,0.72,89.243,0,78.517,0.398,101.611,0.33,88.484,0.09,1.538,0.334,0.0668,McLaren
GAS,92.181,1.267,89.357,0.279,77.675,0,104.853,3.055,87.612,0.168,4.769,4.676,0.9352,Alpine
OCO,90.914,0,89.078,0,77.768,0.093,101.798,0,87.444,0,0.093,0,0,Alpine
MAG,91.892,1.083,89.634,0.183,78.129,0.394,103.417,0.662,87.673,0,2.322,2.092,0.4184,Haas
HUL,90.809,0,89.451,0,77.735,0,102.755,0,87.903,0.23,0.23,0,0,Haas
ALB,91.461,0,0,0,77.609,0,101.818,0,87.795,0,0,0,0,Williams
SAR,91.652,0.191,0,0,78.557,0.948,102.395,0.577,88.577,0.782,2.498,2.498,0.6245,Williams
TSU,91.4,0,89.939,0,78.099,0,0,0,88.429,0.104,0.104,0,0,AlphaTauri
DEV,92.121,0.721,90.244,0.305,78.335,0.236,0,0,88.325,0,1.262,1.158,0.2895,AlphaTauri
ZHO,91.473,0.03,89.461,0,78.54,0,102.642,0.383,88.091,0.527,0.94,0.298,0.0596,Alfa Romeo
BOT,91.443,0,89.929,0.468,78.714,0.174,102.259,0,87.564,0,0.642,0,0,Alfa Romeo
