Lap,Position,Driver,,
0,18.00,PIA,,-
1,13.00,PIA,,
2,12.00,PIA,,
3,12.00,PIA,,
4,11.00,PIA,,
5,11.00,PIA,,
6,11.00,PIA,,
7,10.00,PIA,,
8,9.00,PIA,,
9,9.00,PIA,,
10,8.00,PIA,,
11,8.00,PIA,,
12,8.00,PIA,,
13,8.00,PIA,,
14,7.00,PIA,,
15,7.00,PIA,,
16,9.00,PIA,,
17,16.00,PIA,,
18,13.00,PIA,,
19,12.00,PIA,,
20,12.00,PIA,,
21,11.00,PIA,,
22,10.00,PIA,,
23,10.00,PIA,,
24,10.00,PIA,,
25,9.00,PIA,,
26,9.00,PIA,,
27,4.00,PIA,,
28,4.00,PIA,,
29,3.00,PIA,,
30,3.00,PIA,,
31,3.00,PIA,,
32,3.00,PIA,,
33,4.00,PIA,,
34,4.00,PIA,,
35,4.00,PIA,,
36,4.00,PIA,,
37,4.00,PIA,,
38,4.00,PIA,,
39,4.00,PIA,,
40,4.00,PIA,,
41,4.00,PIA,,
42,4.00,PIA,,
43,5.00,PIA,,
44,11.00,PIA,,
45,11.00,PIA,,
46,11.00,PIA,,
47,11.00,PIA,,
48,10.00,PIA,,
49,10.00,PIA,,
50,10.00,PIA,,
0,19.00,STR,,
1,9.00,STR,,
2,9.00,STR,,
3,10.00,STR,,
4,15.00,STR,,
5,15.00,STR,,
6,15.00,STR,,
7,15.00,STR,,
8,15.00,STR,,
9,15.00,STR,,
10,15.00,STR,,
11,15.00,STR,,
12,13.00,STR,,
13,13.00,STR,,
14,12.00,STR,,
15,10.00,STR,,
16,8.00,STR,,
17,5.00,STR,,
18,4.00,STR,,
19,4.00,STR,,
20,3.00,STR,,
21,3.00,STR,,
22,2.00,STR,,
23,2.00,STR,,
24,2.00,STR,,
25,3.00,STR,,
26,3.00,STR,,
27,7.00,STR,,
28,7.00,STR,,
29,8.00,STR,,
30,8.00,STR,,
31,8.00,STR,,
32,8.00,STR,,
33,8.00,STR,,
34,8.00,STR,,
35,7.00,STR,,
36,7.00,STR,,
37,7.00,STR,,
38,7.00,STR,,
39,7.00,STR,,
40,7.00,STR,,
41,6.00,STR,,
42,6.00,STR,,
43,6.00,STR,,
44,5.00,STR,,
45,5.00,STR,,
46,5.00,STR,,
47,5.00,STR,,
48,6.00,STR,,
49,6.00,STR,,
50,6.00,STR,,
0,16.00,OCO,,
1,8.00,OCO,,
2,8.00,OCO,,
3,7.00,OCO,,
4,7.00,OCO,,
5,7.00,OCO,,
6,8.00,OCO,,
7,8.00,OCO,,
8,8.00,OCO,,
9,7.00,OCO,,
10,7.00,OCO,,
11,7.00,OCO,,
12,7.00,OCO,,
13,7.00,OCO,,
14,6.00,OCO,,
15,6.00,OCO,,
16,4.00,OCO,,
17,2.00,OCO,,
18,3.00,OCO,,
19,3.00,OCO,,
20,5.00,OCO,,
21,12.00,OCO,,
22,12.00,OCO,,
23,12.00,OCO,,
24,11.00,OCO,,
25,10.00,OCO,,
26,10.00,OCO,,
27,6.00,OCO,,
28,6.00,OCO,,
29,6.00,OCO,,
30,6.00,OCO,,
31,6.00,OCO,,
32,6.00,OCO,,
33,6.00,OCO,,
34,5.00,OCO,,
35,5.00,OCO,,
36,5.00,OCO,,
37,5.00,OCO,,
38,5.00,OCO,,
39,5.00,OCO,,
40,5.00,OCO,,
41,5.00,OCO,,
42,5.00,OCO,,
43,4.00,OCO,,
44,4.00,OCO,,
45,4.00,OCO,,
46,4.00,OCO,,
47,4.00,OCO,,
48,4.00,OCO,,
49,4.00,OCO,,
50,5.00,OCO,,
0,12.00,SAI,,
1,18.00,SAI,,
2,17.00,SAI,,
3,16.00,SAI,,
4,17.00,SAI,,
5,17.00,SAI,,
6,17.00,SAI,,
7,18.00,SAI,,
8,18.00,SAI,,
9,18.00,SAI,,
10,17.00,SAI,,
11,16.00,SAI,,
12,15.00,SAI,,
13,14.00,SAI,,
14,13.00,SAI,,
15,12.00,SAI,,
16,10.00,SAI,,
17,6.00,SAI,,
18,5.00,SAI,,
19,5.00,SAI,,
20,4.00,SAI,,
21,4.00,SAI,,
22,4.00,SAI,,
23,4.00,SAI,,
24,6.00,SAI,,
25,6.00,SAI,,
26,6.00,SAI,,
27,10.00,SAI,,
28,10.00,SAI,,
29,10.00,SAI,,
30,10.00,SAI,,
31,10.00,SAI,,
32,10.00,SAI,,
33,10.00,SAI,,
34,10.00,SAI,,
35,10.00,SAI,,
36,10.00,SAI,,
37,10.00,SAI,,
38,10.00,SAI,,
39,10.00,SAI,,
40,9.00,SAI,,
41,9.00,SAI,,
42,9.00,SAI,,
43,9.00,SAI,,
44,7.00,SAI,,
45,7.00,SAI,,
46,7.00,SAI,,
47,7.00,SAI,,
48,7.00,SAI,,
49,7.00,SAI,,
50,7.00,SAI,,
0,11.00,PER,,
1,11.00,PER,,
2,18.00,PER,,
3,17.00,PER,,
4,16.00,PER,,
5,16.00,PER,,
6,16.00,PER,,
7,16.00,PER,,
8,16.00,PER,,
9,16.00,PER,,
10,14.00,PER,,
11,13.00,PER,,
12,12.00,PER,,
13,12.00,PER,,
14,10.00,PER,,
15,9.00,PER,,
16,6.00,PER,,
17,3.00,PER,,
18,2.00,PER,,
19,2.00,PER,,
20,2.00,PER,,
21,2.00,PER,,
