index,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1,0 days 00:19:38.988000,LEC,16,94.89800000000001,2.0,1.0,,,0 days 00:00:27.111000,0 days 00:00:31.481000,0 days 00:00:36.306000,0 days 00:18:31.201000,0 days 00:19:02.682000,0 days 00:19:38.988000,184.0,214.0,320.0,342.0,True,SOFT,2.0,True,Ferrari,0 days 00:18:04.090000,2023-11-18 08:03:05.286,1,,False,,False,True
3,0 days 00:23:16.872000,LEC,16,94.072,4.0,1.0,,,0 days 00:00:26.743000,0 days 00:00:31.193000,0 days 00:00:36.136000,0 days 00:22:09.543000,0 days 00:22:40.736000,0 days 00:23:16.872000,187.0,213.0,319.0,342.0,True,SOFT,4.0,True,Ferrari,0 days 00:21:42.800000,2023-11-18 08:06:43.996,1,,False,,False,True
6,0 days 00:29:05.737000,LEC,16,93.617,7.0,1.0,,,0 days 00:00:26.578000,0 days 00:00:31.046000,0 days 00:00:35.993000,0 days 00:27:58.698000,0 days 00:28:29.744000,0 days 00:29:05.737000,184.0,214.0,319.0,343.0,True,SOFT,7.0,True,Ferrari,0 days 00:27:32.120000,2023-11-18 08:12:33.316,1,,False,,False,True
9,0 days 00:44:14.842000,LEC,16,93.96600000000001,10.0,2.0,,,0 days 00:00:26.757000,0 days 00:00:31.041000,0 days 00:00:36.168000,0 days 00:43:07.633000,0 days 00:43:38.674000,0 days 00:44:14.842000,187.0,214.0,317.0,343.0,True,SOFT,10.0,False,Ferrari,0 days 00:42:40.876000,2023-11-18 08:27:42.072,1,,False,,False,True
12,0 days 00:50:07.782000,LEC,16,92.834,13.0,3.0,,,0 days 00:00:26.295000,0 days 00:00:30.684000,0 days 00:00:35.855000,0 days 00:49:01.243000,0 days 00:49:31.927000,0 days 00:50:07.782000,189.0,216.0,316.0,343.0,True,SOFT,2.0,True,Ferrari,0 days 00:48:34.948000,2023-11-18 08:33:36.144,1,,False,,False,True
15,0 days 00:55:47.078000,LEC,16,92.775,16.0,3.0,,,0 days 00:00:26.255000,0 days 00:00:30.647000,0 days 00:00:35.873000,0 days 00:54:40.558000,0 days 00:55:11.205000,0 days 00:55:47.078000,188.0,217.0,314.0,342.0,True,SOFT,5.0,True,Ferrari,0 days 00:54:14.303000,2023-11-18 08:39:15.499,1,,False,,False,True
18,0 days 01:06:57.373000,LEC,16,93.021,19.0,4.0,,,0 days 00:00:26.079000,0 days 00:00:31.075000,0 days 00:00:35.867000,0 days 01:05:50.431000,0 days 01:06:21.506000,0 days 01:06:57.373000,187.0,212.0,320.0,345.0,True,SOFT,2.0,True,Ferrari,0 days 01:05:24.352000,2023-11-18 08:50:25.548,1,,False,,False,True
21,0 days 01:14:51.787000,LEC,16,92.726,22.0,5.0,,,0 days 00:00:26.224000,0 days 00:00:30.652000,0 days 00:00:35.850000,0 days 01:13:45.285000,0 days 01:14:15.937000,0 days 01:14:51.787000,189.0,217.0,318.0,341.0,True,SOFT,2.0,True,Ferrari,0 days 01:13:19.061000,2023-11-18 08:58:20.257,1,,False,,False,True
24,0 days 00:19:33.008000,SAI,55,96.352,2.0,1.0,,,0 days 00:00:27.711000,0 days 00:00:32.163000,0 days 00:00:36.478000,0 days 00:18:24.367000,0 days 00:18:56.530000,0 days 00:19:33.008000,181.0,211.0,320.0,333.0,True,SOFT,2.0,True,Ferrari,0 days 00:17:56.656000,2023-11-18 08:02:57.852,1,,False,,False,True
26,0 days 00:23:09.522000,SAI,55,94.787,4.0,1.0,,,0 days 00:00:26.985000,0 days 00:00:31.465000,0 days 00:00:36.337000,0 days 00:22:01.720000,0 days 00:22:33.185000,0 days 00:23:09.522000,184.0,213.0,317.0,338.0,True,SOFT,4.0,True,Ferrari,0 days 00:21:34.735000,2023-11-18 08:06:35.931,1,,False,,False,True
29,0 days 00:28:58.581000,SAI,55,93.851,7.0,1.0,,,0 days 00:00:26.560000,0 days 00:00:31.248000,0 days 00:00:36.043000,0 days 00:27:51.290000,0 days 00:28:22.538000,0 days 00:28:58.581000,187.0,214.0,318.0,340.0,True,SOFT,7.0,True,Ferrari,0 days 00:27:24.730000,2023-11-18 08:12:25.926,1,,False,,False,True
32,0 days 00:43:55.210000,SAI,55,94.146,10.0,2.0,,,0 days 00:00:26.774000,0 days 00:00:31.241000,0 days 00:00:36.131000,0 days 00:42:47.838000,0 days 00:43:19.079000,0 days 00:43:55.210000,187.0,214.0,316.0,345.0,True,SOFT,10.0,False,Ferrari,0 days 00:42:21.064000,2023-11-18 08:27:22.260,1,,False,,False,True
35,0 days 00:50:15.118000,SAI,55,93.33800000000001,13.0,3.0,,,0 days 00:00:26.458000,0 days 00:00:31.023000,0 days 00:00:35.857000,0 days 00:49:08.238000,0 days 00:49:39.261000,0 days 00:50:15.118000,188.0,215.0,316.0,343.0,True,SOFT,2.0,True,Ferrari,0 days 00:48:41.780000,2023-11-18 08:33:42.976,1,,False,,False,True
40,0 days 01:06:50.583000,SAI,55,93.043,18.0,4.0,,,0 days 00:00:26.270000,0 days 00:00:31.033000,0 days 00:00:35.740000,0 days 01:05:43.810000,0 days 01:06:14.843000,0 days 01:06:50.583000,188.0,216.0,320.0,345.0,True,SOFT,2.0,True,Ferrari,0 days 01:05:17.540000,2023-11-18 08:50:18.736,1,,False,,False,True
44,0 days 01:15:37.091000,SAI,55,92.77000000000001,22.0,5.0,,,0 days 00:00:26.157000,0 days 00:00:30.772000,0 days 00:00:35.841000,0 days 01:14:30.478000,0 days 01:15:01.250000,0 days 01:15:37.091000,187.0,216.0,316.0,342.0,True,SOFT,3.0,True,Ferrari,0 days 01:14:04.321000,2023-11-18 08:59:05.517,1,,False,,False,True
47,0 days 00:21:50.412000,VER,1,94.98700000000001,2.0,1.0,,,0 days 00:00:27.083000,0 days 00:00:31.542000,0 days 00:00:36.362000,0 days 00:20:42.508000,0 days 00:21:14.050000,0 days 00:21:50.412000,184.0,212.0,318.0,339.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:20:15.425000,2023-11-18 08:05:16.621,1,,False,,False,True
50,0 days 00:27:44.689000,VER,1,94.19000000000001,5.0,1.0,,,0 days 00:00:26.782000,0 days 00:00:31.212000,0 days 00:00:36.196000,0 days 00:26:37.281000,0 days 00:27:08.493000,0 days 00:27:44.689000,186.0,213.0,319.0,343.0,True,SOFT,5.0,True,Red Bull Racing,0 days 00:26:10.499000,2023-11-18 08:11:11.695,1,,False,,False,True
55,0 days 00:49:24.119000,VER,1,93.607,10.0,2.0,,,0 days 00:00:26.624000,0 days 00:00:30.994000,0 days 00:00:35.989000,0 days 00:48:17.136000,0 days 00:48:48.130000,0 days 00:49:24.119000,187.0,215.0,318.0,344.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:47:50.512000,2023-11-18 08:32:51.708,1,,False,,False,True
