Driver ,Time ,Gap ,Team
VER,71.365,0,Red Bull
ALO,71.449,0.084,Aston Martin
LEC,71.471,0.106,Ferrari
OCO,71.553,0.188,Alpine
SAI,71.63,0.265,Ferrari
HAM,71.725,0.36,Mercedes
GAS,71.933,0.568,Alpine
RUS,71.964,0.599,Mercedes
TSU,72.082,0.717,AlphaTauri
NOR,72.254,0.889,McLaren
PIA,72.395,1.03,McLaren
DEV,72.428,1.063,AlphaTauri
ALB,72.527,1.162,Williams
STR,72.623,1.258,Aston Martin
BOT,72.625,1.26,Alfa Romeo 
SAR,73.113,1.748,Williams
MAG,73.27,1.905,Haas
HUL,73.279,1.914,Haas
ZHO,73.523,2.158,Alfa Romeo 
PER,73.85,2.485,Red Bull
