LapNumber,Team,Driver,LapTimeSeconds,Compound,,,,,,,,,,,,,,,,,,,,,,,
30,Alpine,OCO,77.334,MEDIUM,,,,,,,,,,,,,,,,,,,,,,,
31,Alpine,OCO,77.331,MEDIUM,,,,,,,,,,,,,,,,,,,,,,,
32,Alpine,OCO,94.668,MEDIUM,,,,,,,,,,,,,,,,,,,,,,,
33,Alpine,OCO,79.289,HARD,,,,,,,,,,,,,,,,,,,,,,,
34,Alpine,OCO,76.95,HARD,,,,,,,,,,,,,,,,,,,,,,,
35,Alpine,OCO,77.095,HARD,,,,,,,,,,,,,,,,,,,,,,,
30,Ferrari,SAI,77.22,HARD,,,,,,,,,,,,,,,,,,,,,,,
31,Ferrari,SAI,77.465,HARD,,,,,,,,,,,,,,,,,,,,,,,
32,Ferrari,SAI,77.18,HARD,,,,,,,,,,,,,,,,,,,,,,,
33,Ferrari,SAI,93.612,HARD,,,,,,,,,,,,,,,,,,,,,,,
34,Ferrari,SAI,80.767,MEDIUM,,,,,,,,,,,,,,,,,,,,,,,
35,Ferrari,SAI,76.628,MEDIUM,,,,,,,,,,,,,,,,,,,,,,,
30,Mercedes,HAM,77.742,MEDIUM,,,,,,,,,,,,,,,,,,,,,,,
31,Mercedes,HAM,95.467,MEDIUM,,,,,,,,,,,,,,,,,,,,,,,
32,Mercedes,HAM,78.165,HARD,,,,,,,,,,,,,,,,,,,,,,,
33,Mercedes,HAM,75.65,HARD,,,,,,,,,,,,,,,,,,,,,,,
34,Mercedes,HAM,78.357,HARD,,,,,,,,,,,,,,,,,,,,,,,
35,Mercedes,HAM,77.159,HARD,,,,,,,,,,,,,,,,,,,,,,,
