,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,LapTimeSeconds,PitInSeconds,PitOutSeconds
55,0 days 02:16:27.418000,1,0 days 00:01:46.131000,56,0 days 02:14:41.935000,,30.769000000000002,48.885000000000005,26.477,0 days 02:15:12.056000,0 days 02:16:00.941000,0 days 02:16:27.418000,104.0,137.0,247.0,250.0,False,INTERMEDIATE,1.0,True,2,0 days 02:14:41.287000,Red Bull Racing,VER,2,False,2023-05-28 14:15:42.264,106.131,,8081.935
56,0 days 02:18:10.882000,1,0 days 00:01:43.464000,57,,,28.427000000000003,48.738,26.299000000000003,0 days 02:16:55.845000,0 days 02:17:44.583000,0 days 02:18:10.882000,117.0,125.0,250.0,261.0,False,INTERMEDIATE,2.0,True,2,0 days 02:16:27.418000,Red Bull Racing,VER,1,True,2023-05-28 14:17:28.395,103.46400000000001,,
57,0 days 02:19:53.690000,1,0 days 00:01:42.808000,58,,,28.298000000000002,47.828,26.682000000000002,0 days 02:18:39.180000,0 days 02:19:27.008000,0 days 02:19:53.690000,124.0,136.0,248.0,258.0,False,INTERMEDIATE,3.0,True,2,0 days 02:18:10.882000,Red Bull Racing,VER,2,True,2023-05-28 14:19:11.859,102.808,,
58,0 days 02:21:37.481000,1,0 days 00:01:43.791000,59,,,28.509,48.45,26.832,0 days 02:20:22.199000,0 days 02:21:10.649000,0 days 02:21:37.481000,123.0,127.0,242.0,258.0,False,INTERMEDIATE,4.0,True,2,0 days 02:19:53.690000,Red Bull Racing,VER,2,True,2023-05-28 14:20:54.667,103.79100000000001,,
59,0 days 02:23:19.021000,1,0 days 00:01:41.540000,60,,,28.156000000000002,47.156000000000006,26.228,0 days 02:22:05.637000,0 days 02:22:52.793000,0 days 02:23:19.021000,127.0,135.0,251.0,262.0,False,INTERMEDIATE,5.0,True,2,0 days 02:21:37.481000,Red Bull Racing,VER,2,True,2023-05-28 14:22:38.458,101.54,,
60,0 days 02:24:59.818000,1,0 days 00:01:40.797000,61,,,26.984,47.662000000000006,26.151000000000003,0 days 02:23:46.005000,0 days 02:24:33.667000,0 days 02:24:59.818000,133.0,130.0,254.0,261.0,False,INTERMEDIATE,6.0,True,2,0 days 02:23:19.021000,Red Bull Racing,VER,2,True,2023-05-28 14:24:19.998,100.79700000000001,,
61,0 days 02:26:39.090000,1,0 days 00:01:39.272000,62,,,26.805000000000003,46.575,25.892000000000003,0 days 02:25:26.623000,0 days 02:26:13.198000,0 days 02:26:39.090000,137.0,132.0,254.0,265.0,False,INTERMEDIATE,7.0,True,2,0 days 02:24:59.818000,Red Bull Racing,VER,1,True,2023-05-28 14:26:00.795,99.272,,
62,0 days 02:28:18.700000,1,0 days 00:01:39.610000,63,,,26.537000000000003,47.112,25.961000000000002,0 days 02:27:05.627000,0 days 02:27:52.739000,0 days 02:28:18.700000,140.0,118.0,254.0,264.0,False,INTERMEDIATE,8.0,True,2,0 days 02:26:39.090000,Red Bull Racing,VER,1,True,2023-05-28 14:27:40.067,99.61,,
63,0 days 02:29:57.064000,1,0 days 00:01:38.364000,64,,,26.081000000000003,46.953,25.330000000000002,0 days 02:28:44.781000,0 days 02:29:31.734000,0 days 02:29:57.064000,143.0,132.0,256.0,266.0,False,INTERMEDIATE,9.0,True,2,0 days 02:28:18.700000,Red Bull Racing,VER,1,True,2023-05-28 14:29:19.677,98.364,,
64,0 days 02:31:34.224000,1,0 days 00:01:37.160000,65,,,25.762,46.617000000000004,24.781000000000002,0 days 02:30:22.826000,0 days 02:31:09.443000,0 days 02:31:34.224000,145.0,138.0,255.0,265.0,False,INTERMEDIATE,10.0,True,2,0 days 02:29:57.064000,Red Bull Racing,VER,1,True,2023-05-28 14:30:58.041,97.16000000000001,,
65,0 days 02:33:08.259000,1,0 days 00:01:34.035000,66,,,25.164,45.389,23.482000000000003,0 days 02:31:59.388000,0 days 02:32:44.777000,0 days 02:33:08.259000,,134.0,257.0,263.0,False,INTERMEDIATE,11.0,True,2,0 days 02:31:34.224000,Red Bull Racing,VER,1,True,2023-05-28 14:32:35.201,94.03500000000001,,
66,0 days 02:34:41.180000,1,0 days 00:01:32.921000,67,,,24.664,45.275000000000006,22.982000000000003,0 days 02:33:32.923000,0 days 02:34:18.198000,0 days 02:34:41.180000,148.0,140.0,259.0,265.0,False,INTERMEDIATE,12.0,True,2,0 days 02:33:08.259000,Red Bull Racing,VER,1,True,2023-05-28 14:34:09.236,92.921,,
67,0 days 02:36:14.839000,1,0 days 00:01:33.659000,68,,,24.462000000000003,45.428000000000004,23.769000000000002,0 days 02:35:05.642000,0 days 02:35:51.070000,0 days 02:36:14.839000,149.0,133.0,258.0,267.0,False,INTERMEDIATE,13.0,True,2,0 days 02:34:41.180000,Red Bull Racing,VER,1,True,2023-05-28 14:35:42.157,93.659,,
