,X,Y,Speed
2,-7662,-6584,279
3,-7668,-6519,280
4,-7680,-6368,282
5,-7681,-6301,283
6,-7678,-6190,285
7,-7671,-6032,286
8,-7662,-5899,288
9,-7657,-5841,289
10,-7653,-5806,290
11,-7639,-5673,289
12,-7635,-5634,279
13,-7618,-5524,269
14,-7614,-5500,256
15,-7590,-5379,243
16,-7563,-5247,229
17,-7544,-5163,216
18,-7525,-5093,193
19,-7523,-5089,171
20,-7503,-5014,158
21,-7488,-4966,145
22,-7482,-4945,136
23,-7438,-4821,127
24,-7435,-4812,124
25,-7421,-4776,122
26,-7409,-4758,120
27,-7313,-4667,118
28,-7299,-4657,118
29,-7247,-4634,118
30,-7217,-4628,118
31,-7195,-4623,118
32,-7157,-4615,121
33,-7071,-4602,125
34,-7061,-4601,131
35,-6995,-4594,138
36,-6945,-4590,145
37,-6857,-4583,150
38,-6850,-4582,155
39,-6723,-4571,164
40,-6643,-4562,174
41,-6579,-4554,180
42,-6539,-4549,186
43,-6460,-4536,193
44,-6384,-4521,194
45,-6225,-4486,195
46,-6190,-4478,201
47,-6133,-4464,208
48,-6026,-4437,216
49,-5985,-4427,218
50,-5842,-4392,220
51,-5802,-4382,222
52,-5744,-4367,226
53,-5698,-4356,228
54,-5562,-4321,230
55,-5554,-4319,232
56,-5393,-4277,236
57,-5388,-4276,237
58,-5342,-4265,238
59,-5312,-4258,240
60,-5112,-4222,244
61,-5078,-4217,246
62,-4941,-4203,249
63,-4869,-4197,252
64,-4760,-4186,253
65,-4643,-4165,255
66,-4612,-4158,256
67,-4496,-4120,258
68,-4439,-4095,258
69,-4344,-4048,258
70,-4253,-4002,259
71,-4183,-3966,260
72,-4108,-3930,262
73,-4016,-3888,265
74,-3933,-3855,266
75,-3680,-3777,267
76,-3660,-3771,268
77,-3525,-3746,269
78,-3518,-3745,270
79,-3301,-3716,271
80,-3276,-3713,273
81,-3167,-3701,272
82,-3062,-3686,264
83,-2944,-3665,256
84,-2893,-3654,256
85,-2794,-3627,256
86,-2627,-3549,239
87,-2585,-3523,228
88,-2521,-3477,217
89,-2428,-3392,207
90,-2413,-3376,197
91,-2353,-3294,189
92,-2346,-3282,185
93,-2310,-3210,182
94,-2288,-3151,179
95,-2270,-3069,175
96,-2270,-3064,173
97,-2262,-2944,171
98,-2262,-2939,168
99,-2270,-2811,165
100,-2281,-2775,165
101,-2324,-2642,166
102,-2340,-2602,167
103,-2347,-2591,168
104,-2369,-2550,169
105,-2415,-2471,169
106,-2428,-2451,169
107,-2453,-2412,169
108,-2502,-2350,172
109,-2575,-2261,176
110,-2590,-2245,174
111,-2626,-2201,172
112,-2637,-2186,163
113,-2650,-2166,154
114,-2694,-2103,151
115,-2733,-2026,148
116,-2740,-1994,145
117,-2743,-1868,142
118,-2743,-1855,142
119,-2726,-1785,143
120,-2710,-1749,144
121,-2646,-1613,148
122,-2634,-1589,154
123,-2590,-1523,161
124,-2554,-1474,168
125,-2546,-1463,173
126,-2444,-1343,179
127,-2439,-1338,185
128,-2322,-1210,192
129,-2264,-1143,199
130,-2194,-1055,203
