Driver,Points,GP
VER,25,Bahrain
PER,18,Bahrain
ALO,15,Bahrain
STR,8,Bahrain
HAM,10,Bahrain
RUS,6,Bahrain
SAI,12,Bahrain
LEC,0,Bahrain
NOR,0,Bahrain
PIA,0,Bahrain
GAS,2,Bahrain
OCO,0,Bahrain
BOT,4,Bahrain
ZHO,0,Bahrain
HUL,0,Bahrain
MAG,0,Bahrain
ALB,1,Bahrain
SAR,0,Bahrain
TSU,0,Bahrain
DEV,0,Bahrain
VER,19,Saudi Arabia
PER,25,Saudi Arabia
ALO,15,Saudi Arabia
STR,0,Saudi Arabia
HAM,10,Saudi Arabia
RUS,12,Saudi Arabia
SAI,8,Saudi Arabia
LEC,6,Saudi Arabia
NOR,0,Saudi Arabia
PIA,0,Saudi Arabia
GAS,2,Saudi Arabia
OCO,4,Saudi Arabia
BOT,0,Saudi Arabia
ZHO,0,Saudi Arabia
HUL,0,Saudi Arabia
MAG,1,Saudi Arabia
ALB,0,Saudi Arabia
SAR,0,Saudi Arabia
TSU,0,Saudi Arabia
DEV,0,Saudi Arabia
VER,25,Australia
PER,11,Australia
ALO,15,Australia
STR,12,Australia
HAM,18,Australia
RUS,0,Australia
SAI,0,Australia
LEC,0,Australia
NOR,8,Australia
PIA,4,Australia
GAS,0,Australia
OCO,0,Australia
BOT,0,Australia
ZHO,2,Australia
HUL,6,Australia
MAG,0,Australia
ALB,0,Australia
SAR,0,Australia
TSU,1,Australia
DEV,0,Australia
VER,6,Azerbaijan Sprint 
PER,8,Azerbaijan Sprint 
ALO,3,Azerbaijan Sprint 
STR,1,Azerbaijan Sprint 
HAM,2,Azerbaijan Sprint 
RUS,5,Azerbaijan Sprint 
SAI,4,Azerbaijan Sprint 
LEC,7,Azerbaijan Sprint 
NOR,0,Azerbaijan Sprint 
PIA,0,Azerbaijan Sprint 
GAS,0,Azerbaijan Sprint 
OCO,0,Azerbaijan Sprint 
BOT,0,Azerbaijan Sprint 
ZHO,0,Azerbaijan Sprint 
HUL,0,Azerbaijan Sprint 
MAG,0,Azerbaijan Sprint 
ALB,0,Azerbaijan Sprint 
SAR,0,Azerbaijan Sprint 
TSU,0,Azerbaijan Sprint 
DEV,0,Azerbaijan Sprint 
VER,18,Azerbaijan 
PER,25,Azerbaijan 
ALO,12,Azerbaijan 
STR,6,Azerbaijan 
HAM,8,Azerbaijan 
RUS,5,Azerbaijan 
SAI,10,Azerbaijan 
LEC,15,Azerbaijan 
NOR,2,Azerbaijan 
PIA,0,Azerbaijan 
GAS,0,Azerbaijan 
OCO,0,Azerbaijan 
BOT,0,Azerbaijan 
ZHO,0,Azerbaijan 
HUL,0,Azerbaijan 
MAG,0,Azerbaijan 
ALB,0,Azerbaijan 
SAR,0,Azerbaijan 
TSU,1,Azerbaijan 
DEV,0,Azerbaijan 
VER,26,Miami
PER,18,Miami
ALO,15,Miami
STR,0,Miami
HAM,8,Miami
RUS,12,Miami
SAI,10,Miami
LEC,6,Miami
NOR,0,Miami
PIA,0,Miami
GAS,4,Miami
OCO,2,Miami
BOT,0,Miami
ZHO,0,Miami
HUL,0,Miami
MAG,1,Miami
ALB,0,Miami
SAR,0,Miami
TSU,0,Miami
DEV,0,Miami
VER,25,Monaco
PER,0,Monaco
ALO,18,Monaco
STR,0,Monaco
HAM,13,Monaco
RUS,10,Monaco
SAI,4,Monaco
LEC,8,Monaco
NOR,2,Monaco
PIA,1,Monaco
GAS,6,Monaco
OCO,15,Monaco
BOT,0,Monaco
ZHO,0,Monaco
HUL,0,Monaco
MAG,0,Monaco
ALB,0,Monaco
SAR,0,Monaco
TSU,0,Monaco
DEV,0,Monaco
VER,26,Spain
PER,12,Spain
ALO,6,Spain
STR,8,Spain
HAM,18,Spain
RUS,15,Spain
SAI,10,Spain
LEC,0,Spain
NOR,0,Spain
PIA,0,Spain
GAS,1,Spain
OCO,4,Spain
BOT,0,Spain
ZHO,2,Spain
HUL,0,Spain
MAG,0,Spain
ALB,0,Spain
SAR,0,Spain
TSU,0,Spain
DEV,0,Spain
