Team,Points,GP
Red Bull,43,Bahrain
Aston Martin,23,Bahrain
Mercedes,16,Bahrain
Ferrari,12,Bahrain
McLaren,0,Bahrain
Alpine ,2,Bahrain
Haas,0,Bahrain
Alfa Romeo,4,Bahrain
AlphaTauri,0,Bahrain
Williams,1,Bahrain
Red Bull,44,Saudi Arabia
Aston Martin,15,Saudi Arabia
Mercedes,22,Saudi Arabia
Ferrari,14,Saudi Arabia
McLaren,0,Saudi Arabia
Alpine ,6,Saudi Arabia
Haas,1,Saudi Arabia
Alfa Romeo,0,Saudi Arabia
AlphaTauri,0,Saudi Arabia
Williams,0,Saudi Arabia
Red Bull,36,Australia
Aston Martin,27,Australia
Mercedes,18,Australia
Ferrari,0,Australia
McLaren,12,Australia
Alpine ,0,Australia
Haas,6,Australia
Alfa Romeo,2,Australia
AlphaTauri,1,Australia
Williams,0,Australia
Red Bull,14,Azerbaijan Sprint
Aston Martin,4,Azerbaijan Sprint
Mercedes,7,Azerbaijan Sprint
Ferrari,11,Azerbaijan Sprint
McLaren,0,Azerbaijan Sprint
Alpine ,0,Azerbaijan Sprint
Haas,0,Azerbaijan Sprint
Alfa Romeo,0,Azerbaijan Sprint
AlphaTauri,0,Azerbaijan Sprint
Williams,0,Azerbaijan Sprint
Red Bull,43,Azerbaijan 
Aston Martin,18,Azerbaijan 
Mercedes,13,Azerbaijan 
Ferrari,25,Azerbaijan 
McLaren,2,Azerbaijan 
Alpine ,0,Azerbaijan 
Haas,0,Azerbaijan 
Alfa Romeo,0,Azerbaijan 
AlphaTauri,1,Azerbaijan 
Williams,0,Azerbaijan 
Red Bull,45,Miami
Aston Martin,15,Miami
Mercedes,20,Miami
Ferrari,16,Miami
McLaren,0,Miami
Alpine ,6,Miami
Haas,1,Miami
Alfa Romeo,0,Miami
AlphaTauri,0,Miami
Williams,0,Miami
Red Bull,25,Monaco
Aston Martin,18,Monaco
Mercedes,23,Monaco
Ferrari,12,Monaco
McLaren,3,Monaco
Alpine ,21,Monaco
Haas,0,Monaco
Alfa Romeo,0,Monaco
AlphaTauri,0,Monaco
Williams,0,Monaco
Red Bull,38,Spain
Aston Martin,14,Spain
Mercedes,33,Spain
Ferrari,10,Spain
McLaren,0,Spain
Alpine ,5,Spain
Haas,0,Spain
Alfa Romeo,2,Spain
AlphaTauri,0,Spain
Williams,0,Spain
