,62
Time,0 days 01:24:11.490000
DriverNumber,4
LapTime,0 days 00:01:12.792000
LapNumber,21
PitOutTime,
PitInTime,
Sector1Time,0 days 00:00:21.720000
Sector2Time,0 days 00:00:29.253000
Sector3Time,0 days 00:00:21.819000
Sector1SessionTime,0 days 01:23:20.418000
Sector2SessionTime,0 days 01:23:49.671000
Sector3SessionTime,0 days 01:24:11.490000
SpeedI1,284.0
SpeedI2,308.0
SpeedFL,295.0
SpeedST,323.0
IsPersonalBest,True
Compound,SOFT
TyreLife,2.0
FreshTyre,True
Stint,7
LapStartTime,0 days 01:22:58.698000
Team,McLaren
Driver,NOR
TrackStatus,1
IsAccurate,True
LapStartDate,2023-06-03 15:07:58.707000
