Driver ,Position ,Q
HAM,1,0
NOR,2,0
RUS,3,0
SAI,4,0
HUL,5,0
OCO,6,0
GAS,7,0
DEV,8,0
VER,9,0
ZHO,10,0
PIA,11,0
ALO,12,0
STR,13,0
TSU,14,0
PER,15,0
BOT,16,0
MAG,17,0
ALB,18,0
LEC,19,0
SAR,20,0
HAM,1,1
NOR,2,1
RUS,3,1
SAI,4,1
HUL,5,1
OCO,6,1
GAS,7,1
DEV,8,1
VER,9,1
ZHO,10,1
PIA,11,1
ALO,12,1
STR,13,1
TSU,14,1
PER,15,1
BOT,16,1
MAG,17,1
ALB,18,1
LEC,19,1
SAR,20,1
HAM,4,2
VER,1,2
NOR,2,2
SAI,3,2
OCO,5,2
PIA,6,2
STR,7,2
ALO,8,2
GAS,9,2
HUL,10,2
PER,11,2
RUS,12,2
ZHO,13,2
DEV,14,2
TSU,15,2
BOT,NA,2
MAG,NA,2
ALB,NA,2
LEC,NA,2
SAR,NA,2
HAM,5,3
VER,1,3
NOR,3,3
SAI,2,3
OCO,7,3
PIA,10,3
STR,6,3
ALO,9,3
GAS,4,3
HUL,8,3
PER,NA,3
RUS,NA,3
ZHO,NA,3
DEV,NA,3
TSU,NA,3
BOT,NA,3
MAG,NA,3
ALB,NA,3
LEC,NA,3
SAR,NA,3
