Driver ,Time ,Gap ,Team
VER,76.33,0,Red Bull
PER,76.666,0.336,Red Bull
HAM,76.676,0.346,Mercedes
NOR,77.182,0.852,McLaren
RUS,77.875,1.545,Mercedes
MAG,78.069,1.739,Haas
ALO,78.083,1.753,Aston Martin
BOT,78.242,1.912,Alfa Romeo
LEC,78.357,2.027,Ferrari
SAI,78.375,2.045,Ferrari
GAS,78.375,2.045,Alpine
DEV,78.594,2.264,AlphaTauri
PIA,78.679,2.349,McLaren
STR,78.722,2.392,Aston Martin
ZHO,78.753,2.423,Alfa Romeo
HUL,78.776,2.446,Haas
TSU,78.904,2.574,AlphaTauri
OCO,78.946,2.616,Alpine
ALB,79.133,2.803,Williams
SAR,79.247,2.917,Williams
