,16
Time,0 days 01:16:01.650000
DriverNumber,1
LapTime,0 days 00:01:12.272000
LapNumber,17
PitOutTime,
PitInTime,
Sector1Time,0 days 00:00:21.536000
Sector2Time,0 days 00:00:29.064000
Sector3Time,0 days 00:00:21.672000
Sector1SessionTime,0 days 01:15:10.914000
Sector2SessionTime,0 days 01:15:39.978000
Sector3SessionTime,0 days 01:16:01.650000
SpeedI1,287.0
SpeedI2,308.0
SpeedFL,295.0
SpeedST,328.0
IsPersonalBest,True
Compound,SOFT
TyreLife,2.0
FreshTyre,True
Stint,5
LapStartTime,0 days 01:14:49.378000
Team,Red Bull Racing
Driver,VER
TrackStatus,1
IsAccurate,True
LapStartDate,2023-06-03 14:59:49.387000
