,Driver,Gap
0,LEC,0.0
1,VER,0.015701228060332858
2,RUS,0.35888521280770835
3,SAI,0.3835585711882451
4,PER,0.41720405988896975
5,ALO,0.42281164133908516
6,NOR,0.5035608142208244
7,PIA,0.5809454382324911
8,HAM,0.6112263780631273
9,HUL,0.7693601749565331
10,STR,0.8972130320192869
11,TSU,1.081141703583243
12,ALB,1.18432120226546
13,RIC,1.2482476307968366
14,MAG,1.5297482195928782
15,BOT,1.7843324174283564
16,ZHO,1.7854539337183857
17,SAR,1.8000336454886892
18,OCO,1.8258285201592555
19,GAS,1.999663545112978
20,VER,0.0
21,LEC,0.3646881287726388
22,PER,0.3829796963599872
23,ALO,0.42756539235413554
24,PIA,0.7053685750868901
25,NOR,0.7545271629778796
26,STR,0.8894274739345228
27,RUS,0.9648801902323124
28,HAM,1.1295042985183825
29,TSU,1.2289646972745598
30,BEA,1.337570879824403
31,ALB,1.723980245107017
32,MAG,1.7697091640753635
33,RIC,1.775425278946419
34,HUL,1.809721968172687
35,BOT,1.9514816169745839
36,OCO,2.2898756173404067
37,GAS,2.2944485092372475
38,SAR,2.348179989025062
39,,
40,VER,0.0
41,SAI,0.3556609365737944
42,PER,0.47289731937034135
43,LEC,0.5124152012118761
44,NOR,0.5269050912204327
45,PIA,0.8654416123295745
46,ALO,1.0472238688006157
47,RUS,1.0656655469933445
48,STR,1.1394322597642033
49,TSU,1.149970361588606
50,HAM,1.3765395508133933
51,ALB,1.600474214582084
52,BOT,1.8770993874728275
53,MAG,1.9917012448132785
54,OCO,2.2419811631429862
55,HUL,2.7148784825133276
56,GAS,2.7227820588816347
57,RIC,2.8584601198708914
58,ZHO,2.9941381808601673
59,VER,0.0
60,PER,0.07483247729514893
61,NOR,0.3310770207603451
62,SAI,0.5499053255779669
63,ALO,0.5544406272322236
64,PIA,0.6383437078358701
65,HAM,0.6451466603172473
66,LEC,0.6678231685884992
67,RUS,0.9195324103994386
68,TSU,1.3787317028923818
69,RIC,1.4456274022925852
70,HUL,1.4705715613909738
71,BOT,1.582820277333697
72,ALB,1.7200131523747928
73,OCO,1.8299942174903956
74,STR,2.071499030579269
75,GAS,2.1792124448677357
76,MAG,2.1928183498304903
77,SAR,2.2018889531389876
78,ZHO,2.2064242547932444
79,VER,0.0
80,PER,0.3437967115097189
81,ALO,0.52103352551783
82,NOR,0.5391842835789127
83,PIA,0.6544949818492415
84,LEC,0.6715780482596679
85,SAI,0.6801195814648734
86,RUS,0.8253256459534597
87,HUL,1.0079009182148224
88,BOT,1.0730301089045589
89,STR,1.257740764467219
90,RIC,1.3602391629297468
91,OCO,1.6688020499679719
92,ALB,1.6880204996796957
93,GAS,1.7371343156096624
94,ZHO,1.9698910954516324
95,MAG,1.9816357036088073
96,HAM,2.042494127695918
97,TSU,2.2272047832585935
98,SAR,2.880632073457194
99,VER,0.0
100,LEC,0.16162125606080324
101,SAI,0.24529750919865503
