,Driver,Q3_count,Total_races,Q3_percentage
0,VER,14,14,100.0
1,LEC,12,14,85.71428571428571
2,RUS,13,14,92.85714285714286
3,SAI,12,13,92.3076923076923
4,PER,9,14,64.28571428571429
5,ALO,9,14,64.28571428571429
6,NOR,14,14,100.0
7,PIA,14,14,100.0
8,HAM,12,14,85.71428571428571
9,HUL,6,14,42.857142857142854
10,TSU,8,14,57.14285714285714
11,STR,5,14,35.714285714285715
12,ALB,3,14,21.428571428571427
13,RIC,3,14,21.428571428571427
14,MAG,0,14,0.0
15,BOT,1,14,7.142857142857142
16,ZHO,0,14,0.0
17,SAR,0,13,0.0
18,OCO,3,14,21.428571428571427
19,GAS,2,14,14.285714285714285
20,BEA,0,1,0.0
