Driver,Position,Q,Qualy
VER,1.0,Q3,1
LEC,2.0,Q3,1
RUS,3.0,Q3,1
SAI,4.0,Q3,1
PER,5.0,Q3,1
ALO,6.0,Q3,1
NOR,7.0,Q3,1
PIA,8.0,Q3,1
HAM,9.0,Q3,1
HUL,10.0,Q3,1
TSU,11.0,Q2,1
STR,12.0,Q2,1
ALB,13.0,Q2,1
RIC,14.0,Q2,1
MAG,15.0,Q2,1
BOT,16.0,Q1,1
ZHO,17.0,Q1,1
SAR,18.0,Q1,1
OCO,19.0,Q1,1
GAS,20.0,Q1,1
VER,1.0,Q3,1
LEC,2.0,Q3,1
PER,3.0,Q3,1
ALO,4.0,Q3,1
PIA,5.0,Q3,1
NOR,6.0,Q3,1
RUS,7.0,Q3,1
HAM,8.0,Q3,1
TSU,9.0,Q3,1
STR,10.0,Q3,1
BEA,11.0,Q2,1
ALB,12.0,Q2,1
MAG,13.0,Q2,1
RIC,14.0,Q2,1
HUL,15.0,Q2,1
BOT,16.0,Q1,1
OCO,17.0,Q1,1
GAS,18.0,Q1,1
SAR,19.0,Q1,1
ZHO,20.0,Q1,1
VER,1.0,Q3,1
SAI,2.0,Q3,1
PER,3.0,Q3,1
NOR,4.0,Q3,1
LEC,5.0,Q3,1
PIA,6.0,Q3,1
RUS,7.0,Q3,1
TSU,8.0,Q3,1
STR,9.0,Q3,1
ALO,10.0,Q3,1
HAM,11.0,Q2,1
ALB,12.0,Q2,1
BOT,13.0,Q2,1
MAG,14.0,Q2,1
OCO,15.0,Q2,1
HUL,16.0,Q1,1
GAS,17.0,Q1,1
RIC,18.0,Q1,1
ZHO,19.0,Q1,1
VER,1.0,Q3,1
PER,2.0,Q3,1
NOR,3.0,Q3,1
SAI,4.0,Q3,1
ALO,5.0,Q3,1
PIA,6.0,Q3,1
HAM,7.0,Q3,1
LEC,8.0,Q3,1
RUS,9.0,Q3,1
TSU,10.0,Q3,1
RIC,11.0,Q2,1
HUL,12.0,Q2,1
BOT,13.0,Q2,1
ALB,14.0,Q2,1
OCO,15.0,Q2,1
STR,16.0,Q1,1
GAS,17.0,Q1,1
MAG,18.0,Q1,1
SAR,19.0,Q1,1
ZHO,20.0,Q1,1
VER,1.0,Q3,1
PER,2.0,Q3,1
ALO,3.0,Q3,1
NOR,4.0,Q3,1
PIA,5.0,Q3,1
LEC,6.0,Q3,1
SAI,7.0,Q3,1
RUS,8.0,Q3,1
HUL,9.0,Q3,1
BOT,10.0,Q3,1
STR,11.0,Q2,1
RIC,12.0,Q2,1
OCO,13.0,Q2,1
ALB,14.0,Q2,1
GAS,15.0,Q2,1
ZHO,16.0,Q1,1
MAG,17.0,Q1,1
HAM,18.0,Q1,1
TSU,19.0,Q1,1
SAR,20.0,Q1,1
VER,1.0,Q3,1
LEC,2.0,Q3,1
SAI,3.0,Q3,1
PER,4.0,Q3,1
NOR,5.0,Q3,1
PIA,6.0,Q3,1
RUS,7.0,Q3,1
HAM,8.0,Q3,1
HUL,9.0,Q3,1
TSU,10.0,Q3,1
STR,11.0,Q2,1
GAS,12.0,Q2,1
OCO,13.0,Q2,1
ALB,14.0,Q2,1
ALO,15.0,Q2,1
BOT,16.0,Q1,1
SAR,17.0,Q1,1
RIC,18.0,Q1,1
MAG,19.0,Q1,1
ZHO,20.0,Q1,1
VER,1.0,Q3,1
PIA,2.0,Q3,1
NOR,3.0,Q3,1
LEC,4.0,Q3,1
SAI,5.0,Q3,1
RUS,6.0,Q3,1
TSU,7.0,Q3,1
HAM,8.0,Q3,1
RIC,9.0,Q3,1
HUL,10.0,Q3,1
PER,11.0,Q2,1
OCO,12.0,Q2,1
STR,13.0,Q2,1
ALB,14.0,Q2,1
GAS,15.0,Q2,1
BOT,16.0,Q1,1
ZHO,17.0,Q1,1
MAG,18.0,Q1,1
ALO,19.0,Q1,1
SAR,20.0,Q1,1
LEC,1.0,Q3,1
PIA,2.0,Q3,1
SAI,3.0,Q3,1
NOR,4.0,Q3,1
RUS,5.0,Q3,1
VER,6.0,Q3,1
HAM,7.0,Q3,1
TSU,8.0,Q3,1
ALB,9.0,Q3,1
GAS,10.0,Q3,1
OCO,11.0,Q2,1
HUL,12.0,Q2,1
RIC,13.0,Q2,1
STR,14.0,Q2,1
MAG,15.0,Q2,1
ALO,16.0,Q1,1
SAR,17.0,Q1,1
PER,18.0,Q1,1
BOT,19.0,Q1,1
ZHO,20.0,Q1,1
RUS,1.0,Q3,1
VER,2.0,Q3,1
NOR,3.0,Q3,1
PIA,4.0,Q3,1
RIC,5.0,Q3,1
ALO,6.0,Q3,1
HAM,7.0,Q3,1
TSU,8.0,Q3,1
STR,9.0,Q3,1
ALB,10.0,Q3,1
LEC,11.0,Q2,1
SAI,12.0,Q2,1
SAR,13.0,Q2,1
MAG,14.0,Q2,1
GAS,15.0,Q2,1
PER,16.0,Q1,1
BOT,17.0,Q1,1
OCO,18.0,Q1,1
HUL,19.0,Q1,1
ZHO,20.0,Q1,1
NOR,1.0,Q3,1
VER,2.0,Q3,1
HAM,3.0,Q3,1
RUS,4.0,Q3,1
LEC,5.0,Q3,1
SAI,6.0,Q3,1
GAS,7.0,Q3,1
PER,8.0,Q3,1
OCO,9.0,Q3,1
PIA,10.0,Q3,1
ALO,11.0,Q2,1
BOT,12.0,Q2,1
HUL,13.0,Q2,1
STR,14.0,Q2,1
ZHO,15.0,Q2,1
MAG,16.0,Q1,1
TSU,17.0,Q1,1
RIC,18.0,Q1,1
ALB,19.0,Q1,1
SAR,20.0,Q1,1
VER,1.0,Q3,1
NOR,2.0,Q3,1
RUS,3.0,Q3,1
SAI,4.0,Q3,1
HAM,5.0,Q3,1
LEC,6.0,Q3,1
PIA,7.0,Q3,1
PER,8.0,Q3,1
HUL,9.0,Q3,1
OCO,10.0,Q3,1
RIC,11.0,Q2,1
MAG,12.0,Q2,1
GAS,13.0,Q2,1
TSU,14.0,Q2,1
ALO,15.0,Q2,1
ALB,16.0,Q1,1
STR,17.0,Q1,1
BOT,18.0,Q1,1
SAR,19.0,Q1,1
ZHO,20.0,Q1,1
RUS,1.0,Q3,1
HAM,2.0,Q3,1
NOR,3.0,Q3,1
VER,4.0,Q3,1
PIA,5.0,Q3,1
HUL,6.0,Q3,1
SAI,7.0,Q3,1
STR,8.0,Q3,1
ALB,9.0,Q3,1
ALO,10.0,Q3,1
LEC,11.0,Q2,1
SAR,12.0,Q2,1
TSU,13.0,Q2,1
ZHO,14.0,Q2,1
RIC,15.0,Q2,1
BOT,16.0,Q1,1
MAG,17.0,Q1,1
OCO,18.0,Q1,1
PER,19.0,Q1,1
GAS,20.0,Q1,1
NOR,1.0,Q3,1
PIA,2.0,Q3,1
VER,3.0,Q3,1
SAI,4.0,Q3,1
HAM,5.0,Q3,1
LEC,6.0,Q3,1
ALO,7.0,Q3,1
STR,8.0,Q3,1
RIC,9.0,Q3,1
TSU,10.0,Q3,1
HUL,11.0,Q2,1
BOT,12.0,Q2,1
ALB,13.0,Q2,1
SAR,14.0,Q2,1
MAG,15.0,Q2,1
PER,16.0,Q1,1
RUS,17.0,Q1,1
ZHO,18.0,Q1,1
OCO,19.0,Q1,1
GAS,20.0,Q1,1
VER,1.0,Q3,1
LEC,2.0,Q3,1
PER,3.0,Q3,1
HAM,4.0,Q3,1
NOR,5.0,Q3,1
PIA,6.0,Q3,1
RUS,7.0,Q3,1
SAI,8.0,Q3,1
ALO,9.0,Q3,1
OCO,10.0,Q3,1
ALB,11.0,Q2,1
GAS,12.0,Q2,1
RIC,13.0,Q2,1
BOT,14.0,Q2,1
STR,15.0,Q2,1
HUL,16.0,Q1,1
MAG,17.0,Q1,1
TSU,18.0,Q1,1
SAR,19.0,Q1,1
ZHO,20.0,Q1,1
NOR,1.0,Q3,1
VER,2.0,Q3,1
PIA,3.0,Q3,1
RUS,4.0,Q3,1
PER,5.0,Q3,1
LEC,6.0,Q3,1
ALO,7.0,Q3,1
STR,8.0,Q3,1
GAS,9.0,Q3,1
SAI,10.0,Q3,1
HAM,11.0,Q2,1
TSU,12.0,Q2,1
HUL,13.0,Q2,1
MAG,14.0,Q2,1
RIC,15.0,Q2,1
OCO,16.0,Q1,1
BOT,17.0,Q1,1
ZHO,18.0,Q1,1
ALB,19.0,Q1,1
SAR,20.0,Q1,1
NOR,1.0,Q3,1
PIA,2.0,Q3,1
RUS,3.0,Q3,1
LEC,4.0,Q3,1
SAI,5.0,Q3,1
HAM,6.0,Q3,1
VER,7.0,Q3,1
PER,8.0,Q3,1
ALB,9.0,Q3,1
HUL,10.0,Q3,1
ALO,11.0,Q2,1
RIC,12.0,Q2,1
MAG,13.0,Q2,1
GAS,14.0,Q2,1
OCO,15.0,Q2,1
TSU,16.0,Q1,1
STR,17.0,Q1,1
COL,18.0,Q1,1
BOT,19.0,Q1,1
ZHO,20.0,Q1,1
LEC,1.0,Q3,1
PIA,2.0,Q3,1
SAI,3.0,Q3,1
PER,4.0,Q3,1
RUS,5.0,Q3,1
VER,6.0,Q3,1
HAM,7.0,Q3,1
ALO,8.0,Q3,1
COL,9.0,Q3,1
ALB,10.0,Q3,1
BEA,11.0,Q2,1
TSU,12.0,Q2,1
HUL,13.0,Q2,1
STR,14.0,Q2,1
RIC,15.0,Q2,1
NOR,16.0,Q1,1
BOT,17.0,Q1,1
ZHO,18.0,Q1,1
OCO,19.0,Q1,1
GAS,20.0,Q1,1
NOR,1.0,Q3,1
VER,2.0,Q3,1
HAM,3.0,Q3,1
RUS,4.0,Q3,1
PIA,5.0,Q3,1
HUL,6.0,Q3,1
ALO,7.0,Q3,1
TSU,8.0,Q3,1
LEC,9.0,Q3,1
SAI,10.0,Q3,1
ALB,11.0,Q2,1
COL,12.0,Q2,1
PER,13.0,Q2,1
MAG,14.0,Q2,1
OCO,15.0,Q2,1
RIC,16.0,Q1,1
STR,17.0,Q1,1
GAS,18.0,Q1,1
BOT,19.0,Q1,1
ZHO,20.0,Q1,1
NOR,1.0,Q3,1
VER,2.0,Q3,1
SAI,3.0,Q3,1
LEC,4.0,Q3,1
PIA,5.0,Q3,1
RUS,6.0,Q3,1
GAS,7.0,Q3,1
ALO,8.0,Q3,1
MAG,9.0,Q3,1
PER,10.0,Q3,1
TSU,11.0,Q2,1
HUL,12.0,Q2,1
OCO,13.0,Q2,1
STR,14.0,Q2,1
LAW,15.0,Q2,1
ALB,16.0,Q1,1
COL,17.0,Q1,1
BOT,18.0,Q1,1
HAM,19.0,Q1,1
ZHO,20.0,Q1,1
SAI,1.0,Q3,1
VER,2.0,Q3,1
NOR,3.0,Q3,1
LEC,4.0,Q3,1
RUS,5.0,Q3,1
HAM,6.0,Q3,1
MAG,7.0,Q3,1
GAS,8.0,Q3,1
ALB,9.0,Q3,1
HUL,10.0,Q3,1
TSU,11.0,Q2,1
LAW,12.0,Q2,1
ALO,13.0,Q2,1
STR,14.0,Q2,1
BOT,15.0,Q2,1
COL,16.0,Q1,1
PIA,17.0,Q1,1
PER,18.0,Q1,1
OCO,19.0,Q1,1
ZHO,20.0,Q1,1
NOR,1.0,Q3,1
