Driver,Position,Status,Finish,Race
VER,1,Finished,Win,1
PER,2,Finished,Podium,1
SAI,3,Finished,Podium,1
LEC,4,Finished,Points,1
RUS,5,Finished,Points,1
NOR,6,Finished,Points,1
HAM,7,Finished,Points,1
PIA,8,Finished,Points,1
ALO,9,Finished,Points,1
STR,10,Finished,Points,1
ZHO,11,+1 Lap,Out of the points,1
MAG,12,+1 Lap,Out of the points,1
RIC,13,+1 Lap,Out of the points,1
TSU,14,+1 Lap,Out of the points,1
ALB,15,+1 Lap,Out of the points,1
HUL,16,+1 Lap,Out of the points,1
OCO,17,+1 Lap,Out of the points,1
GAS,18,+1 Lap,Out of the points,1
BOT,19,+1 Lap,Out of the points,1
SAR,20,+2 Laps,Out of the points,1
VER,1,Finished,Win,1
PER,2,Finished,Podium,1
LEC,3,Finished,Podium,1
PIA,4,Finished,Points,1
ALO,5,Finished,Points,1
RUS,6,Finished,Points,1
BEA,7,Finished,Points,1
NOR,8,Finished,Points,1
HAM,9,Finished,Points,1
HUL,10,Finished,Points,1
ALB,11,Finished,Out of the points,1
MAG,12,Finished,Out of the points,1
OCO,13,+1 Lap,Out of the points,1
SAR,14,+1 Lap,Out of the points,1
TSU,15,+1 Lap,Out of the points,1
RIC,16,+1 Lap,Out of the points,1
BOT,17,+1 Lap,Out of the points,1
ZHO,18,+1 Lap,Out of the points,1
STR,19,Accident,DNF,1
GAS,20,Gearbox,DNF,1
SAI,1,Finished,Win,1
LEC,2,Finished,Podium,1
NOR,3,Finished,Podium,1
PIA,4,Finished,Points,1
PER,5,Finished,Points,1
STR,6,Finished,Points,1
TSU,7,Finished,Points,1
ALO,8,Finished,Points,1
HUL,9,Finished,Points,1
MAG,10,+1 Lap,Points,1
ALB,11,+1 Lap,Out of the points,1
RIC,12,+1 Lap,Out of the points,1
GAS,13,+1 Lap,Out of the points,1
BOT,14,+1 Lap,Out of the points,1
ZHO,15,+1 Lap,Out of the points,1
OCO,16,+1 Lap,Out of the points,1
RUS,17,Accident,DNF,1
HAM,18,Engine,DNF,1
VER,19,Brakes,DNF,1
VER,1,Finished,Win,1
PER,2,Finished,Podium,1
SAI,3,Finished,Podium,1
LEC,4,Finished,Points,1
NOR,5,Finished,Points,1
ALO,6,Finished,Points,1
RUS,7,Finished,Points,1
PIA,8,Finished,Points,1
HAM,9,Finished,Points,1
TSU,10,+1 Lap,Points,1
HUL,11,+1 Lap,Out of the points,1
STR,12,+1 Lap,Out of the points,1
MAG,13,+1 Lap,Out of the points,1
BOT,14,+1 Lap,Out of the points,1
OCO,15,+1 Lap,Out of the points,1
GAS,16,+1 Lap,Out of the points,1
SAR,17,+1 Lap,Out of the points,1
ZHO,18,Gearbox,DNF,1
RIC,19,Accident,DNF,1
ALB,20,Accident,DNF,1
VER,1,Finished,Win,1
NOR,2,Finished,Podium,1
PER,3,Finished,Podium,1
LEC,4,Finished,Points,1
SAI,5,Finished,Points,1
RUS,6,Finished,Points,1
ALO,7,Finished,Points,1
PIA,8,Finished,Points,1
HAM,9,Finished,Points,1
HUL,10,Finished,Points,1
OCO,11,Finished,Out of the points,1
ALB,12,Finished,Out of the points,1
GAS,13,Finished,Out of the points,1
ZHO,14,Finished,Out of the points,1
STR,15,Finished,Out of the points,1
MAG,16,Finished,Out of the points,1
SAR,17,Finished,Out of the points,1
RIC,18,Retired,DNF,1
TSU,19,Retired,DNF,1
BOT,20,Retired,DNF,1
NOR,1,Finished,Win,1
VER,2,Finished,Podium,1
LEC,3,Finished,Podium,1
PER,4,Finished,Points,1
SAI,5,Finished,Points,1
HAM,6,Finished,Points,1
TSU,7,Finished,Points,1
RUS,8,Finished,Points,1
ALO,9,Finished,Points,1
OCO,10,Finished,Points,1
HUL,11,Finished,Out of the points,1
GAS,12,Finished,Out of the points,1
PIA,13,Finished,Out of the points,1
ZHO,14,Finished,Out of the points,1
RIC,15,Finished,Out of the points,1
BOT,16,Finished,Out of the points,1
STR,17,Finished,Out of the points,1
ALB,18,Finished,Out of the points,1
MAG,19,Finished,Out of the points,1
SAR,20,Collision,DNF,1
VER,1,Finished,Win,1
NOR,2,Finished,Podium,1
LEC,3,Finished,Podium,1
PIA,4,Finished,Points,1
SAI,5,Finished,Points,1
HAM,6,Finished,Points,1
RUS,7,Finished,Points,1
PER,8,Finished,Points,1
STR,9,Finished,Points,1
TSU,10,+1 Lap,Points,1
HUL,11,+1 Lap,Out of the points,1
MAG,12,+1 Lap,Out of the points,1
RIC,13,+1 Lap,Out of the points,1
OCO,14,+1 Lap,Out of the points,1
ZHO,15,+1 Lap,Out of the points,1
GAS,16,+1 Lap,Out of the points,1
SAR,17,+1 Lap,Out of the points,1
BOT,18,+1 Lap,Out of the points,1
ALO,19,+1 Lap,Out of the points,1
ALB,20,Retired,DNF,1
LEC,1,Finished,Win,1
PIA,2,Finished,Podium,1
SAI,3,Finished,Podium,1
NOR,4,Finished,Points,1
RUS,5,Finished,Points,1
VER,6,Finished,Points,1
HAM,7,Finished,Points,1
TSU,8,+1 Lap,Points,1
ALB,9,+1 Lap,Points,1
GAS,10,+1 Lap,Points,1
ALO,11,+2 Laps,Out of the points,1
RIC,12,+2 Laps,Out of the points,1
BOT,13,+2 Laps,Out of the points,1
STR,14,+2 Laps,Out of the points,1
SAR,15,+2 Laps,Out of the points,1
ZHO,16,+2 Laps,Out of the points,1
OCO,17,Collision,DNF,1
PER,18,Collision,DNF,1
HUL,19,Collision,DNF,1
MAG,20,Collision,DNF,1
VER,1,Finished,Win,1
NOR,2,Finished,Podium,1
RUS,3,Finished,Podium,1
HAM,4,Finished,Points,1
PIA,5,Finished,Points,1
ALO,6,Finished,Points,1
STR,7,Finished,Points,1
RIC,8,Finished,Points,1
GAS,9,Finished,Points,1
OCO,10,Finished,Points,1
HUL,11,Finished,Out of the points,1
MAG,12,Finished,Out of the points,1
BOT,13,Finished,Out of the points,1
TSU,14,Finished,Out of the points,1
ZHO,15,+1 Lap,Out of the points,1
SAI,16,Collision,DNF,1
ALB,17,Collision,DNF,1
PER,18,Accident,DNF,1
LEC,19,Engine,DNF,1
SAR,20,Accident,DNF,1
VER,1,Finished,Win,1
NOR,2,Finished,Podium,1
HAM,3,Finished,Podium,1
RUS,4,Finished,Points,1
LEC,5,Finished,Points,1
SAI,6,Finished,Points,1
PIA,7,Finished,Points,1
PER,8,Finished,Points,1
GAS,9,Finished,Points,1
OCO,10,Finished,Points,1
HUL,11,Finished,Out of the points,1
ALO,12,+1 Lap,Out of the points,1
ZHO,13,+1 Lap,Out of the points,1
STR,14,+1 Lap,Out of the points,1
RIC,15,+1 Lap,Out of the points,1
BOT,16,+1 Lap,Out of the points,1
MAG,17,+1 Lap,Out of the points,1
ALB,18,+1 Lap,Out of the points,1
TSU,19,+1 Lap,Out of the points,1
SAR,20,+2 Laps,Out of the points,1
RUS,1,Finished,Win,1
PIA,2,Finished,Podium,1
SAI,3,Finished,Podium,1
HAM,4,Finished,Points,1
VER,5,Finished,Points,1
HUL,6,Finished,Points,1
PER,7,Finished,Points,1
MAG,8,Finished,Points,1
RIC,9,Finished,Points,1
GAS,10,Finished,Points,1
LEC,11,Finished,Out of the points,1
OCO,12,Finished,Out of the points,1
STR,13,+1 Lap,Out of the points,1
TSU,14,+1 Lap,Out of the points,1
ALB,15,+1 Lap,Out of the points,1
BOT,16,+1 Lap,Out of the points,1
ZHO,17,+1 Lap,Out of the points,1
ALO,18,+1 Lap,Out of the points,1
SAR,19,+2 Laps,Out of the points,1
NOR,20,+7 Laps,Out of the points,1
HAM,1,Finished,Win,1
VER,2,Finished,Podium,1
NOR,3,Finished,Podium,1
PIA,4,Finished,Points,1
SAI,5,Finished,Points,1
HUL,6,Finished,Points,1
STR,7,Finished,Points,1
ALO,8,Finished,Points,1
ALB,9,Finished,Points,1
TSU,10,Finished,Points,1
SAR,11,Finished,Out of the points,1
MAG,12,Finished,Out of the points,1
RIC,13,+1 Lap,Out of the points,1
LEC,14,+1 Lap,Out of the points,1
BOT,15,+1 Lap,Out of the points,1
OCO,16,+2 Laps,Out of the points,1
