GP,Driver,LapNumber,AverageLapTime,FastestLapTime,PercentageDifference
Bahrain,VER,39,96.841877,92.608,4.371948511
Saudi Arabia,LEC,50,94.289175,91.632,2.818112472
Australia,LEC,56,82.461674,79.813,3.212006101
Japan,VER,50,97.283238,93.706,3.677137062
China,ALO,45,101.538927,97.81,3.672411271
Miami,PIA,43,93.024949,90.634,2.570223392
Imola,RUS,54,81.901484,78.589,4.044473724
Monaco,HAM,62,77.743054,74.165,4.602409882
Canada,HAM,70,77.744995,74.856,3.715988405
Spain,NOR,51,80.426344,77.115,4.117238004
Austria,ALO,70,70.986525,67.694,4.638239441
Great Britain,SAI,52,91.839877,88.293,3.862022812
Hungary,RUS,55,84.138943,80.305,4.556680727
Belgium,PER,44,109.043252,104.701,3.98213729
Netherlands,NOR,72,76.223793,73.817,3.157535076
Monza,NOR,53,84.713281,81.432,3.873396192
Azerbaijan,NOR,42,108.891312,105.255,3.339395892
Singapore ,RIC,60,98.52906,94.486,4.103418829
Austin,OCO,53,100.242474,97.33,2.90542909
Mexico,LEC,71,82.008904,78.336,4.478664902
Brazil,VER,67,83.994334,80.472,4.193537626
Las Vegas ,NOR,,98.561,94.876,3.738801351
Qatar ,NOR,56,85.82613,82.384,4.010585121
Abu Dhabi,MAG,57,89.47694,85.637,4.291541485
