,X,Y,Speed
2,545,3868,308
3,592,3982,309
4,610,4028,310
5,664,4158,310
6,664,4159,311
7,716,4286,312
8,775,4430,312
9,865,4651,312
10,874,4671,312
11,902,4740,313
12,913,4767,313
13,1012,5008,313
14,1044,5088,313
15,1077,5169,312
16,1118,5271,312
17,1174,5416,310
18,1195,5475,308
19,1233,5591,305
20,1233,5592,302
21,1246,5634,294
22,1290,5793,287
23,1310,5864,266
24,1368,6071,245
25,1377,6103,227
26,1417,6238,209
27,1441,6303,198
28,1457,6343,188
29,1489,6413,177
30,1502,6438,166
31,1532,6489,157
32,1575,6547,148
33,1619,6593,140
34,1659,6625,137
35,1689,6644,135
36,1733,6665,133
37,1825,6695,126
38,1859,6700,119
39,1898,6701,118
40,1903,6701,116
41,1999,6689,115
42,2012,6685,114
43,2029,6680,112
44,2059,6668,111
45,2106,6645,109
46,2111,6641,108
47,2160,6600,107
48,2166,6592,107
49,2213,6533,111
50,2218,6528,113
51,2264,6437,115
52,2268,6423,118
53,2288,6345,122
54,2293,6286,126
55,2290,6173,131
56,2288,6157,136
57,2273,6075,153
58,2269,6058,157
59,2255,6004,161
60,2243,5963,163
61,2201,5838,165
62,2186,5793,172
63,2172,5755,180
64,2169,5746,183
65,2139,5667,187
66,2133,5650,190
67,2108,5588,194
68,2095,5557,198
69,2060,5475,202
70,2021,5389,207
71,1975,5287,210
72,1974,5284,213
73,1916,5155,215
74,1902,5121,217
75,1877,5062,220
76,1852,4996,223
77,1826,4922,227
78,1813,4877,228
79,1799,4826,229
80,1785,4755,230
81,1770,4602,231
82,1769,4599,233
83,1771,4452,236
84,1774,4417,237
85,1794,4201,238
86,1801,4123,239
87,1803,4081,239
88,1801,4044,232
89,1799,4024,225
90,1772,3853,217
91,1756,3813,209
92,1750,3801,202
93,1701,3721,199
94,1649,3664,196
95,1627,3644,193
96,1523,3569,191
97,1474,3542,189
98,1396,3505,189
99,1368,3494,189
100,1358,3490,190
101,1316,3473,191
102,1207,3433,194
103,1093,3390,197
104,1084,3387,187
105,839,3272,177
106,816,3259,171
107,752,3209,166
108,725,3175,163
109,683,3109,161
110,680,3103,155
111,650,3013,150
112,648,2999,147
113,644,2927,144
114,647,2896,142
115,671,2798,140
116,671,2796,139
117,690,2752,137
118,721,2719,133
119,726,2713,130
120,771,2672,130
121,777,2669,132
122,821,2641,134
123,864,2619,136
124,891,2609,139
125,982,2588,142
126,1030,2587,145
127,1124,2594,152
128,1198,2609,159
129,1222,2617,163
130,1254,2626,167
131,1388,2666,175
132,1443,2682,183
133,1476,2693,185
134,1626,2745,187
135,1655,2756,193
136,1809,2813,199
137,1878,2839,202
138,1909,2850,206
139,1944,2862,210
140,2082,2907,215
141,2132,2922,220
142,2275,2962,228
143,2285,2965,228
144,2347,2980,228
145,2374,2986,228
146,2528,3011,237
147,2553,3015,238
148,2635,3023,240
149,2659,3026,241
150,2767,3034,242
151,2769,3034,243
152,3029,3033,249
153,3058,3033,252
154,3135,3027,255
155,3143,3027,256
156,3327,3005,257
157,3387,2996,258
158,3499,2977,261
159,3630,2952,264
160,3687,2940,267
161,3909,2899,269
162,3955,2890,271
163,4107,2868,273
164,4151,2863,276
165,4258,2854,277
166,4380,2852,278
167,4562,2869,279
168,4747,2899,280
169,4816,2915,282
170,4887,2941,281
171,4897,2945,281
172,5028,2998,282
173,5101,3032,282
174,5174,3070,283
175,5214,3092,284
176,5313,3149,285
177,5325,3156,285
178,5451,3232,286
179,5476,3248,286
180,5614,3332,287
181,5616,3333,288
182,5769,3417,289
183,5815,3439,290
184,5914,3485,290
185,6049,3534,290
186,6175,3565,291
187,6345,3597,291
188,6386,3603,291
189,6637,3620,291
190,6648,3621,290
191,6670,3622,290
192,6831,3626,289
193,6865,3626,289
194,7073,3628,289
195,7103,3627,290
196,7396,3623,290
197,7562,3619,290
198,7655,3611,288
199,7668,3610,286
200,7824,3588,285
201,7973,3562,283
202,8076,3534,281
203,8137,3507,270
204,8205,3469,265
205,8313,3398,261
206,8337,3379,257
207,8448,3274,254
208,8475,3242,252
209,8518,3188,247
210,8584,3076,243
211,8630,2989,240
212,8666,2895,238
213,8678,2840,236
214,8698,2711,234
215,8700,2683,233
216,8703,2608,233
217,8702,2579,233
218,8695,2477,233
219,8694,2475,233
220,8667,2320,234
221,8655,2281,236
222,8635,2221,236
223,8574,2088,236
224,8572,2085,237
225,8504,1967,241
226,8470,1912,242
227,8446,1875,244
228,8411,1820,244
