,X,Y,Speed
2,-1454,-138,269
3,-1556,-55,271
4,-1624,0,272
5,-1689,53,273
6,-1741,96,275
7,-1873,203,277
8,-1932,252,278
9,-2006,313,279
10,-2100,391,281
11,-2131,416,283
12,-2321,572,285
13,-2382,622,287
14,-2546,758,290
15,-2556,766,291
16,-2651,844,293
17,-2694,879,293
18,-2767,939,294
19,-2833,993,295
20,-2939,1080,297
21,-3085,1200,297
22,-3087,1202,298
23,-3260,1344,299
24,-3325,1397,300
25,-3351,1418,300
26,-3413,1469,301
27,-3488,1531,301
28,-3525,1561,302
29,-3631,1648,302
30,-3663,1674,303
31,-3825,1807,304
32,-3897,1867,305
33,-4005,1955,306
34,-4110,2037,306
35,-4121,2045,307
36,-4217,2121,307
37,-4229,2131,307
38,-4325,2205,308
39,-4553,2386,309
40,-4567,2397,309
41,-4706,2505,309
42,-4757,2545,309
43,-5002,2735,309
44,-5035,2761,310
45,-5122,2827,311
46,-5167,2862,311
47,-5220,2904,311
48,-5289,2959,311
49,-5418,3061,310
50,-5444,3082,309
51,-5549,3166,298
52,-5550,3167,279
53,-5720,3311,261
54,-5752,3339,243
55,-5805,3387,212
56,-5843,3427,198
57,-5862,3447,185
58,-5917,3508,175
59,-5936,3530,163
60,-5982,3592,152
61,-6019,3653,141
62,-6037,3684,136
63,-6069,3754,131
64,-6082,3824,125
65,-6082,3876,119
66,-6075,3954,113
67,-6073,3966,108
68,-6061,3999,102
69,-6037,4028,99
70,-6021,4043,97
71,-5973,4089,97
72,-5928,4116,97
73,-5911,4122,98
74,-5827,4148,100
75,-5821,4149,102
76,-5766,4157,107
77,-5751,4159,110
78,-5710,4161,113
79,-5656,4164,118
80,-5595,4163,123
81,-5574,4162,129
82,-5529,4160,137
83,-5410,4148,146
84,-5384,4144,155
85,-5293,4128,164
86,-5243,4122,169
87,-5234,4121,175
88,-5130,4100,181
89,-5080,4088,185
90,-5028,4075,190
91,-4999,4068,194
92,-4939,4052,198
93,-4895,4039,201
94,-4844,4023,205
95,-4743,3989,208
96,-4711,3977,212
97,-4699,3973,215
98,-4560,3914,218
99,-4442,3861,223
100,-4389,3836,228
101,-4329,3803,230
102,-4313,3793,233
103,-4133,3669,241
104,-4008,3579,246
105,-3741,3382,255
106,-3661,3321,257
107,-3638,3303,260
108,-3577,3252,263
