,X,Y,Speed
2,-7664,-6564,277
3,-7674,-6411,278
4,-7676,-6374,280
5,-7681,-6286,281
6,-7674,-6091,283
7,-7674,-6082,284
8,-7667,-5971,285
9,-7660,-5870,286
10,-7658,-5844,286
11,-7639,-5670,286
12,-7636,-5648,286
13,-7614,-5497,278
14,-7607,-5460,270
15,-7588,-5359,239
16,-7539,-5148,209
17,-7538,-5142,197
18,-7512,-5045,186
19,-7502,-5009,176
20,-7482,-4942,166
21,-7478,-4930,156
22,-7457,-4868,147
23,-7453,-4858,139
24,-7433,-4807,136
25,-7426,-4791,134
26,-7402,-4745,125
27,-7396,-4737,122
28,-7353,-4693,120
29,-7305,-4659,118
30,-7287,-4650,117
31,-7242,-4635,117
32,-7220,-4628,118
33,-7121,-4609,119
34,-7116,-4608,121
35,-7019,-4597,125
36,-6996,-4594,130
37,-6959,-4590,135
38,-6932,-4589,143
39,-6915,-4587,151
40,-6830,-4580,161
41,-6807,-4578,164
42,-6674,-4566,167
43,-6669,-4565,170
44,-6596,-4556,174
45,-6555,-4549,178
46,-6354,-4515,189
47,-6279,-4499,200
48,-6217,-4483,204
49,-6177,-4474,208
50,-6099,-4455,212
51,-6073,-4449,213
52,-5935,-4414,215
53,-5885,-4402,219
54,-5785,-4377,224
55,-5752,-4369,226
56,-5663,-4346,229
57,-5629,-4338,230
58,-5517,-4309,232
59,-5485,-4300,234
60,-5315,-4258,236
61,-5283,-4250,239
62,-5197,-4234,241
63,-5022,-4210,243
64,-4961,-4204,246
65,-4884,-4199,248
66,-4775,-4190,250
67,-4706,-4178,251
68,-4646,-4163,252
69,-4508,-4123,254
70,-4409,-4083,257
71,-4322,-4038,257
72,-4316,-4035,258
73,-4114,-3933,259
74,-4073,-3913,260
75,-3966,-3868,262
76,-3926,-3853,264
77,-3828,-3818,264
78,-3643,-3769,265
79,-3637,-3767,266
80,-3539,-3748,269
81,-3436,-3733,269
82,-3200,-3704,269
83,-3174,-3701,270
84,-3114,-3696,270
85,-3066,-3687,271
86,-3047,-3682,272
87,-2768,-3610,252
88,-2731,-3600,248
89,-2684,-3584,245
90,-2642,-3557,233
91,-2582,-3519,221
92,-2512,-3470,216
93,-2481,-3444,211
94,-2400,-3359,205
95,-2365,-3312,199
96,-2345,-3281,196
97,-2315,-3227,194
98,-2304,-3195,189
99,-2269,-3057,185
100,-2259,-3012,181
101,-2252,-2956,179
102,-2263,-2902,175
103,-2267,-2856,171
104,-2276,-2798,172
105,-2301,-2704,173
106,-2310,-2678,173
107,-2327,-2632,174
108,-2353,-2578,175
109,-2381,-2521,177
110,-2448,-2422,180
111,-2502,-2350,183
112,-2543,-2299,184
113,-2573,-2263,185
114,-2590,-2244,181
115,-2618,-2205,178
116,-2691,-2103,172
117,-2709,-2077,167
118,-2736,-2027,163
119,-2741,-1988,163
120,-2743,-1980,158
121,-2747,-1884,153
122,-2742,-1856,148
123,-2715,-1752,149
124,-2699,-1704,150
125,-2660,-1633,153
126,-2647,-1611,155
127,-2625,-1576,157
128,-2599,-1537,160
129,-2570,-1496,163
130,-2556,-1477,166
131,-2472,-1375,171
132,-2469,-1372,176
133,-2403,-1299,184
134,-2299,-1185,192
135,-2294,-1179,194
136,-2261,-1142,196
137,-2237,-1110,200
138,-2209,-1072,204
139,-2108,-932,208
140,-2090,-906,212
141,-2055,-852,219
142,-2012,-790,222
143,-1998,-769,223
144,-1933,-679,225
145,-1911,-650,227
146,-1868,-593,213
147,-1804,-512,200
148,-1768,-468,188
149,-1753,-450,176
150,-1685,-371,162
151,-1670,-354,148
152,-1645,-327,134
153,-1565,-248,121
154,-1546,-232,108
155,-1530,-222,104
156,-1525,-219,101
157,-1489,-202,96
158,-1486,-202,90
159,-1425,-198,85
160,-1423,-199,83
161,-1394,-204,81
162,-1359,-220,80
163,-1344,-228,80
164,-1304,-257,79
165,-1280,-276,78
166,-1267,-300,76
167,-1266,-302,77
168,-1255,-321,78
169,-1238,-362,80
170,-1222,-412,84
171,-1209,-457,88
172,-1198,-504,91
173,-1194,-524,99
174,-1183,-559,107
175,-1173,-597,116
176,-1147,-678,126
177,-1120,-744,136
178,-1092,-814,145
179,-1059,-888,154
180,-1032,-933,149
181,-1023,-950,146
182,-1015,-963,143
183,-1009,-972,141
184,-1011,-966,122
185,-968,-1027,104
186,-962,-1036,97
187,-939,-1061,91
188,-922,-1078,84
189,-894,-1099,77
190,-888,-1103,74
191,-843,-1123,72
192,-826,-1130,69
193,-803,-1136,66
194,-787,-1133,61
195,-774,-1127,58
196,-765,-1122,56
197,-750,-1111,55
198,-747,-1107,54
199,-742,-1099,53
200,-732,-1071,51
201,-732,-1067,50
202,-731,-1045,49
203,-731,-1038,49
204,-733,-1023,47
205,-733,-1016,46
206,-741,-984,50
207,-742,-983,52
208,-747,-969,54
209,-772,-917,56
210,-783,-900,58
211,-789,-889,60
212,-808,-865,66
213,-814,-859,68
214,-838,-832,70
215,-839,-830,73
216,-864,-803,82
217,-876,-791,84
218,-889,-777,87
219,-902,-765,94
220,-936,-728,102
221,-960,-702,104
222,-975,-682,106
223,-998,-649,100
224,-1002,-643,97
225,-1026,-577,94
226,-1027,-559,92
227,-1027,-512,88
228,-1026,-503,85
229,-1021,-478,84
230,-1011,-459,83
231,-982,-413,83
232,-974,-404,83
233,-956,-386,83
234,-947,-378,83
235,-907,-346,84
236,-877,-328,87
237,-861,-319,90
238,-734,-258,105
239,-731,-257,110
240,-690,-239,116
241,-663,-229,120
242,-601,-207,124
243,-597,-206,129
244,-496,-178,124
245,-486,-175,120
246,-450,-170,110
247,-437,-169,105
248,-403,-166,101
249,-387,-168,99
250,-333,-184,98
251,-285,-208,96
252,-260,-226,94
253,-248,-255,92
254,-245,-260,91
255,-230,-292,90
256,-216,-324,90
257,-207,-361,91
258,-190,-456,93
259,-187,-475,95
260,-185,-527,110
261,-185,-530,112
262,-184,-585,114
263,-185,-600,123
264,-189,-714,132
265,-190,-720,138
266,-193,-768,144
267,-197,-795,149
268,-204,-861,155
269,-213,-935,155
270,-213,-938,155
271,-223,-1021,165
272,-226,-1053,175
273,-234,-1119,181
274,-237,-1153,188
275,-249,-1257,191
276,-258,-1345,195
277,-258,-1350,199
278,-273,-1486,209
279,-274,-1494,212
280,-286,-1600,215
281,-295,-1671,218
282,-303,-1707,221
283,-336,-1844,224
284,-362,-1939,228
285,-389,-2028,233
286,-397,-2050,235
287,-437,-2167,238
288,-454,-2213,240
289,-491,-2311,242
290,-502,-2339,243
291,-591,-2555,245
292,-594,-2562,247
293,-655,-2702,252
294,-682,-2757,254
295,-690,-2772,255
296,-723,-2841,256
297,-782,-2939,258
298,-857,-3041,260
299,-992,-3205,261
300,-1050,-3270,263
301,-1157,-3347,265
302,-1184,-3364,266
303,-1249,-3405,267
304,-1312,-3442,268
305,-1420,-3498,269
306,-1477,-3525,270
307,-1654,-3608,271
308,-1713,-3636,273
309,-1829,-3694,275
310,-1873,-3716,276
311,-1961,-3760,278
312,-1984,-3772,278
313,-2134,-3849,279
314,-2202,-3882,280
