index,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
801,0 days 01:50:04.283000,NOR,4,91.15700000000001,33.0,2.0,,,0 days 00:00:30.834000,0 days 00:00:34.635000,0 days 00:00:25.688000,0 days 01:49:03.974000,0 days 01:49:38.609000,0 days 01:50:04.297000,218.0,187.0,274.0,315.0,True,HARD,4.0,True,McLaren,0 days 01:48:33.126000,2024-05-05 20:56:13.894,1,1.0,False,,False,False
802,0 days 01:51:35.572000,NOR,4,91.289,34.0,2.0,,,0 days 00:00:30.653000,0 days 00:00:34.896000,0 days 00:00:25.740000,0 days 01:50:34.950000,0 days 01:51:09.846000,0 days 01:51:35.586000,211.0,187.0,275.0,314.0,False,HARD,5.0,True,McLaren,0 days 01:50:04.283000,2024-05-05 20:57:45.051,1,1.0,False,,False,True
803,0 days 01:53:06.963000,NOR,4,91.391,35.0,2.0,,,0 days 00:00:30.786000,0 days 00:00:34.791000,0 days 00:00:25.814000,0 days 01:52:06.372000,0 days 01:52:41.163000,0 days 01:53:06.977000,213.0,187.0,276.0,315.0,False,HARD,6.0,True,McLaren,0 days 01:51:35.572000,2024-05-05 20:59:16.340,1,1.0,False,,False,True
804,0 days 01:54:38.096000,NOR,4,91.13300000000001,36.0,2.0,,,0 days 00:00:30.610000,0 days 00:00:34.764000,0 days 00:00:25.759000,0 days 01:53:37.587000,0 days 01:54:12.351000,0 days 01:54:38.110000,214.0,187.0,276.0,313.0,True,HARD,7.0,True,McLaren,0 days 01:53:06.963000,2024-05-05 21:00:47.731,1,1.0,False,,False,True
805,0 days 01:56:09.170000,NOR,4,91.07400000000001,37.0,2.0,,,0 days 00:00:30.519000,0 days 00:00:34.744000,0 days 00:00:25.811000,0 days 01:55:08.629000,0 days 01:55:43.373000,0 days 01:56:09.184000,,186.0,276.0,314.0,True,HARD,8.0,True,McLaren,0 days 01:54:38.096000,2024-05-05 21:02:18.864,1,1.0,False,,False,True
806,0 days 01:57:40.304000,NOR,4,91.134,38.0,2.0,,,0 days 00:00:30.649000,0 days 00:00:34.812000,0 days 00:00:25.673000,0 days 01:56:39.833000,0 days 01:57:14.645000,0 days 01:57:40.318000,213.0,187.0,276.0,316.0,False,HARD,9.0,True,McLaren,0 days 01:56:09.170000,2024-05-05 21:03:49.938,1,1.0,False,,False,True
807,0 days 01:59:11.496000,NOR,4,91.19200000000001,39.0,2.0,,,0 days 00:00:30.787000,0 days 00:00:34.738000,0 days 00:00:25.667000,0 days 01:58:11.105000,0 days 01:58:45.843000,0 days 01:59:11.510000,214.0,188.0,276.0,318.0,False,HARD,10.0,True,McLaren,0 days 01:57:40.304000,2024-05-05 21:05:21.072,1,1.0,False,,False,True
808,0 days 02:00:42.718000,NOR,4,91.22200000000001,40.0,2.0,,,0 days 00:00:30.678000,0 days 00:00:34.830000,0 days 00:00:25.714000,0 days 01:59:42.188000,0 days 02:00:17.018000,0 days 02:00:42.732000,213.0,187.0,275.0,317.0,False,HARD,11.0,True,McLaren,0 days 01:59:11.496000,2024-05-05 21:06:52.264,1,1.0,False,,False,True
809,0 days 02:02:13.777000,NOR,4,91.05900000000001,41.0,2.0,,,0 days 00:00:30.482000,0 days 00:00:34.862000,0 days 00:00:25.715000,0 days 02:01:13.214000,0 days 02:01:48.076000,0 days 02:02:13.791000,,187.0,276.0,318.0,True,HARD,12.0,True,McLaren,0 days 02:00:42.718000,2024-05-05 21:08:23.486,1,1.0,False,,False,True
810,0 days 02:03:45.117000,NOR,4,91.34,42.0,2.0,,,0 days 00:00:30.737000,0 days 00:00:34.865000,0 days 00:00:25.738000,0 days 02:02:44.528000,0 days 02:03:19.393000,0 days 02:03:45.131000,211.0,186.0,275.0,316.0,False,HARD,13.0,True,McLaren,0 days 02:02:13.777000,2024-05-05 21:09:54.545,1,1.0,False,,False,True
