,Driver,Position,Q,Qualy
0,VER,1.0,Q3,1
1,LEC,2.0,Q3,1
2,RUS,3.0,Q3,1
3,SAI,4.0,Q3,1
4,PER,5.0,Q3,1
5,ALO,6.0,Q3,1
6,NOR,7.0,Q3,1
7,PIA,8.0,Q3,1
8,HAM,9.0,Q3,1
9,HUL,10.0,Q3,1
10,TSU,11.0,Q2,1
11,STR,12.0,Q2,1
12,ALB,13.0,Q2,1
13,RIC,14.0,Q2,1
14,MAG,15.0,Q2,1
15,BOT,16.0,Q1,1
16,ZHO,17.0,Q1,1
17,SAR,18.0,Q1,1
18,OCO,19.0,Q1,1
19,GAS,20.0,Q1,1
20,VER,1.0,Q3,1
21,LEC,2.0,Q3,1
22,PER,3.0,Q3,1
23,ALO,4.0,Q3,1
24,PIA,5.0,Q3,1
25,NOR,6.0,Q3,1
26,RUS,7.0,Q3,1
27,HAM,8.0,Q3,1
28,TSU,9.0,Q3,1
29,STR,10.0,Q3,1
30,BEA,11.0,Q2,1
31,ALB,12.0,Q2,1
32,MAG,13.0,Q2,1
33,RIC,14.0,Q2,1
34,HUL,15.0,Q2,1
35,BOT,16.0,Q1,1
36,OCO,17.0,Q1,1
37,GAS,18.0,Q1,1
38,SAR,19.0,Q1,1
39,ZHO,20.0,Q1,1
40,VER,1.0,Q3,1
41,SAI,2.0,Q3,1
42,PER,3.0,Q3,1
43,NOR,4.0,Q3,1
44,LEC,5.0,Q3,1
45,PIA,6.0,Q3,1
46,RUS,7.0,Q3,1
47,TSU,8.0,Q3,1
48,STR,9.0,Q3,1
49,ALO,10.0,Q3,1
50,HAM,11.0,Q2,1
51,ALB,12.0,Q2,1
52,BOT,13.0,Q2,1
53,MAG,14.0,Q2,1
54,OCO,15.0,Q2,1
55,HUL,16.0,Q1,1
56,GAS,17.0,Q1,1
57,RIC,18.0,Q1,1
58,ZHO,19.0,Q1,1
59,VER,1.0,Q3,1
60,PER,2.0,Q3,1
61,NOR,3.0,Q3,1
62,SAI,4.0,Q3,1
63,ALO,5.0,Q3,1
64,PIA,6.0,Q3,1
65,HAM,7.0,Q3,1
66,LEC,8.0,Q3,1
67,RUS,9.0,Q3,1
68,TSU,10.0,Q3,1
69,RIC,11.0,Q2,1
70,HUL,12.0,Q2,1
71,BOT,13.0,Q2,1
72,ALB,14.0,Q2,1
73,OCO,15.0,Q2,1
74,STR,16.0,Q1,1
75,GAS,17.0,Q1,1
76,MAG,18.0,Q1,1
77,SAR,19.0,Q1,1
78,ZHO,20.0,Q1,1
79,VER,1.0,Q3,1
80,PER,2.0,Q3,1
81,ALO,3.0,Q3,1
82,NOR,4.0,Q3,1
83,PIA,5.0,Q3,1
84,LEC,6.0,Q3,1
85,SAI,7.0,Q3,1
86,RUS,8.0,Q3,1
87,HUL,9.0,Q3,1
88,BOT,10.0,Q3,1
89,STR,11.0,Q2,1
90,RIC,12.0,Q2,1
91,OCO,13.0,Q2,1
92,ALB,14.0,Q2,1
93,GAS,15.0,Q2,1
94,ZHO,16.0,Q1,1
95,MAG,17.0,Q1,1
96,HAM,18.0,Q1,1
97,TSU,19.0,Q1,1
98,SAR,20.0,Q1,1
99,VER,1.0,Q3,1
100,LEC,2.0,Q3,1
101,SAI,3.0,Q3,1
102,PER,4.0,Q3,1
103,NOR,5.0,Q3,1
104,PIA,6.0,Q3,1
105,RUS,7.0,Q3,1
106,HAM,8.0,Q3,1
107,HUL,9.0,Q3,1
108,TSU,10.0,Q3,1
109,STR,11.0,Q2,1
110,GAS,12.0,Q2,1
111,OCO,13.0,Q2,1
112,ALB,14.0,Q2,1
113,ALO,15.0,Q2,1
114,BOT,16.0,Q1,1
115,SAR,17.0,Q1,1
116,RIC,18.0,Q1,1
117,MAG,19.0,Q1,1
118,ZHO,20.0,Q1,1
119,VER,1.0,Q3,1
120,PIA,2.0,Q3,1
121,NOR,3.0,Q3,1
122,LEC,4.0,Q3,1
123,SAI,5.0,Q3,1
124,RUS,6.0,Q3,1
125,TSU,7.0,Q3,1
126,HAM,8.0,Q3,1
127,RIC,9.0,Q3,1
128,HUL,10.0,Q3,1
129,PER,11.0,Q2,1
130,OCO,12.0,Q2,1
131,STR,13.0,Q2,1
132,ALB,14.0,Q2,1
133,GAS,15.0,Q2,1
134,BOT,16.0,Q1,1
135,ZHO,17.0,Q1,1
