,Driver,Position,Status,Finish,Race
0,VER,1,Finished,Win,1
1,PER,2,Finished,Podium,1
2,SAI,3,Finished,Podium,1
3,LEC,4,Finished,Points,1
4,RUS,5,Finished,Points,1
5,NOR,6,Finished,Points,1
6,HAM,7,Finished,Points,1
7,PIA,8,Finished,Points,1
8,ALO,9,Finished,Points,1
9,STR,10,Finished,Points,1
10,ZHO,11,+1 Lap,Out of the points,1
11,MAG,12,+1 Lap,Out of the points,1
12,RIC,13,+1 Lap,Out of the points,1
13,TSU,14,+1 Lap,Out of the points,1
14,ALB,15,+1 Lap,Out of the points,1
15,HUL,16,+1 Lap,Out of the points,1
16,OCO,17,+1 Lap,Out of the points,1
17,GAS,18,+1 Lap,Out of the points,1
18,BOT,19,+1 Lap,Out of the points,1
19,SAR,20,+2 Laps,Out of the points,1
20,VER,1,Finished,Win,1
21,PER,2,Finished,Podium,1
22,LEC,3,Finished,Podium,1
23,PIA,4,Finished,Points,1
24,ALO,5,Finished,Points,1
25,RUS,6,Finished,Points,1
26,BEA,7,Finished,Points,1
27,NOR,8,Finished,Points,1
28,HAM,9,Finished,Points,1
29,HUL,10,Finished,Points,1
30,ALB,11,Finished,Out of the points,1
31,MAG,12,Finished,Out of the points,1
32,OCO,13,+1 Lap,Out of the points,1
33,SAR,14,+1 Lap,Out of the points,1
34,TSU,15,+1 Lap,Out of the points,1
35,RIC,16,+1 Lap,Out of the points,1
36,BOT,17,+1 Lap,Out of the points,1
37,ZHO,18,+1 Lap,Out of the points,1
38,STR,19,Accident,DNF,1
39,GAS,20,Gearbox,DNF,1
40,SAI,1,Finished,Win,1
41,LEC,2,Finished,Podium,1
42,NOR,3,Finished,Podium,1
43,PIA,4,Finished,Points,1
44,PER,5,Finished,Points,1
45,STR,6,Finished,Points,1
46,TSU,7,Finished,Points,1
47,ALO,8,Finished,Points,1
48,HUL,9,Finished,Points,1
49,MAG,10,+1 Lap,Points,1
50,ALB,11,+1 Lap,Out of the points,1
51,RIC,12,+1 Lap,Out of the points,1
52,GAS,13,+1 Lap,Out of the points,1
53,BOT,14,+1 Lap,Out of the points,1
54,ZHO,15,+1 Lap,Out of the points,1
55,OCO,16,+1 Lap,Out of the points,1
56,RUS,17,Accident,DNF,1
57,HAM,18,Engine,DNF,1
58,VER,19,Brakes,DNF,1
59,VER,1,Finished,Win,1
60,PER,2,Finished,Podium,1
61,SAI,3,Finished,Podium,1
62,LEC,4,Finished,Points,1
63,NOR,5,Finished,Points,1
64,ALO,6,Finished,Points,1
65,RUS,7,Finished,Points,1
66,PIA,8,Finished,Points,1
67,HAM,9,Finished,Points,1
68,TSU,10,+1 Lap,Points,1
69,HUL,11,+1 Lap,Out of the points,1
70,STR,12,+1 Lap,Out of the points,1
71,MAG,13,+1 Lap,Out of the points,1
72,BOT,14,+1 Lap,Out of the points,1
73,OCO,15,+1 Lap,Out of the points,1
74,GAS,16,+1 Lap,Out of the points,1
75,SAR,17,+1 Lap,Out of the points,1
76,ZHO,18,Gearbox,DNF,1
77,RIC,19,Accident,DNF,1
78,ALB,20,Accident,DNF,1
79,VER,1,Finished,Win,1
80,NOR,2,Finished,Podium,1
81,PER,3,Finished,Podium,1
82,LEC,4,Finished,Points,1
83,SAI,5,Finished,Points,1
84,RUS,6,Finished,Points,1
85,ALO,7,Finished,Points,1
86,PIA,8,Finished,Points,1
87,HAM,9,Finished,Points,1
88,HUL,10,Finished,Points,1
89,OCO,11,Finished,Out of the points,1
90,ALB,12,Finished,Out of the points,1
91,GAS,13,Finished,Out of the points,1
92,ZHO,14,Finished,Out of the points,1
93,STR,15,Finished,Out of the points,1
94,MAG,16,Finished,Out of the points,1
95,SAR,17,Finished,Out of the points,1
96,RIC,18,Retired,DNF,1
97,TSU,19,Retired,DNF,1
98,BOT,20,Retired,DNF,1
99,NOR,1,Finished,Win,1
100,VER,2,Finished,Podium,1
101,LEC,3,Finished,Podium,1
102,PER,4,Finished,Points,1
103,SAI,5,Finished,Points,1
104,HAM,6,Finished,Points,1
105,TSU,7,Finished,Points,1
106,RUS,8,Finished,Points,1
107,ALO,9,Finished,Points,1
108,OCO,10,Finished,Points,1
109,HUL,11,Finished,Out of the points,1
110,GAS,12,Finished,Out of the points,1
111,PIA,13,Finished,Out of the points,1
112,ZHO,14,Finished,Out of the points,1
113,RIC,15,Finished,Out of the points,1
114,BOT,16,Finished,Out of the points,1
115,STR,17,Finished,Out of the points,1
116,ALB,18,Finished,Out of the points,1
117,MAG,19,Finished,Out of the points,1
118,SAR,20,Collision,DNF,1
119,VER,1,Finished,Win,1
120,NOR,2,Finished,Podium,1
121,LEC,3,Finished,Podium,1
122,PIA,4,Finished,Points,1
123,SAI,5,Finished,Points,1
124,HAM,6,Finished,Points,1
125,RUS,7,Finished,Points,1
126,PER,8,Finished,Points,1
127,STR,9,Finished,Points,1
128,TSU,10,+1 Lap,Points,1
129,HUL,11,+1 Lap,Out of the points,1
130,MAG,12,+1 Lap,Out of the points,1
131,RIC,13,+1 Lap,Out of the points,1
132,OCO,14,+1 Lap,Out of the points,1
133,ZHO,15,+1 Lap,Out of the points,1
134,GAS,16,+1 Lap,Out of the points,1
135,SAR,17,+1 Lap,Out of the points,1
136,BOT,18,+1 Lap,Out of the points,1
137,ALO,19,+1 Lap,Out of the points,1
138,ALB,20,Retired,DNF,1
139,LEC,1,Finished,Win,1
140,PIA,2,Finished,Podium,1
141,SAI,3,Finished,Podium,1
142,NOR,4,Finished,Points,1
143,RUS,5,Finished,Points,1
144,VER,6,Finished,Points,1
145,HAM,7,Finished,Points,1
146,TSU,8,+1 Lap,Points,1
147,ALB,9,+1 Lap,Points,1
148,GAS,10,+1 Lap,Points,1
149,ALO,11,+2 Laps,Out of the points,1
150,RIC,12,+2 Laps,Out of the points,1
151,BOT,13,+2 Laps,Out of the points,1
152,STR,14,+2 Laps,Out of the points,1
153,SAR,15,+2 Laps,Out of the points,1
