Year,Podiums,Position
2024,1,First/Primero
2024,1,First/Primero
2023,1,First/Primero
2023,1,First/Primero
2023,1,First/Primero
2023,1,First/Primero
2023,1,First/Primero
2023,1,First/Primero
2023,1,First/Primero
2023,1,First/Primero
2023,1,First/Primero
2023,1,First/Primero
2023,1,First/Primero
2023,1,First/Primero
2023,1,First/Primero
2023,1,First/Primero
2023,1,First/Primero
2023,1,First/Primero
2023,1,First/Primero
2023,1,First/Primero
2023,1,First/Primero
2023,1,Second/Segundo
2023,1,Second/Segundo
2022,1,First/Primero
2022,1,First/Primero
2022,1,First/Primero
2022,1,First/Primero
2022,1,First/Primero
2022,1,First/Primero
2022,1,First/Primero
2022,1,First/Primero
2022,1,First/Primero
2022,1,First/Primero
2022,1,First/Primero
2022,1,First/Primero
2022,1,First/Primero
2022,1,First/Primero
2022,1,First/Primero
2022,1,Second/Segundo
2022,1,Third/Tercero
2021,1,First/Primero
2021,1,First/Primero
2021,1,First/Primero
2021,1,First/Primero
2021,1,First/Primero
2021,1,First/Primero
2021,1,First/Primero
2021,1,First/Primero
2021,1,First/Primero
2021,1,First/Primero
2021,1,Second/Segundo
2021,1,Second/Segundo
2021,1,Second/Segundo
2021,1,Second/Segundo
2021,1,Second/Segundo
2021,1,Second/Segundo
2021,1,Second/Segundo
2021,1,Second/Segundo
2020,1,First/Primero
2020,1,First/Primero
2020,1,Second/Segundo
2020,1,Second/Segundo
2020,1,Second/Segundo
2020,1,Second/Segundo
2020,1,Second/Segundo
2020,1,Second/Segundo
2020,1,Third/Tercero
2020,1,Third/Tercero
2020,1,Third/Tercero
2019,1,First/Primero
2019,1,First/Primero
2019,1,First/Primero
2019,1,Second/Segundo
2019,1,Second/Segundo
2019,1,Third/Tercero
2019,1,Third/Tercero
2019,1,Third/Tercero
2019,1,Third/Tercero
2018,1,First/Primero
2018,1,First/Primero
2018,1,Second/Segundo
2018,1,Second/Segundo
2018,1,Second/Segundo
2018,1,Second/Segundo
2018,1,Third/Tercero
2018,1,Third/Tercero
2018,1,Third/Tercero
2018,1,Third/Tercero
2018,1,Third/Tercero
2017,1,First/Primero
2017,1,First/Primero
2017,1,Second/Segundo
2017,1,Third/Tercero
2016,1,First/Primero
2016,1,Second/Segundo
2016,1,Second/Segundo
2016,1,Second/Segundo
2016,1,Second/Segundo
2016,1,Third/Tercero
2016,1,Third/Tercero
