,LapNumber,LapTime,Compound,Driver
0,2.0,83.313,MEDIUM,MAG
1,3.0,82.73700000000001,MEDIUM,MAG
2,4.0,82.51700000000001,MEDIUM,MAG
3,5.0,82.682,MEDIUM,MAG
4,6.0,82.23700000000001,MEDIUM,MAG
5,7.0,82.52000000000001,MEDIUM,MAG
6,8.0,82.411,MEDIUM,MAG
7,9.0,82.32000000000001,MEDIUM,MAG
8,10.0,83.013,MEDIUM,MAG
9,11.0,82.858,MEDIUM,MAG
10,12.0,82.927,MEDIUM,MAG
11,13.0,82.955,MEDIUM,MAG
12,14.0,83.09,MEDIUM,MAG
13,15.0,83.215,MEDIUM,MAG
14,16.0,83.135,MEDIUM,MAG
15,17.0,83.577,MEDIUM,MAG
16,18.0,83.33800000000001,MEDIUM,MAG
17,19.0,83.271,MEDIUM,MAG
18,20.0,82.85000000000001,MEDIUM,MAG
19,21.0,82.686,MEDIUM,MAG
20,22.0,83.013,MEDIUM,MAG
21,23.0,82.76100000000001,MEDIUM,MAG
22,24.0,82.93900000000001,MEDIUM,MAG
23,25.0,83.296,MEDIUM,MAG
24,26.0,82.86200000000001,MEDIUM,MAG
25,27.0,82.938,MEDIUM,MAG
26,28.0,83.13300000000001,MEDIUM,MAG
27,29.0,83.15700000000001,MEDIUM,MAG
28,30.0,83.061,MEDIUM,MAG
29,31.0,83.284,MEDIUM,MAG
30,32.0,84.028,MEDIUM,MAG
31,33.0,83.20700000000001,MEDIUM,MAG
32,34.0,83.22200000000001,MEDIUM,MAG
33,35.0,82.94500000000001,MEDIUM,MAG
34,36.0,83.17500000000001,MEDIUM,MAG
35,39.0,81.485,HARD,MAG
36,40.0,82.40700000000001,HARD,MAG
37,41.0,81.162,HARD,MAG
38,42.0,84.27300000000001,HARD,MAG
39,43.0,81.44600000000001,HARD,MAG
40,44.0,81.238,HARD,MAG
41,45.0,81.69500000000001,HARD,MAG
42,46.0,81.67200000000001,HARD,MAG
43,47.0,81.58,HARD,MAG
44,48.0,81.06800000000001,HARD,MAG
45,49.0,83.71000000000001,HARD,MAG
46,50.0,81.49600000000001,HARD,MAG
47,51.0,81.37400000000001,HARD,MAG
48,52.0,81.61,HARD,MAG
49,53.0,81.102,HARD,MAG
50,54.0,81.132,HARD,MAG
51,55.0,81.25,HARD,MAG
52,56.0,81.18100000000001,HARD,MAG
53,57.0,83.299,HARD,MAG
54,58.0,81.009,HARD,MAG
55,59.0,81.292,HARD,MAG
56,60.0,81.412,HARD,MAG
57,61.0,81.75,HARD,MAG
58,62.0,81.80900000000001,HARD,MAG
59,2.0,82.111,MEDIUM,HUL
60,3.0,81.7,MEDIUM,HUL
61,4.0,82.15700000000001,MEDIUM,HUL
62,5.0,82.18400000000001,MEDIUM,HUL
63,6.0,82.361,MEDIUM,HUL
64,7.0,82.36,MEDIUM,HUL
65,8.0,82.14800000000001,MEDIUM,HUL
66,9.0,82.17500000000001,MEDIUM,HUL
67,10.0,82.53800000000001,MEDIUM,HUL
68,11.0,82.516,MEDIUM,HUL
69,12.0,82.57100000000001,MEDIUM,HUL
70,13.0,86.982,MEDIUM,HUL
71,15.0,81.918,HARD,HUL
72,16.0,81.756,HARD,HUL
73,17.0,82.074,HARD,HUL
74,18.0,82.086,HARD,HUL
75,19.0,82.62400000000001,HARD,HUL
76,20.0,82.30900000000001,HARD,HUL
77,21.0,82.218,HARD,HUL
78,22.0,82.412,HARD,HUL
79,23.0,82.88300000000001,HARD,HUL
80,24.0,83.102,HARD,HUL
81,25.0,82.763,HARD,HUL
82,26.0,82.66900000000001,HARD,HUL
83,27.0,82.322,HARD,HUL
84,28.0,82.744,HARD,HUL
85,29.0,82.82900000000001,HARD,HUL
86,30.0,82.732,HARD,HUL
87,31.0,83.01,HARD,HUL
88,32.0,83.256,HARD,HUL
89,33.0,83.561,HARD,HUL
90,34.0,82.798,HARD,HUL
91,35.0,82.11,HARD,HUL
92,36.0,82.575,HARD,HUL
93,37.0,82.433,HARD,HUL
94,38.0,82.48,HARD,HUL
95,39.0,82.62,HARD,HUL
96,40.0,83.111,HARD,HUL
97,41.0,82.504,HARD,HUL
98,42.0,82.265,HARD,HUL
99,43.0,82.435,HARD,HUL
100,44.0,82.19200000000001,HARD,HUL
101,45.0,82.48100000000001,HARD,HUL
102,46.0,83.483,HARD,HUL
103,47.0,82.763,HARD,HUL
104,48.0,82.26400000000001,HARD,HUL
105,49.0,82.003,HARD,HUL
106,50.0,81.921,HARD,HUL
107,51.0,84.00800000000001,HARD,HUL
108,52.0,84.01700000000001,HARD,HUL
109,53.0,83.667,HARD,HUL
110,54.0,82.25500000000001,HARD,HUL
111,55.0,82.09400000000001,HARD,HUL
112,56.0,82.217,HARD,HUL
113,57.0,83.902,HARD,HUL
114,58.0,82.126,HARD,HUL
115,59.0,82.22500000000001,HARD,HUL
116,60.0,82.409,HARD,HUL
117,61.0,83.789,HARD,HUL
118,62.0,82.21000000000001,HARD,HUL
119,2.0,82.795,MEDIUM,RIC
120,3.0,82.083,MEDIUM,RIC
121,4.0,82.227,MEDIUM,RIC
122,5.0,82.211,MEDIUM,RIC
123,6.0,82.412,MEDIUM,RIC
124,7.0,82.42800000000001,MEDIUM,RIC
125,8.0,82.37400000000001,MEDIUM,RIC
126,9.0,82.453,MEDIUM,RIC
127,10.0,82.494,MEDIUM,RIC
128,11.0,87.08800000000001,MEDIUM,RIC
129,13.0,81.569,HARD,RIC
130,14.0,82.254,HARD,RIC
131,15.0,82.00500000000001,HARD,RIC
132,16.0,82.012,HARD,RIC
133,17.0,82.25800000000001,HARD,RIC
134,18.0,82.031,HARD,RIC
135,19.0,82.224,HARD,RIC
136,20.0,82.013,HARD,RIC
137,21.0,82.221,HARD,RIC
138,22.0,82.4,HARD,RIC
139,23.0,82.64500000000001,HARD,RIC
140,24.0,82.458,HARD,RIC
141,25.0,82.68100000000001,HARD,RIC
142,26.0,83.245,HARD,RIC
143,27.0,83.506,HARD,RIC
144,28.0,83.29100000000001,HARD,RIC
145,29.0,83.32100000000001,HARD,RIC
146,30.0,84.07000000000001,HARD,RIC
147,31.0,83.68900000000001,HARD,RIC
148,32.0,81.85300000000001,HARD,RIC
149,33.0,82.26100000000001,HARD,RIC
150,34.0,81.80000000000001,HARD,RIC
151,35.0,82.24300000000001,HARD,RIC
152,36.0,82.248,HARD,RIC
153,37.0,82.26100000000001,HARD,RIC
154,38.0,82.21900000000001,HARD,RIC
155,39.0,83.668,HARD,RIC
156,40.0,82.28200000000001,HARD,RIC
157,41.0,82.37700000000001,HARD,RIC
158,42.0,82.16600000000001,HARD,RIC
159,43.0,83.653,HARD,RIC
160,44.0,82.53,HARD,RIC
161,45.0,82.07600000000001,HARD,RIC
162,46.0,82.298,HARD,RIC
163,47.0,82.31,HARD,RIC
164,48.0,82.164,HARD,RIC
165,49.0,82.229,HARD,RIC
166,50.0,84.081,HARD,RIC
167,51.0,82.17,HARD,RIC
168,52.0,85.60900000000001,HARD,RIC
169,53.0,82.30000000000001,HARD,RIC
170,54.0,81.985,HARD,RIC
171,55.0,81.9,HARD,RIC
172,56.0,83.896,HARD,RIC
173,57.0,82.31,HARD,RIC
174,58.0,82.06,HARD,RIC
175,59.0,81.974,HARD,RIC
176,60.0,84.027,HARD,RIC
177,61.0,81.941,HARD,RIC
178,62.0,83.435,HARD,RIC
179,2.0,82.366,MEDIUM,TSU
180,3.0,81.75800000000001,MEDIUM,TSU
181,4.0,82.07000000000001,MEDIUM,TSU
182,5.0,82.167,MEDIUM,TSU
183,6.0,82.24000000000001,MEDIUM,TSU
184,7.0,82.67200000000001,MEDIUM,TSU
185,8.0,82.138,MEDIUM,TSU
186,9.0,82.21600000000001,MEDIUM,TSU
187,10.0,82.513,MEDIUM,TSU
188,11.0,82.447,MEDIUM,TSU
189,14.0,80.936,HARD,TSU
190,15.0,81.76100000000001,HARD,TSU
191,16.0,81.635,HARD,TSU
192,17.0,81.855,HARD,TSU
193,18.0,81.949,HARD,TSU
194,19.0,82.162,HARD,TSU
195,20.0,82.453,HARD,TSU
196,21.0,82.941,HARD,TSU
197,22.0,83.322,HARD,TSU
198,23.0,83.393,HARD,TSU
199,24.0,82.57300000000001,HARD,TSU
200,25.0,83.07300000000001,HARD,TSU
201,26.0,82.17500000000001,HARD,TSU
202,27.0,82.391,HARD,TSU
203,28.0,82.52300000000001,HARD,TSU
204,29.0,82.593,HARD,TSU
205,30.0,82.89200000000001,HARD,TSU
206,31.0,83.137,HARD,TSU
207,32.0,83.537,HARD,TSU
208,33.0,82.477,HARD,TSU
209,34.0,82.57100000000001,HARD,TSU
210,35.0,82.333,HARD,TSU
211,36.0,82.66900000000001,HARD,TSU
212,37.0,82.69200000000001,HARD,TSU
213,38.0,82.075,HARD,TSU
214,39.0,82.427,HARD,TSU
215,40.0,82.339,HARD,TSU
216,41.0,82.28800000000001,HARD,TSU
217,42.0,82.879,HARD,TSU
218,43.0,81.998,HARD,TSU
219,44.0,82.07900000000001,HARD,TSU
220,45.0,82.241,HARD,TSU
221,46.0,82.223,HARD,TSU
222,47.0,82.13300000000001,HARD,TSU
223,48.0,81.933,HARD,TSU
224,49.0,81.88000000000001,HARD,TSU
225,50.0,83.35600000000001,HARD,TSU
226,51.0,82.183,HARD,TSU
227,52.0,82.114,HARD,TSU
228,53.0,82.35600000000001,HARD,TSU
229,54.0,85.932,HARD,TSU
230,55.0,82.051,HARD,TSU
231,56.0,83.87,HARD,TSU
232,57.0,81.955,HARD,TSU
233,58.0,82.00500000000001,HARD,TSU
234,59.0,81.828,HARD,TSU
235,60.0,83.836,HARD,TSU
236,61.0,81.891,HARD,TSU
237,62.0,81.988,HARD,TSU
238,2.0,84.186,SOFT,ALO
239,3.0,83.009,SOFT,ALO
240,4.0,83.07100000000001,SOFT,ALO
241,5.0,82.69800000000001,SOFT,ALO
242,6.0,82.762,SOFT,ALO
243,9.0,81.71600000000001,HARD,ALO
244,10.0,81.492,HARD,ALO
245,11.0,81.68,HARD,ALO
246,12.0,81.72800000000001,HARD,ALO
247,13.0,81.644,HARD,ALO
248,14.0,81.69000000000001,HARD,ALO
249,15.0,81.93,HARD,ALO
250,16.0,81.851,HARD,ALO
251,17.0,82.65,HARD,ALO
252,18.0,82.39,HARD,ALO
253,19.0,82.686,HARD,ALO
254,20.0,82.909,HARD,ALO
255,21.0,84.339,HARD,ALO
256,22.0,83.36800000000001,HARD,ALO
257,23.0,82.938,HARD,ALO
258,24.0,82.961,HARD,ALO
259,25.0,82.953,HARD,ALO
260,26.0,82.911,HARD,ALO
261,27.0,82.757,HARD,ALO
262,28.0,82.927,HARD,ALO
263,29.0,82.91300000000001,HARD,ALO
264,30.0,82.896,HARD,ALO
265,31.0,82.557,HARD,ALO
266,32.0,82.688,HARD,ALO
267,33.0,82.57600000000001,HARD,ALO
268,34.0,83.13000000000001,HARD,ALO
269,35.0,82.783,HARD,ALO
270,36.0,82.708,HARD,ALO
271,37.0,83.83800000000001,HARD,ALO
272,38.0,82.905,HARD,ALO
273,39.0,82.903,HARD,ALO
274,42.0,79.851,MEDIUM,ALO
275,43.0,81.02900000000001,MEDIUM,ALO
276,44.0,80.979,MEDIUM,ALO
277,45.0,81.05300000000001,MEDIUM,ALO
278,46.0,81.03200000000001,MEDIUM,ALO
279,47.0,81.045,MEDIUM,ALO
280,48.0,80.92500000000001,MEDIUM,ALO
281,49.0,81.045,MEDIUM,ALO
282,50.0,81.536,MEDIUM,ALO
283,51.0,82.027,MEDIUM,ALO
284,52.0,81.176,MEDIUM,ALO
285,53.0,80.474,MEDIUM,ALO
286,54.0,80.988,MEDIUM,ALO
287,55.0,82.50800000000001,MEDIUM,ALO
288,56.0,83.677,MEDIUM,ALO
289,57.0,82.852,MEDIUM,ALO
290,58.0,83.173,MEDIUM,ALO
291,61.0,84.38900000000001,SOFT,ALO
292,62.0,79.004,SOFT,ALO
293,2.0,83.11500000000001,MEDIUM,STR
294,3.0,82.35600000000001,MEDIUM,STR
295,4.0,82.349,MEDIUM,STR
296,5.0,82.25200000000001,MEDIUM,STR
297,6.0,82.339,MEDIUM,STR
298,7.0,82.53500000000001,MEDIUM,STR
299,8.0,82.39200000000001,MEDIUM,STR
300,9.0,82.569,MEDIUM,STR
301,10.0,82.233,MEDIUM,STR
302,11.0,82.367,MEDIUM,STR
303,12.0,82.415,MEDIUM,STR
304,13.0,82.577,MEDIUM,STR
305,14.0,82.459,MEDIUM,STR
306,15.0,82.342,MEDIUM,STR
307,16.0,82.37100000000001,MEDIUM,STR
308,17.0,82.79400000000001,MEDIUM,STR
309,18.0,83.04700000000001,MEDIUM,STR
310,19.0,82.771,MEDIUM,STR
311,20.0,82.616,MEDIUM,STR
312,21.0,82.58200000000001,MEDIUM,STR
313,22.0,82.697,MEDIUM,STR
314,23.0,82.54400000000001,MEDIUM,STR
315,24.0,82.592,MEDIUM,STR
316,25.0,83.01100000000001,MEDIUM,STR
317,26.0,82.53200000000001,MEDIUM,STR
318,27.0,83.433,MEDIUM,STR
319,28.0,82.811,MEDIUM,STR
320,29.0,82.631,MEDIUM,STR
321,30.0,82.649,MEDIUM,STR
322,31.0,83.921,MEDIUM,STR
323,32.0,82.95400000000001,MEDIUM,STR
324,33.0,82.64800000000001,MEDIUM,STR
325,34.0,82.802,MEDIUM,STR
326,35.0,82.536,MEDIUM,STR
327,36.0,82.55000000000001,MEDIUM,STR
328,39.0,81.973,HARD,STR
329,40.0,80.58800000000001,HARD,STR
330,41.0,81.122,HARD,STR
331,42.0,80.807,HARD,STR
332,43.0,80.598,HARD,STR
333,44.0,82.10300000000001,HARD,STR
334,45.0,82.433,HARD,STR
335,46.0,80.97800000000001,HARD,STR
336,47.0,81.29,HARD,STR
337,48.0,80.964,HARD,STR
338,49.0,81.355,HARD,STR
339,50.0,80.73100000000001,HARD,STR
340,51.0,81.074,HARD,STR
341,52.0,80.682,HARD,STR
342,53.0,80.783,HARD,STR
343,54.0,80.896,HARD,STR
344,55.0,80.718,HARD,STR
345,56.0,80.617,HARD,STR
346,57.0,80.73100000000001,HARD,STR
347,58.0,80.57000000000001,HARD,STR
348,59.0,80.61200000000001,HARD,STR
349,60.0,80.959,HARD,STR
350,61.0,81.647,HARD,STR
351,62.0,82.751,HARD,STR
352,63.0,83.83200000000001,HARD,STR
