,X,Y,Speed
2,515,3795,302
3,523,3814,303
4,573,3936,303
5,574,3939,304
6,644,4109,305
7,651,4128,306
8,695,4235,306
9,703,4254,306
10,747,4361,306
11,768,4412,307
12,799,4487,307
13,842,4592,307
14,883,4692,307
15,1019,5026,308
16,1032,5057,308
17,1064,5135,309
18,1094,5210,309
19,1109,5248,309
20,1175,5418,309
21,1177,5424,310
22,1224,5563,310
23,1261,5685,310
24,1267,5706,310
25,1323,5909,291
26,1328,5928,272
27,1359,6041,257
28,1380,6113,242
29,1385,6130,228
30,1445,6315,204
31,1452,6332,191
32,1486,6408,178
33,1494,6423,173
34,1530,6487,169
35,1538,6499,165
36,1559,6525,160
37,1631,6603,155
38,1645,6614,151
39,1688,6644,142
40,1749,6674,134
41,1775,6683,131
42,1833,6696,129
43,1838,6697,126
44,1873,6701,124
45,1948,6698,122
46,1981,6692,120
47,2000,6688,117
48,2109,6641,115
49,2122,6634,113
50,2193,6560,111
51,2214,6533,111
52,2221,6523,111
53,2254,6461,114
54,2257,6449,118
55,2287,6353,120
56,2293,6328,122
57,2295,6268,125
58,2294,6266,128
59,2293,6207,139
60,2291,6177,143
61,2280,6110,147
62,2279,6104,151
63,2265,6044,156
64,2259,6022,162
65,2230,5925,168
66,2216,5881,172
67,2183,5786,177
68,2181,5780,178
69,2135,5656,179
70,2130,5643,180
71,2096,5557,180
72,2091,5545,180
73,2061,5476,205
74,2042,5434,207
75,2004,5351,210
76,1988,5316,213
77,1927,5179,216
78,1916,5154,218
79,1876,5065,221
80,1839,4959,225
81,1819,4884,229
82,1776,4687,231
83,1770,4651,234
84,1767,4592,234
85,1769,4529,236
86,1769,4513,239
87,1775,4406,241
88,1782,4318,244
89,1787,4269,244
90,1792,4211,244
91,1801,4069,236
92,1800,4050,228
93,1784,3894,224
94,1773,3852,220
95,1745,3791,212
96,1733,3771,205
97,1638,3653,198
98,1621,3637,192
99,1561,3593,192
100,1376,3497,193
101,1358,3488,194
102,1253,3446,195
103,1159,3415,197
104,1105,3395,200
105,947,3332,196
106,916,3316,192
107,832,3268,179
108,780,3232,171
109,746,3202,164
110,726,3176,160
111,716,3162,157
112,685,3112,152
113,667,3072,147
114,648,2991,144
115,646,2906,141
116,646,2903,138
117,656,2846,134
118,676,2794,131
119,715,2728,128
120,735,2701,126
121,785,2664,129
122,811,2647,132
123,857,2623,135
124,909,2602,139
125,960,2591,143
126,1002,2585,148
127,1051,2585,154
128,1106,2590,161
129,1131,2595,164
130,1233,2620,167
131,1235,2620,171
132,1328,2648,177
133,1406,2672,183
134,1443,2683,187
135,1506,2701,191
136,1533,2710,191
137,1604,2736,191
138,1624,2744,197
139,1829,2822,204
140,1887,2843,211
141,1965,2869,215
142,2001,2881,219
143,2046,2896,223
144,2159,2931,227
145,2214,2946,230
146,2455,2999,234
147,2481,3005,237
148,2555,3016,241
149,2601,3020,243
150,2709,3030,245
151,2768,3034,247
152,2905,3038,250
153,2916,3038,251
154,3017,3035,252
155,3042,3034,254
156,3130,3028,257
157,3170,3025,258
158,3385,2996,260
159,3388,2995,262
160,3428,2989,264
161,3591,2958,266
162,3617,2954,267
163,3763,2926,269
164,3825,2914,271
165,4004,2882,274
166,4016,2881,274
167,4076,2872,274
168,4156,2862,275
169,4197,2859,276
170,4277,2853,277
171,4380,2852,277
172,4399,2852,278
173,4609,2870,279
174,4613,2870,280
175,4761,2902,280
176,4796,2912,281
177,4836,2924,281
178,4909,2948,282
179,5056,3010,282
180,5103,3034,283
181,5308,3146,283
182,5313,3149,284
183,5401,3202,285
184,5459,3238,285
185,5530,3281,285
186,5555,3296,286
187,5755,3410,288
188,5778,3422,288
189,5858,3462,288
190,5982,3511,288
191,6079,3541,289
192,6165,3565,289
193,6249,3585,289
194,6502,3612,289
195,6506,3612,289
196,6760,3623,290
197,6798,3625,290
198,6863,3626,290
199,7008,3628,291
200,7083,3627,292
201,7170,3627,292
202,7294,3624,293
203,7555,3617,293
204,7626,3613,294
205,7684,3608,292
206,7687,3607,290
207,7823,3593,282
208,7872,3584,275
209,7941,3570,271
210,8011,3551,268
211,8186,3479,262
212,8205,3467,257
213,8359,3361,253
214,8361,3358,250
215,8447,3276,245
216,8469,3249,241
217,8566,3115,240
218,8568,3111,239
219,8654,2921,239
220,8659,2910,241
221,8703,2615,243
222,8703,2605,243
223,8692,2465,244
224,8681,2379,245
225,8653,2265,246
226,8641,2235,245
227,8552,2053,245
228,8518,1989,245
229,8459,1893,246
230,8445,1872,247
231,8367,1752,248
232,8342,1711,248
233,8254,1571,249
234,8202,1487,252
235,8131,1374,255
236,8085,1297,256
237,8057,1244,257
238,8017,1168,258
239,7936,1008,259
240,7920,975,260
241,7895,923,261
242,7854,827,261
243,7837,788,260
244,7772,643,259
245,7744,579,251
246,7714,513,244
247,7685,459,236
248,7638,384,229
249,7521,234,222
250,7420,165,216
251,7323,122,213
252,7289,109,211
253,7200,89,208
254,7150,82,205
255,7039,70,205
256,6992,67,207
257,6924,65,209
258,6827,69,212
259,6752,73,216
260,6731,75,218
261,6561,97,221
262,6533,101,224
263,6438,121,225
264,6434,121,226
265,6340,146,228
266,6312,153,230
267,6192,193,230
268,6140,212,231
269,6087,235,222
270,6034,258,213
271,5949,304,209
272,5914,325,206
273,5827,382,192
274,5776,415,178
275,5763,433,169
276,5751,443,160
277,5693,495,153
278,5684,502,146
279,5628,563,141
280,5572,640,136
281,5565,649,132
282,5529,721,128
283,5522,746,122
284,5510,803,117
285,5510,815,114
286,5525,905,111
287,5537,940,109
288,5578,1002,106
289,5592,1021,104
290,5611,1044,102
291,5641,1077,102
292,5650,1086,102
293,5694,1129,103
294,5712,1146,104
295,5744,1170,106
296,5783,1198,108
297,5808,1215,109
298,5842,1238,111
299,5866,1251,114
300,5887,1262,117
301,5930,1285,118
302,5937,1288,119
303,5985,1311,123
304,6025,1327,128
305,6080,1348,134
306,6115,1360,137
307,6168,1376,141
308,6173,1378,144
309,6203,1386,148
310,6228,1393,152
311,6255,1399,157
312,6343,1416,165
313,6367,1421,169
314,6446,1433,174
315,6479,1438,180
316,6653,1463,187
317,6673,1466,190
318,6728,1475,193
319,6746,1479,188
320,6826,1496,183
321,6858,1503,179
322,6938,1524,170
323,6993,1540,162
324,7123,1584,158
325,7130,1587,154
326,7206,1622,151
327,7274,1662,144
328,7306,1684,138
329,7346,1722,135
330,7347,1724,132
331,7400,1789,127
332,7440,1886,122
333,7446,1901,119
334,7458,1951,117
335,7458,1984,115
336,7457,2007,113
337,7455,2064,110
338,7454,2072,108
339,7444,2123,106
340,7442,2129,105
341,7426,2178,104
342,7422,2187,103
343,7387,2261,103
344,7370,2289,104
345,7347,2319,105
346,7336,2332,106
347,7316,2355,108
348,7222,2433,110
349,7215,2437,112
350,7168,2463,117
351,7166,2465,119
352,7078,2500,121
353,7064,2503,124
354,6955,2530,130
355,6895,2544,131
356,6810,2559,133
357,6726,2569,147
358,6720,2570,156
359,6530,2596,165
360,6525,2597,170
361,6438,2608,176
362,6408,2611,182
363,6348,2618,187
364,6222,2630,192
365,6197,2631,197
366,6124,2636,200
367,6089,2637,204
368,5999,2641,205
369,5994,2641,207
370,5750,2637,211
371,5720,2636,216
372,5634,2630,223
