,X,Y,Speed
2,1054,-484,261
3,1038,-372,263
4,1028,-310,264
5,1009,-195,266
6,995,-107,267
7,983,-36,268
8,970,54,270
9,949,184,272
10,923,354,273
11,912,419,275
12,901,505,276
13,893,556,277
14,874,686,280
15,874,689,280
16,847,874,281
17,841,916,282
18,810,1134,283
19,804,1185,284
20,789,1288,285
21,773,1413,287
22,771,1437,287
23,761,1510,288
24,747,1626,288
25,747,1629,289
26,728,1770,290
27,711,1911,290
28,696,2036,291
29,681,2164,291
30,670,2258,292
31,661,2341,288
32,657,2377,284
33,638,2542,271
34,637,2560,264
35,620,2707,257
36,618,2723,250
37,591,2932,238
38,589,2945,227
39,578,3014,206
40,570,3056,192
41,556,3126,178
42,554,3138,171
43,534,3220,165
44,534,3222,159
45,466,3397,153
46,451,3421,147
47,410,3476,145
48,354,3530,139
49,354,3531,137
50,325,3556,136
51,286,3575,136
52,279,3577,136
53,191,3607,129
54,130,3626,131
55,103,3633,133
56,48,3642,140
57,48,3643,143
58,-26,3657,147
59,-60,3665,151
60,-105,3676,155
61,-132,3685,155
62,-222,3723,155
63,-254,3741,153
64,-349,3808,151
65,-405,3856,148
66,-415,3865,146
67,-447,3893,143
68,-448,3894,136
69,-512,3949,130
70,-561,3989,125
71,-575,4000,120
72,-623,4034,108
73,-628,4037,107
74,-661,4055,106
75,-705,4074,102
76,-724,4080,99
77,-762,4087,96
78,-799,4088,94
79,-817,4088,92
80,-852,4082,91
81,-875,4076,89
82,-924,4055,88
83,-945,4042,87
84,-985,4010,85
85,-987,4007,84
86,-1019,3971,85
87,-1022,3966,86
88,-1062,3898,89
89,-1077,3867,92
90,-1086,3841,93
91,-1089,3828,95
92,-1110,3764,102
93,-1121,3713,110
94,-1123,3704,112
95,-1138,3614,115
96,-1140,3605,118
97,-1144,3575,122
98,-1145,3566,128
99,-1151,3498,134
100,-1153,3460,134
101,-1151,3319,134
102,-1150,3296,144
103,-1142,3211,154
104,-1132,3144,163
105,-1127,3119,173
106,-1114,3048,175
107,-1110,3032,177
108,-1074,2900,186
109,-1065,2872,196
110,-1048,2823,197
111,-1038,2795,199
112,-1004,2704,203
113,-970,2618,207
114,-966,2609,212
115,-934,2531,214
116,-921,2498,216
117,-845,2319,219
118,-839,2305,222
119,-807,2228,227
120,-792,2192,230
121,-745,2078,234
122,-728,2037,236
123,-698,1961,238
124,-685,1927,238
125,-648,1828,239
126,-644,1817,240
127,-584,1639,244
128,-584,1637,245
129,-539,1482,247
130,-535,1467,247
131,-522,1414,247
132,-512,1372,248
133,-483,1213,242
134,-472,1143,230
135,-461,1051,218
136,-458,983,207
137,-456,930,197
138,-455,862,187
139,-455,803,178
140,-460,733,171
141,-473,638,164
142,-480,609,161
143,-503,535,158
144,-510,521,154
145,-554,441,150
146,-587,397,147
147,-605,379,146
148,-633,352,145
149,-672,323,146
150,-766,270,148
151,-798,258,150
152,-902,223,153
153,-904,223,155
154,-998,199,158
155,-1085,184,161
156,-1180,170,166
157,-1206,166,172
158,-1288,161,179
159,-1336,158,187
160,-1419,154,191
161,-1463,154,191
162,-1502,154,191
163,-1528,155,194
164,-1683,162,198
165,-1731,166,207
166,-1847,175,217
167,-1946,185,219
168,-2021,192,222
169,-2083,198,226
170,-2143,203,230
171,-2221,211,231
172,-2243,213,232
173,-2370,223,237
174,-2420,228,240
175,-2589,241,243
176,-2641,246,246
177,-2754,255,249
178,-2832,262,250
179,-2942,271,252
180,-3001,275,254
181,-3082,282,256
182,-3149,286,259
183,-3251,293,262
184,-3282,296,263
185,-3442,309,264
186,-3454,309,265
187,-3599,321,267
188,-3620,323,269
189,-3760,333,271
190,-3799,337,272
191,-3934,348,273
192,-3958,350,274
193,-4094,361,275
194,-4122,363,276
195,-4316,379,277
196,-4359,382,279
197,-4440,390,280
198,-4579,403,281
199,-4699,416,283
200,-4828,433,284
201,-4888,442,285
202,-5012,463,287
203,-5015,464,287
204,-5139,491,288
205,-5284,530,288
206,-5327,543,289
207,-5471,595,290
208,-5517,615,290
209,-5618,661,290
210,-5635,669,290
211,-5708,705,290
212,-5739,721,291
213,-6021,880,291
214,-6046,894,292
215,-6133,946,291
216,-6182,976,291
217,-6215,996,292
218,-6342,1073,291
219,-6382,1097,291
220,-6466,1148,291
221,-6489,1162,291
222,-6632,1250,291
223,-6853,1386,291
224,-6870,1396,291
225,-7001,1479,291
226,-7051,1513,288
227,-7084,1535,285
228,-7174,1593,282
229,-7190,1604,276
230,-7381,1729,271
231,-7395,1739,262
232,-7466,1786,254
233,-7516,1819,243
234,-7567,1853,232
235,-7695,1942,209
236,-7697,1943,205
237,-7745,1975,201
238,-7775,1992,198
239,-7879,2042,177
240,-7934,2067,165
241,-7992,2090,154
242,-8015,2098,148
243,-8071,2115,143
244,-8128,2130,138
245,-8199,2142,133
246,-8204,2142,129
247,-8261,2146,127
248,-8272,2145,126
249,-8313,2143,124
250,-8337,2138,122
251,-8365,2132,120
252,-8442,2101,118
253,-8446,2098,116
254,-8489,2071,115
255,-8507,2059,116
256,-8533,2037,117
257,-8581,1993,121
258,-8628,1942,126
259,-8651,1916,132
260,-8693,1864,138
261,-8711,1839,144
262,-8763,1769,154
263,-8770,1760,156
264,-8827,1674,159
265,-8834,1665,163
266,-8867,1615,167
267,-8907,1555,173
268,-8914,1542,180
269,-8960,1460,187
270,-8961,1459,189
271,-9007,1365,191
272,-9037,1303,193
273,-9045,1285,196
274,-9087,1194,198
275,-9094,1176,201
276,-9127,1102,192
277,-9151,1044,184
278,-9161,1023,175
279,-9199,932,166
280,-9212,904,157
281,-9251,818,148
282,-9253,812,140
283,-9293,738,132
284,-9299,727,125
285,-9333,671,108
286,-9337,666,105
287,-9350,647,102
288,-9366,625,99
289,-9378,612,95
290,-9425,566,91
291,-9438,558,89
292,-9470,539,87
293,-9473,537,86
294,-9535,523,84
295,-9546,524,82
296,-9603,535,79
297,-9648,554,77
298,-9669,570,78
299,-9695,589,79
300,-9708,599,80
301,-9727,615,81
302,-9777,662,84
303,-9780,665,88
304,-9846,736,97
305,-9862,754,103
306,-9892,789,109
307,-9912,813,116
308,-9938,848,123
309,-9951,865,128
310,-9988,915,133
311,-10003,934,138
312,-10044,987,143
313,-10060,1008,149
314,-10111,1073,156
315,-10143,1113,163
316,-10172,1148,167
317,-10210,1191,172
318,-10250,1237,175
319,-10280,1271,179
320,-10304,1296,178
321,-10353,1344,178
322,-10472,1459,174
323,-10477,1464,170
324,-10526,1504,156
325,-10556,1522,152
326,-10637,1568,148
327,-10685,1593,143
328,-10727,1611,139
329,-10805,1636,136
330,-10837,1645,134
331,-10887,1654,132
332,-10894,1655,129
333,-10939,1656,127
334,-10999,1655,125
335,-11024,1651,124
336,-11104,1627,124
337,-11193,1580,125
338,-11209,1572,125
339,-11232,1557,125
340,-11244,1548,127
341,-11256,1538,130
342,-11305,1496,135
343,-11375,1416,140
344,-11417,1364,145
345,-11440,1333,150
346,-11466,1295,157
347,-11538,1180,165
348,-11566,1135,166
349,-11601,1072,167
350,-11651,979,180
351,-11652,978,184
352,-11675,932,188
353,-11701,882,189
354,-11703,876,191
355,-11767,741,201
356,-11768,739,203
357,-11805,658,205
358,-11816,636,207
359,-11855,555,210
360,-11878,512,211
361,-11910,450,213
362,-11922,428,215
363,-11961,352,218
364,-11977,320,221
365,-12045,197,226
366,-12061,166,232
367,-12110,80,235
368,-12134,40,237
369,-12225,-117,240
370,-12227,-119,243
371,-12294,-236,246
372,-12378,-381,249
373,-12475,-548,251
374,-12504,-599,254
375,-12524,-634,255
376,-12586,-741,256
377,-12645,-843,257
378,-12687,-917,258
379,-12731,-993,258
380,-12763,-1049,258
381,-12818,-1139,252
382,-12837,-1169,246
383,-12916,-1287,236
384,-12974,-1376,227
385,-13030,-1464,208
386,-13072,-1532,190
387,-13091,-1566,181
388,-13127,-1627,173
389,-13139,-1648,166
390,-13185,-1739,159
391,-13194,-1762,153
392,-13221,-1862,147
393,-13224,-1892,147
394,-13224,-1937,147
395,-13217,-2015,140
396,-13210,-2066,137
397,-13196,-2130,134
398,-13183,-2168,132
399,-13176,-2188,133
400,-13168,-2209,134
401,-13134,-2279,136
402,-13095,-2351,138
403,-13075,-2383,140
404,-13041,-2426,142
405,-13016,-2452,145
406,-12980,-2489,148
407,-12943,-2519,151
408,-12910,-2544,154
409,-12845,-2586,158
410,-12790,-2614,162
411,-12688,-2661,162
412,-12654,-2674,162
413,-12622,-2686,155
414,-12602,-2692,148
415,-12537,-2715,148
416,-12536,-2716,135
417,-12431,-2755,123
418,-12417,-2763,123
419,-12382,-2785,123
420,-12322,-2845,119
421,-12312,-2857,115
422,-12280,-2916,112
423,-12273,-2931,110
424,-12254,-2989,111
425,-12238,-3045,113
426,-12225,-3100,117
427,-12216,-3144,121
428,-12212,-3171,124
429,-12202,-3225,128
430,-12188,-3310,139
431,-12181,-3352,150
432,-12177,-3383,155
433,-12166,-3443,160
434,-12144,-3538,166
435,-12139,-3557,168
436,-12112,-3622,171
437,-12103,-3640,172
438,-12067,-3690,174
439,-12060,-3700,176
440,-11973,-3785,178
441,-11958,-3799,183
442,-11898,-3849,188
443,-11870,-3872,189
444,-11810,-3919,191
445,-11701,-4007,195
446,-11667,-4033,200
447,-11619,-4072,205
448,-11579,-4107,207
449,-11464,-4207,210
450,-11406,-4260,206
451,-11366,-4297,203
452,-11336,-4331,194
453,-11297,-4374,186
454,-11245,-4436,184
455,-11240,-4442,183
456,-11195,-4504,173
457,-11182,-4523,164
458,-11105,-4645,156
459,-11094,-4661,148
460,-11063,-4710,125
461,-11045,-4736,116
462,-11007,-4784,108
463,-10999,-4795,102
464,-10977,-4818,96
465,-10969,-4827,92
466,-10938,-4853,88
467,-10938,-4854,84
468,-10891,-4883,81
469,-10874,-4891,78
470,-10840,-4903,76
471,-10833,-4904,74
472,-10808,-4906,72
473,-10776,-4901,70
474,-10772,-4900,68
475,-10741,-4886,65
476,-10735,-4882,63
477,-10703,-4855,61
478,-10694,-4845,59
479,-10694,-4845,60
480,-10663,-4800,62
481,-10658,-4791,63
482,-10647,-4770,65
483,-10645,-4766,65
484,-10630,-4728,66
485,-10619,-4695,70
486,-10611,-4672,74
487,-10607,-4655,79
488,-10607,-4655,82
489,-10597,-4614,86
490,-10595,-4605,89
491,-10586,-4564,93
492,-10581,-4539,97
493,-10569,-4475,103
494,-10562,-4436,109
495,-10552,-4381,113
496,-10549,-4359,118
497,-10544,-4335,123
498,-10540,-4305,130
499,-10531,-4241,137
500,-10522,-4160,144
501,-10516,-4110,152
502,-10507,-4041,159
503,-10501,-3997,167
504,-10497,-3968,171
505,-10491,-3925,176
506,-10479,-3843,182
507,-10465,-3755,188
508,-10459,-3712,192
509,-10437,-3584,197
510,-10435,-3574,202
511,-10396,-3379,212
512,-10394,-3365,215
513,-10372,-3252,218
514,-10357,-3170,220
515,-10355,-3161,223
516,-10330,-3033,228
517,-10330,-3030,230
518,-10295,-2834,232
519,-10276,-2727,234
520,-10269,-2686,237
521,-10265,-2660,241
522,-10245,-2550,245
523,-10240,-2521,245
524,-10225,-2442,245
525,-10215,-2387,247
526,-10199,-2306,250
527,-10194,-2278,251
528,-10172,-2168,253
529,-10158,-2099,255
530,-10118,-1893,258
531,-10109,-1847,259
532,-10085,-1734,260
533,-10082,-1724,261
534,-10064,-1635,262
535,-10042,-1532,263
536,-9996,-1345,264
537,-9971,-1257,265
538,-9931,-1119,266
539,-9914,-1062,267
540,-9894,-1004,268
541,-9881,-963,265
542,-9863,-907,262
543,-9832,-815,259
544,-9772,-642,240
545,-9736,-543,222
546,-9705,-460,208
547,-9670,-368,194
548,-9666,-360,180
549,-9633,-273,161
550,-9625,-252,150
551,-9572,-127,139
552,-9562,-105,129
553,-9549,-77,123
554,-9542,-64,118
555,-9503,0,106
556,-9503,1,103
557,-9470,44,100
558,-9456,57,98
559,-9424,85,96
560,-9403,96,94
561,-9358,118,91
562,-9349,121,89
563,-9306,128,86
564,-9277,127,84
565,-9268,127,84
566,-9232,123,85
567,-9216,119,87
568,-9143,91,89
569,-9115,79,91
570,-9087,64,93
571,-9071,54,99
572,-8991,0,105
573,-8986,-5,111
574,-8941,-39,118
575,-8890,-80,125
576,-8890,-81,132
577,-8835,-126,139
578,-8783,-169,147
579,-8776,-176,150
580,-8712,-230,153
581,-8712,-231,156
582,-8660,-276,159
583,-8647,-287,163
584,-8579,-350,176
585,-8564,-365,178
586,-8492,-432,180
587,-8476,-448,183
588,-8461,-462,187
589,-8399,-519,191
590,-8352,-564,195
591,-8286,-623,200
592,-8217,-680,205
593,-8190,-704,205
594,-8128,-755,205
595,-8082,-794,212
596,-8037,-831,219
597,-7952,-903,222
598,-7850,-986,225
599,-7841,-992,228
600,-7733,-1075,232
601,-7674,-1116,236
602,-7637,-1143,237
603,-7525,-1213,239
604,-7479,-1239,240
605,-7455,-1251,242
606,-7433,-1261,244
607,-7333,-1307,244
608,-7269,-1334,247
609,-7158,-1371,250
610,-7100,-1387,252
611,-6950,-1416,254
612,-6948,-1417,254
613,-6814,-1434,255
614,-6764,-1439,256
615,-6692,-1444,257
616,-6613,-1449,259
617,-6473,-1458,261
618,-6384,-1463,263
619,-6289,-1469,265
620,-6200,-1474,267
621,-6111,-1481,268
622,-6084,-1482,269
623,-5937,-1492,272
624,-5916,-1494,272
625,-5767,-1503,273
626,-5643,-1512,274
627,-5550,-1517,276
628,-5474,-1523,279
629,-5260,-1537,282
630,-5242,-1539,282
631,-5070,-1550,282
632,-5040,-1551,283
633,-4786,-1567,284
634,-4771,-1568,283
635,-4681,-1572,283
636,-4614,-1576,283
637,-4394,-1587,283
638,-4295,-1591,284
639,-4162,-1596,284
640,-4089,-1596,284
641,-4078,-1597,284
642,-3889,-1599,284
643,-3877,-1599,284
644,-3765,-1602,283
645,-3668,-1605,275
646,-3444,-1611,268
647,-3404,-1613,263
648,-3336,-1615,259
649,-3288,-1617,239
650,-3258,-1618,219
651,-3139,-1624,207
652,-3042,-1631,203
653,-3020,-1633,200
654,-3010,-1633,197
655,-2862,-1646,158
