,X,Y,Speed
2,-1265,-444,230
3,-1189,-502,232
4,-1180,-508,236
5,-1135,-542,239
6,-1093,-575,240
7,-1065,-595,242
8,-1007,-641,245
9,-916,-710,248
10,-818,-786,251
11,-760,-830,255
12,-648,-916,257
13,-615,-940,259
14,-520,-1013,264
15,-509,-1022,265
16,-403,-1103,267
17,-335,-1155,269
18,-260,-1213,271
19,-152,-1295,274
20,-42,-1380,276
21,22,-1429,279
22,167,-1540,280
23,178,-1548,281
24,367,-1694,283
25,445,-1754,286
26,590,-1865,289
27,647,-1908,289
28,670,-1926,290
29,750,-1987,292
30,826,-2046,294
31,892,-2096,295
32,1167,-2306,296
33,1189,-2322,298
34,1262,-2378,299
35,1273,-2387,300
36,1385,-2473,301
37,1419,-2499,301
38,1630,-2661,301
39,1698,-2712,302
40,1818,-2803,303
41,1935,-2893,304
42,1952,-2906,304
43,2042,-2975,304
44,2139,-3050,304
45,2203,-3099,305
46,2259,-3144,305
47,2309,-3184,305
48,2365,-3229,305
49,2469,-3309,305
50,2499,-3332,304
51,2621,-3424,304
52,2685,-3472,304
53,2768,-3537,303
54,2792,-3556,303
55,2897,-3640,289
56,2982,-3717,276
57,2994,-3727,258
58,3088,-3805,240
59,3091,-3807,216
60,3197,-3893,192
61,3208,-3902,180
62,3290,-3967,169
63,3299,-3974,163
64,3333,-3998,157
65,3369,-4020,151
66,3432,-4046,138
67,3533,-4069,125
68,3542,-4071,119
69,3588,-4075,114
70,3603,-4074,110
71,3673,-4056,107
72,3705,-4044,103
73,3745,-4014,99
74,3765,-3989,98
75,3767,-3985,97
76,3790,-3949,95
77,3794,-3940,94
78,3808,-3890,92
79,3812,-3866,90
80,3813,-3852,88
81,3813,-3843,86
82,3812,-3791,87
83,3810,-3771,88
84,3806,-3736,89
85,3805,-3731,91
86,3799,-3678,95
87,3792,-3628,99
88,3788,-3604,103
89,3773,-3522,111
90,3772,-3513,113
91,3764,-3473,115
92,3756,-3441,124
93,3752,-3425,132
94,3733,-3362,140
95,3730,-3353,146
96,3702,-3285,152
97,3691,-3261,159
98,3676,-3229,166
99,3624,-3120,173
100,3620,-3110,176
101,3586,-3037,179
102,3573,-3010,183
103,3525,-2903,189
104,3512,-2876,196
105,3503,-2853,200
106,3459,-2743,204
107,3417,-2626,211
108,3383,-2515,218
109,3370,-2464,218
110,3359,-2424,218
111,3339,-2331,223
112,3333,-2285,229
113,3327,-2146,233
114,3327,-2129,235
115,3336,-2026,238
116,3345,-1983,239
117,3370,-1852,240
118,3371,-1849,242
119,3415,-1694,244
120,3440,-1633,246
121,3517,-1482,248
122,3536,-1445,250
123,3649,-1285,252
124,3664,-1266,254
125,3735,-1191,254
126,3743,-1182,255
127,3821,-1114,256
128,3912,-1042,257
129,3924,-1033,259
130,4176,-867,260
131,4179,-866,261
132,4265,-814,262
133,4319,-789,263
134,4370,-764,264
135,4502,-696,266
136,4565,-662,268
137,4620,-633,268
138,4790,-540,269
139,4825,-517,270
140,4950,-429,271
141,4971,-412,272
142,4986,-401,273
143,5143,-281,274
144,5228,-216,275
145,5338,-121,276
146,5380,-73,275
147,5419,-18,274
148,5503,117,275
149,5547,197,276
150,5580,256,276
151,5639,359,276
152,5664,402,276
153,5718,496,276
154,5845,677,277
155,5876,718,275
156,6023,856,274
157,6027,858,274
158,6194,945,275
159,6300,997,274
160,6341,1017,274
161,6422,1061,279
162,6455,1089,276
163,6550,1191,273
164,6581,1232,272
165,6650,1350,271
166,6665,1381,268
167,6696,1457,266
168,6707,1489,265
169,6729,1573,264
170,6744,1636,264
171,6757,1691,264
172,6772,1752,263
173,6803,1891,262
174,6821,1949,262
175,6863,2056,262
176,6886,2105,262
177,6958,2230,261
178,6960,2233,259
179,7003,2291,258
180,7210,2487,257
181,7213,2489,254
182,7340,2577,252
183,7448,2638,248
184,7527,2679,244
185,7633,2716,241
186,7725,2738,238
187,7809,2754,238
188,7870,2761,239
189,7993,2751,238
190,8022,2746,238
191,8203,2699,238
192,8269,2675,238
193,8349,2642,238
194,8413,2614,239
195,8463,2591,240
196,8557,2540,241
197,8644,2492,241
198,8691,2466,241
199,8701,2460,241
200,8978,2360,234
201,9009,2352,227
202,9162,2329,221
203,9164,2329,217
204,9274,2339,214
205,9352,2370,211
206,9416,2400,210
207,9506,2450,209
208,9542,2478,208
209,9547,2482,207
210,9661,2563,210
211,9673,2573,210
212,9746,2643,211
213,9756,2654,212
214,9834,2747,213
215,9884,2813,214
216,9929,2871,216
217,9954,2900,218
218,9991,2941,215
219,10012,2964,212
220,10054,3011,202
221,10148,3113,193
222,10151,3115,188
223,10262,3198,183
224,10377,3255,178
225,10445,3265,172
226,10447,3266,170
227,10499,3269,168
228,10569,3267,164
229,10603,3264,162
230,10638,3259,161
231,10766,3215,160
232,10805,3198,161
233,10864,3162,162
234,10904,3132,163
235,10966,3081,165
236,11011,3042,168
237,11022,3030,171
238,11024,3029,175
239,11132,2914,179
240,11150,2901,182
241,11229,2856,186
242,11236,2852,190
243,11348,2820,189
244,11356,2818,189
245,11476,2811,190
246,11528,2814,192
247,11541,2815,193
248,11663,2827,194
249,11689,2830,195
250,11856,2852,198
251,11876,2855,201
252,11975,2877,207
253,12027,2890,214
254,12091,2907,219
255,12239,2945,225
256,12258,2950,226
257,12443,2998,227
258,12491,3011,229
259,12610,3045,235
260,12733,3085,238
261,12769,3098,241
262,12843,3131,245
263,12846,3132,246
264,12972,3189,248
265,13044,3221,250
266,13142,3267,253
267,13187,3293,255
268,13346,3400,257
269,13432,3478,259
270,13475,3523,261
271,13564,3614,264
272,13577,3628,264
273,13644,3702,264
274,13723,3794,265
275,13789,3875,267
276,13814,3906,269
277,13873,3981,271
278,14049,4201,274
279,14072,4229,275
280,14163,4343,277
281,14197,4385,277
282,14305,4518,278
283,14324,4541,279
284,14424,4661,279
285,14513,4770,280
286,14520,4779,281
287,14593,4867,282
288,14600,4876,283
