,X,Y,Speed
2,3357,892,296
3,3360,877,297
4,3379,713,298
5,3386,611,299
6,3393,445,301
7,3395,398,301
8,3395,289,302
9,3394,247,302
10,3377,-55,303
11,3370,-143,304
12,3364,-194,304
13,3363,-207,304
14,3346,-356,304
15,3346,-358,301
16,3332,-476,298
17,3315,-614,295
18,3303,-726,273
19,3291,-848,251
20,3285,-924,239
21,3281,-978,227
22,3281,-1044,217
23,3280,-1062,207
24,3282,-1143,189
25,3289,-1202,177
26,3327,-1358,165
27,3347,-1404,156
28,3356,-1418,152
29,3418,-1504,148
30,3429,-1517,146
31,3463,-1551,144
32,3476,-1563,143
33,3533,-1607,143
34,3591,-1647,138
35,3648,-1680,134
36,3676,-1695,126
37,3742,-1731,118
38,3768,-1748,111
39,3826,-1789,104
40,3845,-1804,98
41,3862,-1826,92
42,3870,-1846,88
43,3887,-1911,85
44,3888,-1918,85
45,3888,-1959,85
46,3876,-2012,80
47,3871,-2034,78
48,3864,-2053,77
49,3861,-2063,79
50,3845,-2098,82
51,3831,-2123,84
52,3793,-2174,86
53,3785,-2184,89
54,3745,-2218,93
55,3723,-2230,96
56,3693,-2243,100
57,3670,-2252,105
58,3633,-2261,111
59,3595,-2267,115
60,3533,-2272,119
61,3526,-2272,123
62,3460,-2274,128
63,3438,-2273,133
64,3386,-2272,140
65,3345,-2270,148
66,3320,-2269,152
67,3224,-2259,157
68,3205,-2256,162
69,3069,-2229,174
70,3069,-2229,178
71,2980,-2205,183
72,2962,-2200,186
73,2860,-2168,190
74,2831,-2159,196
75,2698,-2115,203
76,2684,-2110,207
77,2502,-2041,211
78,2436,-2015,215
79,2371,-1980,217
80,2315,-1948,220
81,2165,-1863,222
82,2151,-1854,225
83,2040,-1783,232
84,1960,-1726,235
85,1932,-1706,239
86,1840,-1641,241
87,1742,-1568,244
88,1666,-1510,246
89,1655,-1501,248
90,1514,-1389,249
91,1503,-1380,250
92,1481,-1362,252
93,1317,-1229,253
94,1284,-1202,255
95,1186,-1124,247
96,1176,-1116,239
97,1106,-1059,226
98,1060,-1020,213
99,1043,-1005,201
100,965,-932,190
101,924,-891,178
102,874,-837,167
103,852,-807,163
104,808,-741,159
105,785,-704,157
106,760,-664,156
107,751,-615,152
108,747,-573,149
109,744,-480,147
110,744,-471,146
111,760,-359,145
112,762,-352,149
113,770,-269,153
114,769,-235,155
115,759,-129,157
116,753,-75,162
117,747,-28,167
118,740,-4,163
119,729,20,164
120,701,78,166
121,669,142,166
122,650,174,167
123,573,271,176
124,556,293,181
125,452,420,187
126,444,431,192
127,374,517,197
128,365,529,200
129,313,590,204
130,277,636,207
131,240,681,210
132,209,717,213
133,178,753,216
134,145,788,219
135,86,851,222
136,24,911,226
137,-31,962,229
138,-130,1045,232
139,-212,1111,235
140,-256,1146,239
141,-413,1270,243
142,-514,1356,248
143,-575,1416,249
144,-619,1465,251
145,-663,1520,252
146,-716,1602,253
147,-729,1625,254
148,-817,1820,257
149,-824,1839,258
150,-866,1972,259
151,-930,2241,260
152,-932,2257,261
153,-944,2494,263
154,-944,2526,265
155,-942,2692,267
156,-942,2719,268
157,-938,2853,269
158,-935,2925,270
159,-928,3063,255
160,-914,3254,241
161,-914,3270,222
162,-913,3421,203
163,-914,3450,184
164,-918,3503,178
165,-920,3531,172
166,-935,3616,157
167,-937,3625,147
168,-959,3707,137
169,-988,3780,129
170,-1051,3875,121
171,-1056,3882,118
172,-1072,3903,116
173,-1087,3912,113
174,-1137,3941,111
175,-1189,3968,107
176,-1199,3972,104
177,-1261,3982,103
178,-1271,3982,102
179,-1308,3984,103
180,-1322,3983,104
181,-1434,3976,112
182,-1441,3976,116
183,-1485,3972,120
184,-1530,3970,126
185,-1550,3969,132
186,-1589,3970,138
187,-1628,3973,144
188,-1707,3987,147
189,-1754,4002,150
190,-1772,4010,154
191,-1886,4080,159
192,-1904,4092,161
193,-1952,4133,164
194,-1965,4148,169
195,-2032,4226,175
196,-2052,4252,176
197,-2086,4302,177
198,-2091,4310,179
199,-2147,4412,185
200,-2172,4471,192
201,-2213,4586,195
202,-2216,4596,199
203,-2255,4754,204
204,-2257,4765,210
205,-2285,4930,215
206,-2289,4954,219
207,-2305,5074,223
208,-2315,5159,228
209,-2320,5200,229
210,-2335,5341,231
211,-2340,5381,234
212,-2350,5474,238
213,-2352,5500,242
214,-2368,5650,245
215,-2369,5663,248
216,-2379,5775,250
217,-2386,5859,252
218,-2391,5916,254
219,-2397,6001,257
220,-2401,6045,261
221,-2410,6176,265
222,-2419,6294,267
223,-2427,6429,269
224,-2429,6473,272
225,-2434,6550,273
226,-2439,6686,275
227,-2442,6748,277
228,-2446,6888,279
229,-2447,6935,281
230,-2449,7012,283
231,-2448,7247,286
232,-2448,7265,287
233,-2443,7469,289
234,-2442,7505,291
235,-2427,7772,293
236,-2425,7813,294
237,-2415,7943,295
238,-2394,8159,297
239,-2391,8190,297
240,-2373,8360,298
241,-2354,8487,301
242,-2334,8620,302
243,-2300,8819,303
244,-2283,8919,303
245,-2259,9039,304
246,-2214,9238,306
247,-2214,9239,306
248,-2191,9336,306
249,-2155,9487,306
250,-2148,9514,307
251,-2111,9669,307
252,-2072,9837,307
253,-2058,9903,261
254,-2015,10089,215
255,-2013,10100,206
256,-1999,10158,198
257,-1987,10202,190
258,-1957,10299,169
259,-1949,10325,163
260,-1920,10395,157
261,-1920,10396,152
262,-1847,10499,148
263,-1814,10532,144
264,-1766,10550,142
265,-1689,10572,141
266,-1658,10578,140
267,-1615,10588,140
268,-1469,10642,141
269,-1462,10646,143
270,-1440,10655,145
271,-1426,10666,149
