,X,Y,Speed
2,1312,-348,300
3,1233,-475,301
4,1211,-510,302
5,1172,-570,303
6,1123,-648,306
7,1120,-653,306
8,1010,-826,307
9,995,-849,308
10,909,-986,309
11,792,-1169,311
12,779,-1190,312
13,686,-1337,313
14,623,-1435,315
15,611,-1455,315
16,513,-1610,316
17,508,-1618,317
18,376,-1826,318
19,284,-1971,319
20,243,-2036,319
21,230,-2056,319
22,157,-2171,319
23,75,-2300,320
24,-57,-2508,321
25,-62,-2516,321
26,-194,-2718,321
27,-243,-2792,321
28,-267,-2828,322
29,-332,-2926,322
30,-392,-3017,322
31,-491,-3165,322
32,-577,-3294,323
33,-600,-3329,322
34,-650,-3404,322
35,-700,-3478,322
36,-817,-3653,323
37,-839,-3686,323
38,-944,-3843,323
39,-1059,-4014,323
40,-1063,-4020,323
41,-1121,-4105,323
42,-1210,-4238,323
43,-1215,-4246,323
44,-1260,-4313,323
45,-1412,-4539,324
46,-1451,-4596,324
47,-1528,-4712,324
48,-1575,-4783,324
49,-1589,-4805,324
50,-1664,-4918,324
51,-1708,-4987,325
52,-1802,-5140,325
53,-1817,-5164,324
54,-1892,-5291,324
55,-1927,-5351,324
56,-1983,-5447,325
57,-2044,-5555,324
58,-2127,-5702,324
59,-2193,-5822,324
60,-2210,-5854,324
61,-2286,-5992,324
62,-2359,-6121,323
63,-2372,-6143,323
64,-2458,-6290,317
65,-2493,-6346,312
66,-2570,-6464,289
67,-2632,-6552,267
68,-2644,-6567,246
69,-2752,-6699,225
70,-2771,-6722,215
71,-2832,-6786,205
72,-2893,-6837,195
73,-3005,-6922,186
74,-3008,-6924,183
75,-3049,-6947,181
76,-3065,-6954,179
77,-3142,-6982,176
78,-3158,-6985,173
79,-3314,-6991,166
80,-3338,-6990,164
81,-3399,-6979,162
82,-3465,-6955,165
83,-3490,-6945,174
84,-3801,-6805,183
85,-3886,-6780,193
86,-3961,-6768,196
87,-4046,-6768,199
88,-4077,-6773,200
89,-4162,-6794,201
90,-4242,-6820,204
91,-4333,-6860,208
92,-4382,-6889,213
93,-4543,-6991,219
94,-4547,-6994,219
95,-4617,-7045,219
96,-4643,-7064,220
97,-4719,-7118,223
98,-4814,-7182,226
99,-4831,-7193,230
100,-4902,-7238,232
101,-5005,-7296,234
102,-5036,-7312,237
103,-5159,-7368,242
104,-5223,-7394,243
105,-5297,-7420,244
106,-5366,-7434,245
107,-5539,-7451,247
108,-5584,-7456,247
109,-5644,-7463,248
110,-5703,-7455,250
111,-5751,-7445,250
112,-5951,-7399,251
113,-6094,-7359,252
114,-6142,-7322,253
115,-6170,-7304,253
116,-6244,-7256,254
117,-6311,-7210,255
118,-6360,-7168,256
119,-6414,-7114,256
120,-6424,-7103,256
121,-6460,-7058,257
122,-6564,-6901,258
123,-6593,-6853,258
124,-6643,-6750,259
125,-6688,-6594,260
126,-6711,-6479,261
127,-6714,-6455,263
128,-6718,-6435,263
129,-6729,-6308,264
130,-6731,-6288,264
131,-6734,-6167,265
132,-6732,-6096,266
133,-6703,-5798,267
134,-6701,-5786,269
135,-6678,-5653,269
136,-6649,-5517,270
137,-6645,-5500,272
138,-6622,-5407,273
139,-6612,-5370,273
140,-6594,-5312,274
141,-6529,-5132,276
142,-6521,-5112,276
143,-6475,-5015,277
144,-6463,-4992,278
145,-6407,-4892,279
146,-6354,-4806,280
147,-6341,-4786,280
148,-6231,-4625,281
149,-6144,-4502,282
150,-6098,-4440,283
151,-6042,-4361,284
152,-6027,-4337,285
153,-5861,-4070,287
154,-5858,-4064,288
155,-5716,-3827,289
156,-5710,-3816,289
157,-5670,-3752,289
158,-5618,-3671,289
159,-5565,-3592,289
160,-5437,-3404,286
161,-5315,-3231,284
162,-5259,-3158,284
163,-5244,-3140,260
164,-5200,-3090,236
165,-5168,-3056,226
166,-5121,-3009,217
167,-5045,-2948,211
168,-5029,-2938,205
169,-4879,-2864,199
170,-4841,-2849,193
171,-4763,-2836,186
172,-4730,-2837,182
173,-4636,-2842,178
174,-4613,-2845,176
175,-4546,-2859,174
176,-4511,-2873,171
177,-4452,-2900,169
178,-4386,-2936,168
179,-4362,-2950,167
180,-4307,-2998,167
181,-4291,-3015,168
182,-4287,-3021,169
183,-4236,-3079,171
184,-4194,-3132,176
185,-4144,-3208,182
186,-4136,-3225,185
187,-4081,-3358,189
188,-4056,-3430,191
189,-4044,-3468,193
190,-4042,-3494,196
191,-4035,-3535,199
192,-4024,-3662,205
193,-4026,-3686,206
194,-4039,-3818,208
195,-4051,-3896,211
196,-4058,-3939,214
197,-4085,-4012,216
198,-4086,-4017,218
199,-4117,-4098,222
200,-4153,-4172,224
201,-4239,-4314,226
202,-4253,-4335,229
203,-4373,-4504,237
204,-4376,-4508,239
205,-4439,-4595,241
206,-4530,-4720,243
207,-4568,-4771,247
208,-4682,-4927,251
209,-4699,-4950,252
210,-4761,-5036,253
211,-4765,-5041,253
212,-4828,-5127,253
213,-4865,-5178,254
214,-4944,-5288,255
215,-4963,-5315,240
216,-5035,-5423,226
217,-5072,-5483,212
218,-5095,-5521,200
219,-5112,-5553,188
220,-5116,-5561,179
221,-5169,-5669,171
222,-5179,-5695,163
223,-5215,-5817,145
224,-5224,-5858,143
225,-5226,-5872,141
226,-5228,-5920,132
227,-5228,-5928,129
228,-5216,-6009,127
229,-5211,-6026,125
230,-5196,-6065,121
231,-5148,-6138,118
232,-5146,-6141,117
233,-5085,-6193,116
234,-5078,-6199,114
235,-5048,-6216,113
236,-5021,-6227,114
237,-5003,-6233,116
238,-4939,-6248,118
239,-4914,-6249,121
240,-4822,-6248,126
241,-4783,-6246,127
242,-4761,-6244,129
243,-4722,-6233,137
244,-4676,-6218,145
245,-4603,-6194,150
246,-4589,-6188,155
247,-4521,-6157,160
248,-4439,-6116,165
249,-4428,-6110,172
250,-4369,-6078,179
251,-4340,-6062,181
252,-4249,-6012,183
253,-4242,-6008,186
254,-4211,-5992,190
255,-4168,-5968,194
256,-4115,-5940,197
257,-4060,-5911,201
258,-3921,-5843,206
259,-3872,-5820,211
260,-3734,-5761,217
261,-3595,-5702,223
262,-3491,-5658,229
263,-3466,-5648,231
264,-3403,-5620,234
265,-3325,-5580,237
266,-3209,-5515,240
267,-3168,-5490,244
268,-3039,-5402,246
269,-3002,-5373,248
270,-2898,-5289,250
271,-2843,-5240,253
272,-2805,-5202,255
273,-2722,-5115,257
274,-2679,-5067,258
275,-2645,-5026,259
276,-2589,-4956,259
277,-2575,-4938,260
278,-2490,-4822,262
279,-2476,-4802,262
280,-2394,-4685,263
281,-2334,-4597,263
282,-2298,-4545,264
283,-2247,-4469,251
284,-2232,-4448,238
285,-2178,-4369,226
286,-2150,-4312,217
287,-2128,-4255,208
288,-2094,-4142,201
289,-2087,-4116,195
290,-2084,-4068,186
291,-2084,-4059,182
292,-2081,-3951,179
293,-2083,-3926,176
294,-2089,-3869,173
295,-2100,-3802,171
296,-2111,-3771,168
297,-2208,-3615,165
298,-2216,-3606,168
299,-2291,-3539,171
300,-2304,-3530,173
301,-2387,-3471,175
302,-2439,-3435,180
303,-2497,-3391,186
304,-2529,-3364,194
305,-2619,-3276,202
306,-2638,-3256,202
307,-2703,-3170,203
308,-2730,-3129,205
309,-2748,-3098,208
310,-2777,-3043,211
311,-2830,-2932,216
312,-2865,-2857,219
313,-2872,-2840,222
314,-2916,-2743,224
315,-2918,-2736,226
316,-2993,-2581,229
317,-3007,-2550,233
318,-3044,-2475,234
319,-3053,-2455,235
320,-3114,-2327,239
321,-3134,-2284,244
322,-3160,-2229,246
323,-3258,-2021,249
324,-3261,-2016,252
325,-3383,-1760,255
326,-3392,-1736,258
327,-3449,-1575,260
328,-3494,-1422,261
329,-3504,-1341,262
330,-3505,-1337,262
331,-3507,-1201,263
332,-3506,-1161,263
333,-3483,-989,263
334,-3455,-856,263
335,-3429,-772,264
336,-3403,-704,263
337,-3394,-684,263
338,-3354,-598,263
339,-3323,-547,263
340,-3164,-352,263
341,-3124,-318,264
342,-3056,-276,264
343,-3025,-260,264
344,-2848,-179,265
345,-2748,-141,267
346,-2678,-113,268
347,-2514,-42,270
348,-2444,-11,273
349,-2170,116,276
350,-2167,118,277
351,-2090,154,279
352,-2026,185,280
353,-1982,205,282
354,-1741,320,283
355,-1660,357,285
356,-1596,388,287
357,-1563,403,289
358,-1393,485,290
359,-1383,489,291
360,-1236,560,292
361,-1231,563,293
362,-1113,621,295
363,-1046,656,296
364,-841,764,297
365,-782,794,298
366,-532,929,302
367,-516,938,302
368,-403,997,303
369,-248,1081,304
370,-222,1094,305
371,107,1270,306
372,126,1280,306
373,257,1350,306
374,345,1395,306
375,403,1424,306
376,472,1457,307
377,604,1517,307
378,660,1541,307
379,730,1570,307
380,855,1620,307
381,917,1645,267
382,1007,1679,227
383,1095,1719,215
384,1212,1776,203
385,1280,1811,192
386,1285,1821,181
387,1303,1835,170
388,1358,1880,161
389,1401,1931,152
390,1416,1953,148
391,1432,1983,144
392,1443,2008,142
393,1453,2040,141
394,1463,2087,137
395,1465,2128,134
396,1464,2162,131
397,1422,2315,129
398,1416,2327,127
399,1352,2431,120
400,1351,2433,120
401,1317,2473,121
402,1287,2503,122
403,1268,2519,124
404,1239,2544,125
405,1213,2562,127
406,1166,2588,130
407,1064,2626,134
408,1053,2630,135
409,1005,2643,137
410,950,2651,147
411,935,2653,149
412,859,2659,151
413,823,2658,154
414,715,2655,156
415,707,2654,158
416,648,2650,171
417,591,2634,175
418,554,2622,179
419,376,2558,187
420,284,2511,195
421,193,2452,199
422,137,2414,204
423,88,2380,206
424,51,2355,209
425,-99,2255,208
426,-163,2220,207
427,-190,2209,201
428,-232,2189,195
429,-318,2159,189
430,-339,2154,182
431,-502,2124,175
432,-543,2118,168
433,-565,2121,164
434,-599,2124,160
435,-733,2142,154
436,-775,2152,149
437,-848,2193,146
438,-851,2195,144
439,-904,2236,141
440,-944,2279,138
441,-972,2318,136
442,-985,2341,134
443,-987,2344,132
444,-1031,2462,130
445,-1043,2502,132
446,-1054,2556,134
447,-1052,2608,136
448,-1051,2626,139
449,-1046,2694,141
450,-1035,2750,143
451,-1033,2754,146
452,-1015,2822,148
453,-1008,2839,151
454,-955,2957,153
455,-942,2982,156
456,-893,3057,165
457,-857,3101,168
458,-824,3140,172
459,-798,3167,176
460,-761,3205,179
461,-725,3237,183
462,-641,3308,189
463,-573,3363,195
464,-542,3386,201
465,-493,3425,206
466,-322,3561,212
467,-319,3564,215
468,-226,3643,218
469,-174,3686,221
470,-54,3789,227
471,52,3875,234
472,77,3895,236
473,144,3946,238
474,162,3958,240
475,399,4083,243
476,432,4098,245
477,521,4128,248
478,615,4137,250
479,664,4140,252
480,684,4141,252
481,822,4135,253
482,883,4124,253
483,1078,4068,254
484,1143,4049,254
485,1197,4031,255
486,1270,3994,258
487,1276,3991,258
488,1486,3873,259
489,1554,3835,261
490,1625,3790,263
491,1666,3764,264
492,1745,3712,266
493,1790,3684,267
494,1875,3629,268
495,1929,3595,268
496,2055,3515,269
497,2080,3498,270
498,2296,3357,272
499,2394,3289,274
500,2467,3231,275
501,2533,3171,276
502,2569,3138,275
503,2618,3087,275
504,2663,3038,274
505,2734,2945,274
506,2746,2924,274
507,2804,2814,273
508,2842,2704,272
509,2870,2585,271
510,2871,2580,271
511,2878,2535,271
512,2876,2279,272
513,2865,2205,271
514,2833,2082,271
515,2753,1895,270
516,2705,1807,270
517,2607,1644,270
518,2602,1637,270
519,2555,1563,271
520,2492,1468,275
521,2482,1453,275
522,2415,1351,275
523,2394,1319,275
524,2340,1235,277
525,2217,1047,279
526,2171,975,279
527,2134,918,280
528,2089,848,282
529,2086,844,282
530,1922,593,282
531,1872,516,282
532,1819,435,283
533,1725,292,283
534,1711,271,284
535,1535,-3,285
536,1531,-8,287
537,1431,-165,289
538,1403,-208,292
539,1377,-247,292
