,Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,Laps,LapTimePerKM,RacePercentage
0,VER,Red Bull Racing,1.0,77.665,1.0,SOFT,4.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,18.235501291382953,0.013888888888888888
1,VER,Red Bull Racing,2.0,74.97800000000001,1.0,SOFT,5.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.604602019253345,0.027777777777777776
2,VER,Red Bull Racing,3.0,74.813,1.0,SOFT,6.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.565860530640993,0.041666666666666664
3,VER,Red Bull Racing,4.0,74.917,1.0,SOFT,7.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.590279408311808,0.05555555555555555
4,VER,Red Bull Racing,5.0,74.882,1.0,SOFT,8.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.582061516787977,0.06944444444444445
5,VER,Red Bull Racing,6.0,74.9,1.0,SOFT,9.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.586287861000233,0.08333333333333333
6,VER,Red Bull Racing,7.0,75.108,1.0,SOFT,10.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.635125616341863,0.09722222222222222
7,VER,Red Bull Racing,8.0,75.138,1.0,SOFT,11.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.64216952336229,0.1111111111111111
8,VER,Red Bull Racing,9.0,75.13300000000001,1.0,SOFT,12.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.64099553885889,0.125
9,VER,Red Bull Racing,10.0,75.061,1.0,SOFT,13.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.62409016200986,0.1388888888888889
10,VER,Red Bull Racing,11.0,75.22800000000001,1.0,SOFT,14.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.663301244423575,0.1527777777777778
11,VER,Red Bull Racing,12.0,74.917,1.0,SOFT,15.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.590279408311808,0.16666666666666666
12,VER,Red Bull Racing,13.0,75.062,1.0,SOFT,16.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.62432495891054,0.18055555555555555
13,VER,Red Bull Racing,14.0,75.05900000000001,1.0,SOFT,17.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.6236205682085,0.19444444444444445
14,VER,Red Bull Racing,15.0,75.138,1.0,SOFT,18.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.64216952336229,0.20833333333333334
15,VER,Red Bull Racing,16.0,75.177,1.0,SOFT,19.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.651326602488847,0.2222222222222222
16,VER,Red Bull Racing,17.0,75.446,1.0,SOFT,20.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.71448696877201,0.2361111111111111
17,VER,Red Bull Racing,18.0,75.331,1.0,SOFT,21.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.687485325193705,0.25
18,VER,Red Bull Racing,19.0,75.632,1.0,SOFT,22.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.75815919229866,0.2638888888888889
19,VER,Red Bull Racing,20.0,75.938,1.0,SOFT,23.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.83000704390702,0.2777777777777778
20,VER,Red Bull Racing,21.0,78.59400000000001,1.0,SOFT,24.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,18.453627612115522,0.2916666666666667
21,VER,Red Bull Racing,22.0,92.57400000000001,2.0,MEDIUM,1.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,21.736088283634658,0.3055555555555556
22,VER,Red Bull Racing,23.0,74.223,2.0,MEDIUM,2.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.427330359239257,0.3194444444444444
23,VER,Red Bull Racing,24.0,74.257,2.0,MEDIUM,3.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.43531345386241,0.3333333333333333
