,X,Y,Speed
2,-1538,-69,268
3,-1614,-8,269
4,-1640,13,271
5,-1692,55,274
6,-1732,88,275
7,-1799,143,276
8,-1928,249,278
9,-1958,274,279
10,-2019,324,280
11,-2098,389,282
12,-2140,424,283
13,-2287,544,284
14,-2294,550,285
15,-2441,671,287
16,-2459,686,287
17,-2540,752,287
18,-2558,767,288
19,-2608,808,289
20,-2737,914,291
21,-2897,1045,292
22,-2961,1098,293
23,-3053,1173,295
24,-3112,1222,296
25,-3169,1269,297
26,-3201,1295,297
27,-3303,1379,297
28,-3356,1423,298
29,-3474,1520,298
30,-3628,1646,299
31,-3634,1651,300
32,-3754,1750,300
33,-3798,1786,300
34,-3837,1818,301
35,-3881,1854,302
36,-3993,1945,302
37,-4021,1967,303
38,-4246,2144,304
39,-4294,2182,305
40,-4353,2228,305
41,-4358,2232,305
42,-4488,2334,306
43,-4553,2385,306
44,-4693,2495,307
45,-4768,2554,307
46,-4828,2601,307
47,-5025,2753,307
48,-5034,2760,308
49,-5167,2863,308
50,-5173,2867,308
51,-5214,2900,308
52,-5367,3021,308
53,-5470,3102,307
54,-5545,3161,307
55,-5586,3197,282
56,-5602,3210,260
57,-5741,3330,238
58,-5757,3344,217
59,-5834,3418,191
60,-5872,3457,185
61,-5898,3486,179
62,-5984,3595,153
63,-5994,3609,144
64,-6027,3658,135
65,-6046,3703,128
66,-6064,3761,122
67,-6082,3827,119
68,-6085,3844,116
69,-6085,3904,109
70,-6083,3915,107
71,-6073,3956,106
72,-6070,3969,105
73,-6061,3990,104
74,-6055,3999,103
75,-6008,4057,103
76,-5995,4072,102
77,-5962,4103,101
78,-5930,4116,99
79,-5904,4125,101
80,-5873,4135,103
81,-5860,4140,105
82,-5801,4153,107
83,-5789,4154,109
84,-5724,4161,116
85,-5706,4163,117
86,-5670,4164,119
87,-5617,4163,127
88,-5595,4163,134
89,-5529,4160,141
90,-5526,4160,144
91,-5478,4156,148
92,-5448,4152,152
93,-5367,4142,157
94,-5327,4136,162
95,-5267,4127,166
96,-5224,4119,170
97,-5058,4083,183
98,-5053,4082,188
99,-4859,4028,193
100,-4854,4026,199
101,-4791,4006,206
102,-4750,3991,208
103,-4704,3974,210
104,-4588,3927,220
105,-4584,3926,222
106,-4459,3870,224
107,-4436,3859,226
108,-4406,3844,229
109,-4300,3787,231
110,-4271,3770,234
111,-4187,3718,238
112,-4113,3669,242
113,-4076,3643,245
114,-3957,3558,248
115,-3875,3496,249
116,-3824,3455,251
117,-3787,3426,253
118,-3699,3354,255
119,-3692,3348,258
120,-3566,3242,261
121,-3469,3160,265
122,-3421,3118,266
123,-3376,3078,267
124,-3325,3033,269
125,-3177,2904,272
126,-3114,2849,272
127,-3077,2817,273
128,-2998,2748,276
129,-2972,2725,279
130,-2905,2666,273
131,-2699,2494,267
132,-2672,2473,260
133,-2624,2435,254
134,-2576,2400,235
135,-2483,2336,217
136,-2428,2301,202
137,-2329,2246,188
138,-2298,2231,183
139,-2271,2219,178
140,-2181,2188,173
141,-2132,2175,168
142,-2077,2167,165
143,-2044,2165,162
144,-1977,2169,160
145,-1938,2175,158
146,-1876,2192,150
147,-1851,2203,148
148,-1836,2210,146
149,-1790,2236,145
150,-1741,2276,140
151,-1693,2326,136
152,-1681,2346,134
153,-1635,2430,132
154,-1614,2481,131
155,-1598,2587,133
156,-1596,2595,135
157,-1591,2635,136
158,-1604,2728,140
159,-1605,2735,145
160,-1637,2862,151
161,-1657,2926,158
162,-1689,2996,162
163,-1705,3026,168
164,-1721,3058,175
