,X,Y,Speed
2,-7666,-6573,274
3,-7670,-6491,274
4,-7670,-6483,274
5,-7678,-6246,279
6,-7680,-6199,280
7,-7674,-6072,281
8,-7670,-6023,282
9,-7663,-5907,283
10,-7644,-5710,284
11,-7643,-5704,286
12,-7630,-5599,282
13,-7615,-5502,267
14,-7576,-5303,252
15,-7571,-5282,237
16,-7562,-5237,210
17,-7554,-5208,198
18,-7550,-5196,187
19,-7501,-5013,166
20,-7495,-4988,162
21,-7486,-4956,159
22,-7477,-4928,147
23,-7463,-4887,136
24,-7445,-4838,133
25,-7435,-4814,131
26,-7404,-4750,128
27,-7385,-4722,125
28,-7372,-4706,123
29,-7347,-4682,122
30,-7329,-4672,121
31,-7239,-4634,121
32,-7207,-4622,121
33,-7160,-4609,125
34,-7107,-4606,128
35,-7074,-4602,132
36,-7027,-4597,137
37,-6926,-4588,143
38,-6898,-4586,148
39,-6852,-4582,153
40,-6803,-4578,159
41,-6748,-4574,166
42,-6634,-4561,172
43,-6543,-4548,179
44,-6477,-4539,183
45,-6436,-4532,187
46,-6410,-4526,190
47,-6355,-4513,194
48,-6208,-4481,200
49,-6170,-4473,203
50,-6096,-4455,207
51,-6040,-4440,212
52,-6028,-4437,214
53,-5893,-4404,216
54,-5853,-4394,219
55,-5700,-4356,222
56,-5630,-4338,225
57,-5518,-4308,233
58,-5476,-4298,234
59,-5407,-4281,235
60,-5332,-4262,237
61,-5256,-4245,238
62,-5223,-4238,240
63,-5044,-4212,242
64,-5039,-4211,244
65,-4906,-4201,246
66,-4710,-4178,249
67,-4700,-4177,250
68,-4635,-4168,252
69,-4588,-4150,253
70,-4535,-4128,254
71,-4344,-4049,254
72,-4308,-4033,255
73,-4224,-3988,257
74,-4155,-3951,259
75,-4135,-3942,259
76,-4049,-3903,260
77,-4016,-3889,261
78,-3935,-3856,263
79,-3808,-3811,265
80,-3726,-3788,265
81,-3689,-3779,266
82,-3501,-3743,266
83,-3464,-3737,267
84,-3391,-3727,268
85,-3100,-3692,268
86,-3033,-3682,268
87,-2978,-3672,266
88,-2963,-3668,265
89,-2857,-3644,260
90,-2849,-3642,249
91,-2685,-3579,238
92,-2678,-3576,235
93,-2601,-3537,233
94,-2515,-3473,229
95,-2483,-3443,225
96,-2394,-3352,221
97,-2340,-3288,217
98,-2313,-3219,203
99,-2311,-3214,200
100,-2292,-3161,197
101,-2273,-3080,195
