index,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
652,0 days 01:01:24.087000,NOR,4,,1.0,1.0,0 days 00:21:37.945000,,,0 days 00:00:30.023000,0 days 00:00:30.261000,,0 days 01:00:54.054000,0 days 01:01:24.236000,283.0,300.0,291.0,300.0,False,MEDIUM,1.0,True,McLaren,0 days 00:59:43.836000,2024-03-09 17:03:59.056,1,6.0,False,,False,False
653,0 days 01:02:59.333000,NOR,4,0 days 00:01:35.246000,2.0,1.0,,,0 days 00:00:35.355000,0 days 00:00:29.959000,0 days 00:00:29.932000,0 days 01:01:59.458000,0 days 01:02:29.417000,0 days 01:02:59.349000,286.0,303.0,304.0,307.0,True,MEDIUM,2.0,True,McLaren,0 days 01:01:24.087000,2024-03-09 17:05:39.307,1,6.0,False,,False,True
654,0 days 01:04:34.412000,NOR,4,0 days 00:01:35.079000,3.0,1.0,,,0 days 00:00:35.158000,0 days 00:00:29.767000,0 days 00:00:30.154000,0 days 01:03:34.507000,0 days 01:04:04.274000,0 days 01:04:34.428000,285.0,305.0,294.0,307.0,True,MEDIUM,3.0,True,McLaren,0 days 01:02:59.333000,2024-03-09 17:07:14.553,1,6.0,False,,False,True
655,0 days 01:06:09.309000,NOR,4,0 days 00:01:34.897000,4.0,1.0,,,0 days 00:00:35.054000,0 days 00:00:29.889000,0 days 00:00:29.954000,0 days 01:05:09.482000,0 days 01:05:39.371000,0 days 01:06:09.325000,287.0,304.0,293.0,305.0,True,MEDIUM,4.0,True,McLaren,0 days 01:04:34.412000,2024-03-09 17:08:49.632,1,6.0,False,,False,True
656,0 days 01:07:44.211000,NOR,4,0 days 00:01:34.902000,5.0,1.0,,,0 days 00:00:35.043000,0 days 00:00:29.824000,0 days 00:00:30.035000,0 days 01:06:44.368000,0 days 01:07:14.192000,0 days 01:07:44.227000,286.0,301.0,292.0,304.0,False,MEDIUM,5.0,True,McLaren,0 days 01:06:09.309000,2024-03-09 17:10:24.529,1,6.0,False,,False,True
657,0 days 01:09:19.225000,NOR,4,0 days 00:01:35.014000,6.0,1.0,,,0 days 00:00:35.133000,0 days 00:00:29.856000,0 days 00:00:30.025000,0 days 01:08:19.360000,0 days 01:08:49.216000,0 days 01:09:19.241000,287.0,301.0,292.0,302.0,False,MEDIUM,6.0,True,McLaren,0 days 01:07:44.211000,2024-03-09 17:11:59.431,2,6.0,False,,False,True
658,0 days 01:11:26.250000,NOR,4,0 days 00:02:07.025000,7.0,1.0,,,0 days 00:00:35.819000,0 days 00:00:47.119000,0 days 00:00:44.087000,0 days 01:09:55.060000,0 days 01:10:42.179000,0 days 01:11:26.266000,144.0,150.0,261.0,275.0,False,MEDIUM,7.0,True,McLaren,0 days 01:09:19.225000,2024-03-09 17:13:34.445,24,6.0,False,,False,False
659,0 days 01:14:20.281000,NOR,4,,8.0,1.0,,,0 days 00:00:58.945000,0 days 00:00:58.053000,0 days 00:00:57.007000,0 days 01:12:25.316000,0 days 01:13:23.371000,0 days 01:14:20.297000,145.0,110.0,205.0,158.0,False,MEDIUM,8.0,True,McLaren,0 days 01:11:26.250000,2024-03-09 17:15:41.470,4,1.0,False,,False,False
660,0 days 01:17:02.016000,NOR,4,,9.0,1.0,,,0 days 00:00:56.382000,0 days 00:00:49.565000,0 days 00:00:55.844000,0 days 01:15:16.693000,0 days 01:16:06.288000,0 days 01:17:02.317000,214.0,186.0,270.0,144.0,False,MEDIUM,9.0,True,McLaren,0 days 01:14:20.281000,2024-03-09 17:18:35.501,4,1.0,False,,False,False
661,0 days 01:18:36.368000,NOR,4,0 days 00:01:34.352000,10.0,1.0,,,0 days 00:00:34.882000,0 days 00:00:29.644000,0 days 00:00:29.826000,0 days 01:17:36.914000,0 days 01:18:06.558000,0 days 01:18:36.384000,284.0,294.0,289.0,298.0,True,MEDIUM,10.0,True,McLaren,0 days 01:17:02.016000,2024-03-09 17:21:17.236,1,1.0,False,,False,False
