"Driver","Year","GP","Pitlane"
"LEC",2019,"Bahrain",0
"VET",2019,"Bahrain",0
"HAM",2019,"Bahrain",0
"NOR",2019,"Bahrain",0
"BOT",2019,"Bahrain",0
"ALB",2019,"Bahrain",0
"SAI",2019,"Bahrain",0
"MAG",2019,"Bahrain",0
"VER",2019,"Bahrain",0
"GRO",2019,"Bahrain",0
"RIC",2019,"Bahrain",0
"KVY",2019,"Bahrain",0
"PER",2019,"Bahrain",0
"GAS",2019,"Bahrain",0
"RAI",2019,"Bahrain",0
"GIO",2019,"Bahrain",0
"HUL",2019,"Bahrain",0
"STR",2019,"Bahrain",0
"RUS",2019,"Bahrain",0
"KUB",2019,"Bahrain",0
"BOT",2019,"China",0
"LEC",2019,"China",0
"HAM",2019,"China",0
"VER",2019,"China",0
"VET",2019,"China",0
"HUL",2019,"China",0
"SAI",2019,"China",0
"RIC",2019,"China",0
"GRO",2019,"China",0
"KVY",2019,"China",0
"GAS",2019,"China",0
"PER",2019,"China",0
"MAG",2019,"China",0
"RAI",2019,"China",0
"NOR",2019,"China",0
"STR",2019,"China",0
"RUS",2019,"China",0
"KUB",2019,"China",0
"ALB",2019,"China",1
"GIO",2019,"China",0
"LEC",2019,"Australia",0
"HAM",2019,"Australia",0
"BOT",2019,"Australia",0
"GIO",2019,"Australia",0
"KVY",2019,"Australia",0
"MAG",2019,"Australia",0
"HUL",2019,"Australia",0
"NOR",2019,"Australia",0
"ALB",2019,"Australia",0
"VER",2019,"Australia",0
"VET",2019,"Australia",0
"PER",2019,"Australia",0
"RIC",2019,"Australia",0
"GRO",2019,"Australia",0
"RAI",2019,"Australia",0
"STR",2019,"Australia",0
"GAS",2019,"Australia",0
"SAI",2019,"Australia",0
"RUS",2019,"Australia",0
"KUB",2019,"Australia",0
"LEC",2019,"Japan",0
"HAM",2019,"Japan",0
"VER",2019,"Japan",0
"NOR",2019,"Japan",0
"BOT",2019,"Japan",0
"VET",2019,"Japan",0
"SAI",2019,"Japan",0
"ALB",2019,"Japan",0
"GAS",2019,"Japan",0
"GRO",2019,"Japan",0
"STR",2019,"Japan",0
"GIO",2019,"Japan",0
"HUL",2019,"Japan",0
"RAI",2019,"Japan",0
"KVY",2019,"Japan",0
"RIC",2019,"Japan",0
"PER",2019,"Japan",0
"RUS",2019,"Japan",0
"MAG",2019,"Japan",0
"KUB",2019,"Japan",1
"VET",2019,"Monaco",0
"HAM",2019,"Monaco",0
"BOT",2019,"Monaco",0
"VER",2019,"Monaco",0
"KVY",2019,"Monaco",0
"GAS",2019,"Monaco",0
"RIC",2019,"Monaco",0
"GRO",2019,"Monaco",0
"NOR",2019,"Monaco",0
"MAG",2019,"Monaco",0
"SAI",2019,"Monaco",0
"GIO",2019,"Monaco",0
"RAI",2019,"Monaco",0
"ALB",2019,"Monaco",0
"HUL",2019,"Monaco",0
"LEC",2019,"Monaco",0
"PER",2019,"Monaco",0
"STR",2019,"Monaco",0
