Driver,Position,Podiums
VER,First,1
PER,Second,1
SAI,Third,1
VER,First,1
PER,Second,1
LEC,Third,1
LEC,Second,1
NOR,Third,1
SAI,First,1
VER,First,1
PER,Second,1
SAI,Third,1
VER,First,1
PER,Third,1
NOR,Second,1
VER,Second,1
LEC,Third,1
NOR,First,1
VER,First,1
LEC,Third,1
NOR,Second,1
LEC,First,1
PIA,Second,1
SAI,Third,1
VER,First,1
RUS,Third,1
NOR,Second,1
VER,First,1
HAM,Third,1
NOR,Second,1
RUS,First,1
PIA,Second,1
SAI,Third,1
VER,Second,1
HAM,First,1
NOR,Third,1
HAM,Third,1
NOR,Second,1
PIA,First,1
LEC,Third,1
HAM,First,1
PIA,Second,1
