Driver,Points,GP
ALB,0,Australia
ALO,4,Australia
BEA,0,Australia
BOT,0,Australia
GAS,0,Australia
HAM,0,Australia
HUL,2,Australia
LEC,19,Australia
MAG,1,Australia
NOR,15,Australia
OCO,0,Australia
PER,10,Australia
PIA,12,Australia
RIC,0,Australia
RUS,0,Australia
SAI,25,Australia
SAR,0,Australia
STR,8,Australia
TSU,6,Australia
VER,0,Australia
ZHO,0,Australia
ALB,0,Bahrain
ALO,2,Bahrain
BOT,0,Bahrain
GAS,0,Bahrain
HAM,6,Bahrain
HUL,0,Bahrain
LEC,12,Bahrain
MAG,0,Bahrain
NOR,8,Bahrain
OCO,0,Bahrain
PER,18,Bahrain
PIA,4,Bahrain
RIC,0,Bahrain
RUS,10,Bahrain
SAI,15,Bahrain
SAR,0,Bahrain
STR,1,Bahrain
TSU,0,Bahrain
VER,26,Bahrain
ZHO,0,Bahrain
ALB,0,China
ALO,7,China
BEA,0,China
BOT,0,China
GAS,0,China
HAM,9,China
HUL,1,China
LEC,17,China
MAG,0,China
NOR,21,China
OCO,0,China
PER,21,China
PIA,6,China
RIC,0,China
RUS,9,China
SAI,14,China
SAR,0,China
STR,0,China
TSU,0,China
VER,33,China
ZHO,0,China
ALB,0,Imola
ALO,0,Imola
BEA,0,Imola
BOT,0,Imola
GAS,0,Imola
HAM,8,Imola
HUL,0,Imola
LEC,15,Imola
MAG,0,Imola
NOR,18,Imola
OCO,0,Imola
PER,4,Imola
PIA,12,Imola
RIC,0,Imola
RUS,7,Imola
SAI,10,Imola
SAR,0,Imola
STR,2,Imola
TSU,1,Imola
VER,25,Imola
ZHO,0,Imola
ALB,0,Japan
ALO,8,Japan
BEA,0,Japan
BOT,0,Japan
GAS,0,Japan
HAM,2,Japan
HUL,0,Japan
LEC,12,Japan
MAG,0,Japan
NOR,10,Japan
OCO,0,Japan
PER,18,Japan
PIA,4,Japan
RIC,0,Japan
RUS,6,Japan
SAI,15,Japan
SAR,0,Japan
STR,0,Japan
TSU,1,Japan
VER,26,Japan
ZHO,0,Japan
ALB,0,Miami
ALO,2,Miami
BEA,0,Miami
BOT,0,Miami
GAS,0,Miami
HAM,8,Miami
HUL,2,Miami
LEC,22,Miami
MAG,0,Miami
NOR,25,Miami
OCO,1,Miami
PER,18,Miami
PIA,3,Miami
RIC,5,Miami
RUS,4,Miami
SAI,14,Miami
SAR,0,Miami
STR,0,Miami
TSU,7,Miami
VER,26,Miami
ZHO,0,Miami
ALB,2,Monaco
ALO,0,Monaco
BOT,0,Monaco
GAS,1,Monaco
HAM,7,Monaco
HUL,0,Monaco
LEC,25,Monaco
MAG,0,Monaco
NOR,12,Monaco
OCO,0,Monaco
PER,0,Monaco
PIA,18,Monaco
RIC,0,Monaco
RUS,10,Monaco
SAI,15,Monaco
SAR,0,Monaco
STR,0,Monaco
TSU,4,Monaco
VER,8,Monaco
ZHO,0,Monaco
ALB,0,Saudi Arabia
ALO,10,Saudi Arabia
BEA,6,Saudi Arabia
BOT,0,Saudi Arabia
GAS,0,Saudi Arabia
HAM,2,Saudi Arabia
HUL,1,Saudi Arabia
LEC,16,Saudi Arabia
MAG,0,Saudi Arabia
NOR,4,Saudi Arabia
OCO,0,Saudi Arabia
PER,18,Saudi Arabia
PIA,12,Saudi Arabia
RIC,0,Saudi Arabia
RUS,8,Saudi Arabia
SAI,0,Saudi Arabia
SAR,0,Saudi Arabia
STR,0,Saudi Arabia
