Team,Points,GP
Red Bull Racing,44,Bahrain
Ferrari,27,Bahrain
Mercedes,16,Bahrain
McLaren,12,Bahrain
Aston Martin,3,Bahrain
Kick Sauber,0,Bahrain
Haas F1 Team,0,Bahrain
RB,0,Bahrain
Williams,0,Bahrain
Alpine,0,Bahrain
Red Bull Racing,43,Saudi Arabia
Ferrari,22,Saudi Arabia
Mercedes,10,Saudi Arabia
McLaren,16,Saudi Arabia
Aston Martin,10,Saudi Arabia
Kick Sauber,0,Saudi Arabia
Haas F1 Team,1,Saudi Arabia
RB,0,Saudi Arabia
Williams,0,Saudi Arabia
Alpine,0,Saudi Arabia
Red Bull Racing,10,Australia
Ferrari,44,Australia
Mercedes,0,Australia
McLaren,27,Australia
Aston Martin,12,Australia
Kick Sauber,0,Australia
Haas F1 Team,3,Australia
RB,6,Australia
Williams,0,Australia
Alpine,0,Australia
Red Bull Racing,44,Japan
Ferrari,27,Japan
Mercedes,8,Japan
McLaren,14,Japan
Aston Martin,8,Japan
Kick Sauber,0,Japan
Haas F1 Team,0,Japan
RB,1,Japan
Williams,0,Japan
Alpine,0,Japan
Red Bull Racing,54,China
Ferrari,31,China
Mercedes,18,China
McLaren,27,China
Aston Martin,7,China
Kick Sauber,0,China
Haas F1 Team,1,China
RB,0,China
Williams,0,China
Alpine,0,China
Red Bull Racing,44,Miami
Ferrari,36,Miami
Mercedes,12,Miami
McLaren,28,Miami
Aston Martin,2,Miami
Kick Sauber,0,Miami
Haas F1 Team,2,Miami
RB,12,Miami
Williams,0,Miami
Alpine,1,Miami
Red Bull Racing,29,Imola
Ferrari,25,Imola
Mercedes,15,Imola
McLaren,30,Imola
Aston Martin,2,Imola
Kick Sauber,0,Imola
Haas F1 Team,0,Imola
RB,1,Imola
Williams,0,Imola
Alpine,0,Imola
Red Bull Racing,8,Monaco
Ferrari,40,Monaco
Mercedes,17,Monaco
McLaren,30,Monaco
Aston Martin,0,Monaco
Kick Sauber,0,Monaco
Haas F1 Team,0,Monaco
RB,4,Monaco
Williams,2,Monaco
Alpine,1,Monaco
Red Bull Racing,25,Canada
Ferrari,0,Canada
Mercedes,28,Canada
McLaren,28,Canada
Aston Martin,14,Canada
Kick Sauber,0,Canada
Haas F1 Team,0,Canada
RB,4,Canada
Williams,0,Canada
Alpine,3,Canada
Red Bull Racing,29,Spain
Ferrari,18,Spain
Mercedes,27,Spain
McLaren,25,Spain
Aston Martin,0,Spain
Kick Sauber,0,Spain
Haas F1 Team,0,Spain
RB,0,Spain
Williams,0,Spain
Alpine,3,Spain
Red Bull Racing,25,Austria
Ferrari,21,Austria
Mercedes,45,Austria
McLaren,31,Austria
Aston Martin,0,Austria
Kick Sauber,0,Austria
Haas F1 Team,12,Austria
RB,2,Austria
Williams,0,Austria
Alpine,1,Austria
Red Bull Racing,18,Great Britain
Ferrari,11,Great Britain
Mercedes,25,Great Britain
McLaren,27,Great Britain
Aston Martin,10,Great Britain
Kick Sauber,0,Great Britain
Haas F1 Team,8,Great Britain
RB,1,Great Britain
Williams,2,Great Britain
Alpine,0,Great Britain
Red Bull Racing,16,Hungary
Ferrari,20,Hungary
Mercedes,20,Hungary
McLaren,43,Hungary
Aston Martin,1,Hungary
Kick Sauber,0,Hungary
Haas F1 Team,0,Hungary
RB,2,Hungary
Williams,0,Hungary
Alpine,0,Hungary
Red Bull Racing,19,Belgium
Ferrari,23,Belgium
Mercedes,25,Belgium
McLaren,28,Belgium
Aston Martin,4,Belgium
Kick Sauber,0,Belgium
Haas F1 Team,0,Belgium
RB,1,Belgium
Williams,0,Belgium
Alpine,2,Belgium
