GP,PoleSitter,GapToSecond
Bahrain Grand Prix,LEC,0.014
Saudi Arabian Grand Prix,VER,0.319
Australian Grand Prix,VER,0.27
Japanese Grand Prix,VER,0.066
Chinese Grand Prix,VER,0.322
Miami Grand Prix,VER,0.141
Emilia Romagna Grand Prix,VER,0.074
Monaco Grand Prix,LEC,0.154
Canadian Grand Prix,RUS,0.237
Spanish Grand Prix,NOR,0.02
Austrian Grand Prix,VER,0.404
British Grand Prix,RUS,0.171
Hungarian Grand Prix,NOR,0.022
Belgian Grand Prix,VER,0.595
Italian Grand Prix,NOR,0.109
Azerbaijan Grand Prix,LEC,0.321
Singapore Grand Prix,NOR,0.115
United States Grand Prix,NOR,0.031
Mexico City Grand Prix,SAI,0.225
Qatar Grand Prix,VER,0.055
