Team,GapMS,GapES,GapoleMS,GapoleES
Red Bull,0.034182613,0.046360506,0.087833333,0.2103
Ferrari,0.788823444,0.672063331,0.558666667,0.3976
Mercedes,0.598050871,0.515723707,0.70475,0.4846
McLaren,1.160787563,0.441725176,1.00075,0.9094
Aston Martin,0.648356217,0.992056386,0.696166667,0.9673
AlphaTauri,1.483067229,1.094407692,2.335833333,0.9736
Williams,1.642806209,1.404875738,2.347333333,1.1895
Alpine,2.961632803,1.036972496,1.884333333,1.8922
Haas,1.661021798,1.511671687,2.62575,2.1656
Alfa Romeo,1.651364795,1.633013827,2.275416667,2.3677
