,X,Y,Speed
2,3365,832,298
3,3373,783,299
4,3386,621,299
5,3388,567,300
6,3396,370,301
7,3396,295,303
8,3394,252,303
9,3390,157,304
10,3387,84,304
11,3380,-18,305
12,3368,-151,305
13,3368,-152,305
14,3350,-320,305
15,3350,-321,303
16,3333,-473,302
17,3323,-553,301
18,3310,-665,293
19,3305,-708,285
20,3294,-816,236
21,3293,-831,224
22,3286,-914,213
23,3284,-951,207
24,3281,-1019,202
25,3280,-1049,197
26,3283,-1143,187
27,3295,-1227,177
28,3320,-1338,169
29,3323,-1350,162
30,3342,-1391,157
31,3347,-1401,153
32,3379,-1455,150
33,3384,-1462,147
34,3505,-1587,141
35,3506,-1588,139
36,3589,-1645,137
37,3593,-1647,136
38,3666,-1690,132
39,3674,-1694,129
40,3763,-1743,120
41,3821,-1772,111
42,3834,-1791,103
43,3844,-1806,98
44,3879,-1865,94
45,3892,-1897,90
46,3889,-1929,87
47,3877,-2005,85
48,3873,-2029,82
49,3866,-2050,80
50,3853,-2077,78
51,3836,-2113,80
52,3832,-2122,81
53,3819,-2144,82
54,3804,-2164,84
55,3759,-2206,86
56,3752,-2211,89
57,3729,-2226,93
58,3725,-2227,98
59,3676,-2245,105
60,3633,-2260,107
61,3627,-2262,109
62,3601,-2267,112
63,3542,-2271,116
64,3535,-2271,121
65,3479,-2273,126
66,3464,-2274,133
67,3403,-2273,140
68,3371,-2271,147
69,3297,-2267,152
70,3289,-2266,157
71,3173,-2251,161
72,3163,-2249,165
73,3042,-2223,173
74,2978,-2206,182
75,2913,-2186,189
76,2876,-2174,191
77,2825,-2157,194
78,2794,-2146,197
79,2709,-2119,203
80,2698,-2115,206
81,2580,-2072,209
82,2536,-2055,212
83,2471,-2027,215
84,2416,-2002,217
85,2361,-1975,220
86,2307,-1947,222
87,2218,-1896,224
88,2204,-1887,227
89,2041,-1782,230
90,2029,-1774,233
91,1962,-1729,237
92,1943,-1715,237
93,1899,-1683,238
94,1781,-1598,243
95,1748,-1573,243
96,1705,-1540,243
97,1673,-1515,244
98,1597,-1456,248
99,1512,-1387,253
100,1423,-1315,253
101,1225,-1155,254
102,1194,-1130,255
103,1096,-1049,252
104,1006,-972,221
105,980,-948,191
106,968,-936,183
107,926,-892,175
108,865,-823,167
109,820,-766,160
110,801,-733,156
111,757,-638,153
112,753,-630,150
113,741,-531,146
114,744,-490,143
115,755,-400,143
116,759,-363,143
117,766,-320,145
118,768,-259,147
119,766,-172,151
120,759,-116,156
121,748,-49,161
122,722,39,167
123,694,97,167
124,678,127,172
125,639,184,178
126,575,269,183
127,556,292,188
128,507,354,193
129,458,414,199
130,444,432,204
131,360,534,209
132,360,535,213
133,299,610,217
134,213,711,221
135,213,712,223
136,147,787,226
137,96,840,229
138,51,886,231
139,6,928,233
140,-25,957,238
141,-231,1126,243
142,-232,1127,245
143,-373,1235,247
144,-426,1281,249
145,-483,1333,251
146,-606,1455,253
147,-644,1495,255
148,-689,1550,257
149,-729,1625,258
150,-739,1647,259
151,-803,1785,260
152,-823,1834,261
153,-859,1938,263
154,-905,2111,266
155,-921,2179,266
156,-935,2252,266
157,-939,2335,267
158,-941,2406,269
159,-944,2488,270
160,-941,2716,272
161,-941,2747,272
162,-938,2838,273
163,-933,2959,273
164,-929,3028,274
165,-915,3261,242
166,-911,3344,210
167,-912,3381,203
168,-912,3403,196
169,-984,3771,134
170,-985,3772,131
171,-1011,3821,129
172,-1015,3828,126
173,-1026,3845,123
174,-1041,3865,121
175,-1068,3895,119
176,-1076,3903,118
177,-1142,3949,113
178,-1157,3956,108
179,-1186,3967,107
180,-1213,3974,107
181,-1255,3982,104
182,-1259,3982,102
183,-1284,3984,102
184,-1338,3983,103
185,-1390,3980,108
186,-1391,3980,111
187,-1483,3972,114
188,-1484,3972,119
189,-1519,3969,124
190,-1550,3969,131
191,-1556,3970,138
192,-1665,3978,146
193,-1743,3997,154
194,-1760,4004,157
195,-1819,4032,161
196,-1869,4065,164
197,-1905,4093,167
198,-1977,4160,176
199,-1978,4161,181
200,-2054,4255,187
201,-2118,4359,190
202,-2132,4382,194
203,-2173,4472,198
204,-2175,4479,202
205,-2224,4624,206
206,-2233,4657,210
207,-2257,4762,214
208,-2272,4846,219
209,-2274,4858,222
210,-2298,5022,225
211,-2300,5034,226
212,-2313,5141,228
213,-2321,5205,233
214,-2336,5347,239
215,-2338,5362,241
216,-2350,5470,243
217,-2354,5509,246
218,-2367,5647,249
219,-2372,5701,253
220,-2384,5842,257
221,-2385,5844,258
222,-2394,5958,259
223,-2398,6014,261
224,-2410,6161,265
225,-2417,6278,269
226,-2419,6295,271
227,-2427,6428,273
228,-2428,6445,274
229,-2436,6597,275
230,-2438,6642,276
231,-2440,6690,278
232,-2446,6892,280
233,-2447,7022,283
234,-2448,7204,285
235,-2449,7224,286
236,-2448,7321,288
237,-2446,7401,289
238,-2445,7427,290
239,-2440,7563,292
240,-2429,7740,295
241,-2426,7791,296
242,-2410,7980,297
243,-2406,8038,298
244,-2395,8157,299
245,-2387,8221,300
246,-2377,8306,302
247,-2363,8421,303
248,-2330,8644,305
249,-2321,8705,305
250,-2303,8812,305
251,-2275,8956,308
252,-2272,8973,308
253,-2255,9057,308
254,-2226,9188,308
255,-2218,9224,308
256,-2182,9371,308
257,-2138,9558,307
258,-2108,9680,307
259,-2072,9839,257
260,-2069,9853,247
261,-2048,9947,237
262,-2033,10010,227
263,-1997,10164,215
264,-1986,10204,204
265,-1939,10348,171
266,-1935,10361,165
267,-1913,10408,159
268,-1903,10428,154
269,-1875,10471,149
270,-1826,10516,143
271,-1826,10517,141
272,-1747,10556,140
273,-1738,10560,137
274,-1649,10583,135
275,-1603,10591,134
276,-1590,10595,136
277,-1526,10617,138
278,-1505,10625,140
279,-1441,10658,143
280,-1433,10662,147
281,-1367,10706,151
282,-1352,10718,154
283,-1266,10797,157
284,-1244,10821,160
285,-1204,10873,164
286,-1144,10968,168
287,-1139,10976,172
288,-1092,11072,180
289,-1084,11093,184
290,-1050,11186,189
291,-1026,11261,192
292,-1015,11292,196
293,-1011,11302,200
294,-975,11433,204
295,-953,11519,208
296,-916,11673,215
297,-913,11686,219
298,-891,11769,224
299,-872,11846,227
300,-865,11880,229
301,-836,12002,232
302,-824,12056,234
303,-808,12124,237
304,-801,12159,240
305,-760,12371,244
306,-747,12442,247
307,-727,12549,251
308,-708,12659,254
309,-699,12719,256
310,-692,12759,258
311,-681,12833,259
312,-662,12962,261
313,-657,12990,263
314,-636,13136,266
315,-619,13252,268
316,-618,13268,268
317,-605,13372,269
318,-602,13402,270
319,-592,13484,272
320,-585,13567,273
321,-568,13806,275
322,-566,13856,276
323,-563,13904,277
324,-562,13949,278
325,-556,14098,280
326,-555,14166,280
327,-553,14227,281
328,-553,14306,281
329,-552,14351,282
330,-552,14477,284
331,-553,14511,285
332,-553,14634,286
333,-556,14712,286
334,-561,14815,286
335,-562,14841,287
336,-581,15037,288
337,-627,15305,290
338,-628,15307,290
339,-651,15416,291
340,-652,15418,291
341,-687,15574,291
342,-688,15576,290
343,-745,15819,290
344,-765,15902,265
345,-789,16009,241
346,-798,16048,233
347,-807,16092,225
348,-819,16144,205
349,-841,16258,185
350,-863,16373,174
351,-869,16408,163
352,-874,16442,133
353,-876,16457,126
354,-881,16535,119
355,-880,16540,113
356,-878,16580,105
357,-866,16640,98
358,-860,16653,91
359,-847,16678,89
360,-842,16685,88
361,-815,16715,83
362,-773,16739,79
363,-752,16751,76
364,-727,16760,73
365,-709,16760,71
366,-691,16759,69
367,-664,16758,66
368,-628,16749,63
369,-618,16743,62
370,-596,16728,61
371,-580,16715,63
372,-550,16682,65
373,-531,16653,69
374,-515,16626,74
375,-507,16609,74
376,-507,16609,80
377,-498,16589,86
378,-475,16530,92
379,-473,16525,98
380,-458,16476,102
381,-452,16453,107
382,-430,16356,114
383,-428,16349,122
384,-415,16252,131
385,-413,16238,141
386,-410,16205,151
387,-400,16092,161
388,-399,16068,164
389,-385,15909,167
390,-378,15845,171
391,-295,15512,202
392,-292,15502,205
393,-257,15405,208
394,-227,15327,212
395,-187,15229,222
396,-95,15012,232
397,-83,14983,234
398,-52,14912,237
399,-33,14867,240
400,-26,14849,242
401,37,14699,244
402,48,14673,247
403,86,14585,249
404,124,14496,251
405,133,14472,254
406,180,14366,256
407,283,14128,260
408,310,14069,262
409,345,13987,264
410,375,13920,265
411,384,13898,267
412,447,13755,269
413,471,13697,272
414,524,13573,274
415,578,13446,276
416,601,13389,279
417,625,13331,281
418,672,13216,283
419,703,13142,284
420,721,13097,286
421,769,12980,287
422,825,12837,291
423,834,12815,292
424,924,12571,294
425,963,12463,296
426,993,12370,298
427,994,12368,299
428,1084,12082,300
429,1099,12033,301
430,1134,11911,303
431,1179,11744,306
432,1228,11565,307
433,1246,11495,309
434,1266,11415,309
435,1268,11405,310
436,1336,11129,311
437,1346,11084,313
438,1397,10876,313
439,1408,10828,313
440,1437,10706,314
441,1464,10589,316
442,1497,10449,317
443,1527,10319,318
444,1558,10190,319
445,1596,10023,320
446,1602,9999,320
447,1647,9808,321
448,1659,9756,322
449,1688,9633,322
450,1702,9570,323
451,1778,9248,324
452,1809,9110,325
453,1838,8983,326
454,1839,8983,326
455,1863,8877,326
456,1879,8806,327
457,1908,8682,327
458,1928,8593,328
459,1953,8486,328
460,1984,8344,329
461,1997,8290,329
462,2033,8128,330
463,2054,8041,330
464,2087,7898,330
465,2092,7875,330
466,2145,7650,331
467,2188,7465,332
468,2213,7364,332
469,2258,7173,333
470,2265,7148,333
471,2341,6826,333
472,2342,6824,333
473,2388,6629,334
474,2407,6554,333
475,2443,6396,333
476,2479,6246,307
477,2500,6158,281
478,2514,6098,256
479,2550,5944,225
480,2554,5928,213
481,2573,5829,201
482,2594,5707,179
483,2599,5678,172
484,2604,5635,166
485,2604,5623,160
486,2606,5558,149
487,2604,5538,145
488,2569,5408,142
489,2559,5377,139
490,2546,5348,137
491,2533,5329,134
492,2526,5319,131
493,2491,5263,132
494,2473,5230,134
495,2419,5112,140
496,2405,5065,146
497,2400,5018,147
498,2396,4960,148
499,2395,4925,150
500,2400,4786,155
501,2402,4766,163
502,2406,4710,171
503,2413,4672,172
504,2423,4605,173
505,2427,4585,179
506,2439,4522,186
507,2450,4473,189
508,2460,4427,192
509,2489,4312,197
510,2535,4147,202
511,2549,4094,207
512,2571,4022,213
513,2597,3929,220
514,2651,3747,225
515,2677,3654,231
516,2705,3546,234
517,2709,3529,238
518,2753,3360,243
519,2763,3324,244
520,2782,3248,246
521,2795,3197,251
522,2804,3163,255
523,2852,2972,259
524,2853,2971,260
525,2906,2760,261
526,2920,2705,263
527,2941,2626,265
528,2947,2604,267
529,2968,2522,269
530,2996,2415,272
531,3028,2291,275
532,3035,2268,276
533,3090,2058,277
534,3095,2038,278
535,3118,1946,281
536,3129,1907,282
537,3137,1873,284
538,3178,1723,286
539,3219,1556,288
540,3259,1396,290
541,3287,1274,293
542,3305,1189,294
543,3313,1147,295
544,3335,1031,295
545,3343,982,296
546,3354,918,294
547,3366,829,293
