Driver,Team,LapTime,LapNumber
VER,Red Bull Racing,86.724,5.0
VER,Red Bull Racing,86.502,6.0
VER,Red Bull Racing,86.376,7.0
VER,Red Bull Racing,86.28,8.0
VER,Red Bull Racing,86.2,9.0
VER,Red Bull Racing,85.973,10.0
VER,Red Bull Racing,85.808,11.0
VER,Red Bull Racing,85.903,12.0
VER,Red Bull Racing,85.843,13.0
VER,Red Bull Racing,85.812,14.0
VER,Red Bull Racing,85.698,15.0
VER,Red Bull Racing,85.605,16.0
VER,Red Bull Racing,85.46,17.0
VER,Red Bull Racing,85.079,18.0
VER,Red Bull Racing,85.309,19.0
VER,Red Bull Racing,84.896,20.0
VER,Red Bull Racing,84.97,21.0
VER,Red Bull Racing,84.908,22.0
VER,Red Bull Racing,84.856,23.0
VER,Red Bull Racing,84.825,24.0
VER,Red Bull Racing,84.702,25.0
VER,Red Bull Racing,84.775,26.0
VER,Red Bull Racing,84.72,27.0
VER,Red Bull Racing,84.719,28.0
VER,Red Bull Racing,84.861,29.0
VER,Red Bull Racing,85.127,30.0
VER,Red Bull Racing,84.413,31.0
VER,Red Bull Racing,84.427,32.0
VER,Red Bull Racing,84.35,33.0
VER,Red Bull Racing,84.468,34.0
VER,Red Bull Racing,84.509,43.0
VER,Red Bull Racing,83.533,44.0
VER,Red Bull Racing,83.393,45.0
VER,Red Bull Racing,83.37,46.0
VER,Red Bull Racing,83.303,47.0
VER,Red Bull Racing,83.423,48.0
VER,Red Bull Racing,83.468,49.0
VER,Red Bull Racing,83.321,50.0
VER,Red Bull Racing,83.043,51.0
VER,Red Bull Racing,83.162,52.0
VER,Red Bull Racing,83.132,53.0
VER,Red Bull Racing,83.006,54.0
VER,Red Bull Racing,82.905,55.0
VER,Red Bull Racing,83.369,56.0
VER,Red Bull Racing,83.776,57.0
GAS,Alpine,88.418,6.0
GAS,Alpine,87.738,7.0
GAS,Alpine,87.881,8.0
GAS,Alpine,87.58,9.0
GAS,Alpine,88.272,10.0
GAS,Alpine,88.181,11.0
GAS,Alpine,87.827,12.0
GAS,Alpine,86.986,13.0
GAS,Alpine,87.011,14.0
GAS,Alpine,86.737,15.0
GAS,Alpine,86.7,16.0
GAS,Alpine,86.514,17.0
GAS,Alpine,86.694,18.0
GAS,Alpine,86.696,19.0
GAS,Alpine,86.369,20.0
GAS,Alpine,86.946,21.0
GAS,Alpine,86.453,22.0
GAS,Alpine,86.298,23.0
GAS,Alpine,86.235,24.0
GAS,Alpine,86.174,25.0
GAS,Alpine,86.12,26.0
GAS,Alpine,85.969,27.0
GAS,Alpine,85.533,28.0
GAS,Alpine,85.588,29.0
GAS,Alpine,85.344,30.0
GAS,Alpine,85.335,31.0
GAS,Alpine,85.331,32.0
GAS,Alpine,85.122,33.0
GAS,Alpine,85.622,34.0
GAS,Alpine,87.285,43.0
GAS,Alpine,85.421,44.0
GAS,Alpine,84.508,45.0
GAS,Alpine,84.238,46.0
GAS,Alpine,84.097,47.0
GAS,Alpine,84.156,48.0
GAS,Alpine,83.942,49.0
GAS,Alpine,83.866,50.0
GAS,Alpine,83.904,51.0
GAS,Alpine,84.057,52.0
GAS,Alpine,83.984,53.0
GAS,Alpine,84.082,54.0
GAS,Alpine,84.158,55.0
GAS,Alpine,83.705,56.0
GAS,Alpine,83.937,57.0
PER,Red Bull Racing,89.55,5.0
PER,Red Bull Racing,87.827,6.0
PER,Red Bull Racing,87.28,7.0
PER,Red Bull Racing,87.403,8.0
PER,Red Bull Racing,87.124,9.0
PER,Red Bull Racing,86.884,10.0
PER,Red Bull Racing,86.788,11.0
PER,Red Bull Racing,86.729,12.0
PER,Red Bull Racing,86.631,13.0
PER,Red Bull Racing,86.483,14.0
PER,Red Bull Racing,86.409,15.0
PER,Red Bull Racing,86.359,16.0
PER,Red Bull Racing,85.929,17.0
PER,Red Bull Racing,86.455,18.0
PER,Red Bull Racing,86.152,19.0
PER,Red Bull Racing,86.049,20.0
PER,Red Bull Racing,85.714,21.0
