,X,Y,Speed
2,-1325,-396,228
3,-1308,-410,229
4,-1289,-424,232
5,-1277,-434,234
6,-1140,-539,237
7,-1066,-596,243
8,-960,-676,250
9,-913,-713,250
10,-862,-751,250
11,-745,-842,255
12,-679,-892,260
13,-631,-929,262
14,-539,-998,265
15,-503,-1027,267
16,-421,-1090,269
17,-246,-1222,272
18,-206,-1254,274
19,-39,-1381,277
20,-37,-1384,277
21,98,-1488,278
22,183,-1553,279
23,217,-1579,281
24,294,-1638,284
25,333,-1668,285
26,454,-1761,286
27,497,-1794,287
28,608,-1879,289
29,637,-1901,290
30,710,-1956,292
31,740,-1979,292
32,814,-2036,293
33,869,-2078,294
34,918,-2115,295
35,973,-2157,295
36,1100,-2254,296
37,1155,-2297,297
38,1261,-2377,298
39,1311,-2415,299
40,1443,-2517,300
41,1446,-2519,300
42,1513,-2570,301
43,1802,-2791,302
44,1805,-2794,303
45,1957,-2910,304
46,2073,-2999,304
47,2159,-3065,304
48,2273,-3155,305
49,2371,-3232,306
50,2460,-3302,306
51,2524,-3351,307
52,2647,-3444,307
53,2677,-3467,297
54,2863,-3611,287
55,2923,-3661,277
56,2992,-3724,249
57,3057,-3779,222
58,3106,-3819,215
59,3181,-3879,208
60,3242,-3929,195
61,3275,-3956,183
62,3281,-3961,171
63,3440,-4046,149
64,3458,-4054,136
65,3550,-4071,123
66,3551,-4072,119
67,3615,-4074,116
68,3655,-4064,113
69,3688,-4054,109
70,3730,-4032,105
71,3743,-4015,104
72,3745,-4012,103
73,3784,-3958,95
74,3788,-3953,95
75,3804,-3909,95
76,3806,-3904,92
77,3813,-3854,90
78,3812,-3819,88
79,3811,-3788,88
80,3809,-3768,89
81,3807,-3742,90
82,3805,-3727,92
83,3802,-3701,94
84,3793,-3632,96
85,3793,-3631,102
86,3780,-3551,108
87,3763,-3467,114
88,3750,-3417,122
89,3750,-3417,126
90,3738,-3378,131
91,3719,-3325,141
92,3708,-3299,148
93,3695,-3270,156
94,3638,-3148,164
95,3620,-3109,168
96,3588,-3042,173
97,3566,-2994,179
98,3528,-2912,186
99,3502,-2852,188
100,3494,-2834,191
101,3494,-2833,198
102,3428,-2658,206
103,3423,-2643,208
104,3408,-2599,210
105,3406,-2592,213
106,3369,-2459,217
107,3366,-2449,222
108,3336,-2316,225
109,3328,-2256,229
110,3327,-2242,231
111,3329,-2102,233
112,3333,-2069,235
113,3368,-1865,235
114,3372,-1839,236
115,3407,-1718,242
116,3427,-1663,248
117,3455,-1599,250
118,3537,-1443,253
119,3549,-1426,253
120,3672,-1257,254
121,3707,-1215,255
122,3806,-1122,256
123,3920,-1036,257
124,3954,-1010,259
125,4025,-962,262
126,4027,-961,262
127,4151,-882,262
128,4227,-838,263
129,4338,-780,265
130,4390,-754,266
131,4575,-657,268
132,4679,-602,270
133,4733,-573,272
134,4844,-505,274
135,4860,-495,274
136,4944,-433,274
137,5044,-357,274
138,5130,-293,275
139,5163,-268,276
140,5238,-208,276
141,5425,-9,276
142,5448,19,277
143,5526,157,278
144,5550,204,278
145,5627,338,278
146,5641,362,279
147,5720,500,279
148,5795,616,279
149,5802,625,280
150,5870,712,280
151,5877,721,280
152,5999,838,279
153,6008,845,279
154,6100,904,278
155,6226,964,277
156,6288,992,277
157,6341,1017,277
158,6411,1057,277
159,6488,1119,278
160,6557,1196,273
161,6629,1312,269
162,6631,1316,268
163,6706,1488,268
164,6708,1492,266
165,6745,1623,264
166,6756,1685,264
167,6786,1815,265
168,6796,1855,266
169,6860,2050,265
170,6886,2104,264
171,6940,2202,264
172,6981,2263,255
173,7120,2412,247
174,7123,2414,243
175,7219,2494,240
176,7293,2547,237
177,7329,2570,236
178,7383,2602,236
179,7443,2635,234
180,7546,2683,233
181,7561,2690,233
182,7642,2720,234
183,7719,2741,234
184,7816,2754,235
185,7845,2756,235
186,7948,2754,235
187,7951,2754,235
188,8055,2741,235
189,8103,2730,235
190,8208,2698,236
191,8375,2631,237
192,8378,2630,239
193,8496,2573,241
194,8498,2573,242
195,8557,2541,243
196,8633,2495,244
197,8693,2465,244
198,8927,2372,245
199,8930,2372,243
200,9021,2343,241
201,9080,2337,227
202,9107,2334,224
203,9210,2329,221
204,9235,2333,218
205,9427,2406,214
206,9434,2409,210
207,9500,2450,208
208,9581,2504,206
209,9644,2550,207
210,9677,2577,208
211,9729,2626,211
212,9832,2746,215
213,9862,2782,218
214,9925,2858,221
