,X,Y,Speed
2,-7674,-6428,276
3,-7678,-6342,278
4,-7679,-6206,281
5,-7673,-6065,284
6,-7670,-6011,285
7,-7663,-5914,287
8,-7655,-5820,287
9,-7634,-5629,288
10,-7612,-5496,289
11,-7589,-5363,257
12,-7562,-5229,225
13,-7544,-5168,197
14,-7539,-5146,189
15,-7534,-5127,181
16,-7525,-5095,173
17,-7509,-5035,158
18,-7477,-4928,143
19,-7473,-4916,139
20,-7456,-4869,136
21,-7443,-4832,131
22,-7421,-4779,127
23,-7415,-4769,123
24,-7367,-4706,119
25,-7347,-4684,118
26,-7316,-4657,118
27,-7280,-4645,115
28,-7247,-4637,116
29,-7226,-4631,117
30,-7182,-4620,118
31,-7169,-4617,120
32,-7146,-4612,122
33,-7076,-4602,129
34,-7064,-4601,132
35,-7005,-4595,135
36,-6987,-4593,139
37,-6945,-4590,144
38,-6926,-4588,150
39,-6828,-4580,155
40,-6823,-4580,162
41,-6780,-4576,169
42,-6601,-4555,177
43,-6538,-4548,181
44,-6499,-4542,185
45,-6415,-4527,192
46,-6392,-4523,195
47,-6295,-4502,198
48,-6291,-4501,202
49,-6202,-4480,205
50,-6162,-4471,207
51,-6113,-4458,209
52,-6072,-4448,211
53,-5966,-4422,213
54,-5896,-4405,217
55,-5845,-4392,221
56,-5757,-4370,225
57,-5740,-4366,228
58,-5567,-4322,231
59,-5520,-4310,234
60,-5392,-4277,234
61,-5370,-4271,235
62,-5298,-4253,240
63,-5239,-4242,242
64,-5080,-4217,244
65,-5047,-4213,246
66,-4971,-4206,247
67,-4937,-4203,249
68,-4786,-4192,252
69,-4695,-4176,252
70,-4654,-4165,252
71,-4358,-4055,256
72,-4351,-4052,257
73,-4262,-4007,258
74,-4207,-3978,259
75,-4088,-3920,261
76,-4081,-3917,263
77,-3872,-3833,264
78,-3852,-3825,265
79,-3766,-3798,266
80,-3731,-3790,267
81,-3646,-3769,269
82,-3601,-3760,268
83,-3433,-3733,268
84,-3269,-3712,269
85,-3174,-3700,270
86,-3090,-3690,268
87,-3072,-3687,266
88,-2976,-3672,259
89,-2881,-3653,252
90,-2790,-3623,241
91,-2585,-3523,231
92,-2545,-3500,221
93,-2460,-3425,205
94,-2457,-3422,202
95,-2391,-3349,199
96,-2378,-3331,196
97,-2299,-3180,193
98,-2296,-3174,189
99,-2275,-3112,186
100,-2273,-3083,182
101,-2265,-3014,179
102,-2262,-2941,176
103,-2262,-2937,174
104,-2267,-2855,172
105,-2271,-2823,170
106,-2284,-2763,168
107,-2291,-2732,166
108,-2321,-2649,167
109,-2352,-2581,168
110,-2353,-2577,169
111,-2410,-2476,173
112,-2414,-2472,176
113,-2464,-2399,179
114,-2501,-2350,182
115,-2521,-2327,180
116,-2592,-2240,179
117,-2640,-2182,172
118,-2679,-2127,165
119,-2687,-2114,162
120,-2722,-2042,159
121,-2734,-2014,155
122,-2749,-1952,151
123,-2749,-1935,150
124,-2730,-1796,149
125,-2729,-1791,149
126,-2701,-1705,149
127,-2680,-1672,152
128,-2675,-1663,154
129,-2649,-1616,156
130,-2612,-1555,161
131,-2567,-1493,167
132,-2491,-1397,170
133,-2456,-1355,174
134,-2388,-1283,192
135,-2373,-1266,193
136,-2335,-1224,194
137,-2301,-1186,197
138,-2243,-1118,201
139,-2213,-1079,205
140,-2126,-958,208
141,-2097,-917,212
142,-2045,-838,220
143,-2025,-808,224
144,-1980,-744,228
145,-1969,-728,220
146,-1888,-619,212
147,-1854,-576,204
148,-1776,-478,184
149,-1736,-429,165
150,-1703,-391,145
151,-1693,-380,142
152,-1654,-336,139
153,-1647,-328,137
154,-1585,-265,109
155,-1578,-259,104
156,-1551,-237,99
157,-1544,-232,95
158,-1497,-206,91
159,-1459,-195,88
160,-1438,-197,84
161,-1376,-212,81
162,-1344,-224,78
163,-1333,-235,76
164,-1302,-259,74
165,-1301,-261,76
166,-1273,-293,79
167,-1255,-321,82
168,-1252,-328,86
169,-1232,-375,90
170,-1232,-378,92
171,-1214,-445,95
172,-1213,-447,98
173,-1188,-546,111
174,-1165,-621,124
175,-1151,-662,136
176,-1144,-684,142
177,-1128,-726,149
178,-1115,-761,154
179,-1088,-822,159
180,-1076,-850,154
181,-1057,-888,149
182,-1023,-948,130
183,-1011,-966,111
184,-1009,-970,105
185,-952,-1044,99
186,-934,-1067,92
187,-920,-1081,86
188,-904,-1093,79
189,-888,-1102,72
190,-859,-1118,64
191,-854,-1121,61
192,-851,-1122,59
193,-811,-1132,57
194,-795,-1129,55
195,-753,-1113,52
196,-745,-1105,49
197,-743,-1100,49
198,-739,-1090,49
199,-733,-1073,49
200,-732,-1069,49
201,-731,-1040,46
202,-732,-1026,44
203,-735,-1012,45
204,-741,-987,46
205,-742,-981,47
206,-749,-964,48
207,-750,-959,49
208,-773,-915,56
209,-774,-914,61
210,-788,-888,66
211,-804,-870,71
212,-852,-815,76
213,-862,-806,84
214,-881,-784,93
215,-894,-772,96
216,-901,-765,100
217,-950,-713,100
218,-995,-655,100
219,-1005,-642,100
220,-1028,-616,93
221,-1028,-565,93
222,-1027,-512,93
223,-1026,-487,93
224,-1017,-460,87
225,-1008,-452,86
226,-954,-384,86
227,-949,-378,86
228,-927,-359,86
229,-908,-348,89
230,-878,-328,93
231,-855,-316,99
232,-770,-275,106
233,-729,-256,114
234,-690,-239,123
235,-664,-230,126
236,-651,-225,130
237,-596,-205,130
238,-592,-203,131
239,-521,-185,121
240,-443,-170,115
241,-403,-165,110
242,-370,-169,104
243,-363,-171,100
244,-358,-172,97
245,-279,-214,94
246,-272,-222,92
247,-229,-293,90
248,-219,-322,90
249,-208,-352,91
250,-203,-377,93
251,-198,-402,96
252,-187,-676,108
253,-187,-685,120
254,-195,-775,139
255,-204,-854,158
256,-209,-897,160
257,-214,-941,163
258,-223,-1023,178
259,-227,-1057,178
260,-230,-1084,178
261,-237,-1148,186
262,-253,-1307,194
263,-255,-1319,200
264,-279,-1541,207
265,-280,-1546,212
266,-301,-1693,217
267,-309,-1735,219
268,-314,-1760,221
269,-330,-1831,224
270,-348,-1893,226
271,-378,-1989,229
272,-428,-2141,232
273,-432,-2151,235
274,-465,-2245,238
275,-488,-2301,240
276,-507,-2349,243
277,-553,-2465,245
278,-602,-2583,247
279,-612,-2604,248
280,-670,-2731,250
281,-683,-2759,252
282,-735,-2859,256
283,-740,-2868,256
284,-824,-3004,257
285,-844,-3033,258
286,-913,-3120,260
287,-1101,-3303,262
288,-1104,-3306,264
289,-1220,-3388,264
290,-1244,-3402,264
291,-1362,-3469,266
292,-1384,-3480,269
293,-1636,-3599,269
294,-1701,-3630,270
295,-1772,-3665,272
296,-1787,-3672,275
297,-1922,-3741,276
298,-2009,-3785,277
299,-2032,-3797,277
300,-2141,-3852,277
