,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,12
1,ALB,2.0,HARD,45
2,ALO,1.0,MEDIUM,13
3,ALO,2.0,HARD,24
4,ALO,3.0,HARD,21
5,BOT,1.0,MEDIUM,6
6,BOT,2.0,HARD,24
7,COL,1.0,MEDIUM,3
8,COL,2.0,HARD,23
9,DOO,1.0,MEDIUM,22
10,DOO,2.0,HARD,35
11,GAS,1.0,MEDIUM,14
12,GAS,2.0,HARD,44
13,HAM,1.0,HARD,34
14,HAM,2.0,MEDIUM,24
15,HUL,1.0,MEDIUM,13
16,HUL,2.0,HARD,45
17,LAW,1.0,MEDIUM,23
18,LAW,2.0,HARD,1
19,LAW,3.0,HARD,5
20,LAW,4.0,HARD,27
21,LEC,1.0,MEDIUM,20
22,LEC,2.0,HARD,38
23,MAG,1.0,MEDIUM,12
24,MAG,2.0,HARD,17
25,MAG,3.0,HARD,1
26,MAG,4.0,SOFT,25
27,MAG,5.0,SOFT,2
28,NOR,1.0,MEDIUM,26
29,NOR,2.0,HARD,32
30,PER,1.0,MEDIUM,1
31,PIA,1.0,MEDIUM,4
32,PIA,2.0,HARD,28
33,PIA,3.0,HARD,26
34,RUS,1.0,MEDIUM,26
35,RUS,2.0,HARD,32
36,SAI,1.0,MEDIUM,25
37,SAI,2.0,HARD,33
38,STR,1.0,MEDIUM,11
39,STR,2.0,HARD,21
40,STR,3.0,HARD,25
41,TSU,1.0,MEDIUM,22
42,TSU,2.0,HARD,35
43,VER,1.0,MEDIUM,29
44,VER,2.0,HARD,29
45,ZHO,1.0,MEDIUM,12
46,ZHO,2.0,HARD,27
47,ZHO,3.0,HARD,18
