,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,6
1,ALB,2.0,HARD,21
2,ALB,3.0,HARD,30
3,ALO,1.0,HARD,17
4,ALO,2.0,MEDIUM,24
5,ALO,3.0,HARD,17
6,BOT,1.0,MEDIUM,8
7,BOT,2.0,HARD,28
8,BOT,3.0,HARD,21
9,GAS,1.0,MEDIUM,17
10,GAS,2.0,HARD,24
11,GAS,3.0,HARD,16
12,HAM,1.0,SOFT,7
13,HAM,2.0,HARD,9
14,HUL,1.0,HARD,17
15,HUL,2.0,MEDIUM,18
16,HUL,3.0,HARD,23
17,LEC,1.0,MEDIUM,9
18,LEC,2.0,HARD,25
19,LEC,3.0,HARD,24
20,MAG,1.0,MEDIUM,7
21,MAG,2.0,HARD,26
22,MAG,3.0,HARD,24
23,NOR,1.0,MEDIUM,14
24,NOR,2.0,HARD,26
25,NOR,3.0,HARD,18
26,OCO,1.0,MEDIUM,9
27,OCO,2.0,HARD,7
28,OCO,3.0,HARD,26
29,OCO,4.0,HARD,15
30,PER,1.0,MEDIUM,14
31,PER,2.0,HARD,21
32,PER,3.0,HARD,23
33,PIA,1.0,MEDIUM,9
34,PIA,2.0,HARD,30
35,PIA,3.0,HARD,19
36,RIC,1.0,SOFT,5
37,RIC,2.0,HARD,24
38,RIC,3.0,HARD,28
39,RUS,1.0,MEDIUM,8
40,RUS,2.0,HARD,37
41,RUS,3.0,HARD,12
42,SAI,1.0,MEDIUM,16
43,SAI,2.0,HARD,25
44,SAI,3.0,HARD,17
45,STR,1.0,MEDIUM,8
46,STR,2.0,HARD,29
47,STR,3.0,HARD,21
48,TSU,1.0,MEDIUM,9
49,TSU,2.0,HARD,27
50,TSU,3.0,HARD,22
51,VER,1.0,MEDIUM,4
52,ZHO,1.0,SOFT,6
53,ZHO,2.0,HARD,29
54,ZHO,3.0,HARD,22
