,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,12
1,ALB,2.0,HARD,27
2,ALB,3.0,HARD,31
3,ALO,1.0,MEDIUM,11
4,ALO,2.0,MEDIUM,24
5,ALO,3.0,HARD,33
6,ALO,4.0,SOFT,2
7,BOT,1.0,MEDIUM,19
8,BOT,2.0,HARD,23
9,BOT,3.0,HARD,28
10,GAS,1.0,MEDIUM,20
11,GAS,2.0,HARD,22
12,GAS,3.0,MEDIUM,29
13,HAM,1.0,MEDIUM,21
14,HAM,2.0,HARD,32
15,HAM,3.0,MEDIUM,18
16,HUL,1.0,MEDIUM,11
17,HUL,2.0,HARD,28
18,HUL,3.0,HARD,32
19,LEC,1.0,MEDIUM,1
20,LEC,2.0,HARD,15
21,LEC,3.0,MEDIUM,17
22,LEC,4.0,MEDIUM,18
23,LEC,5.0,MEDIUM,20
24,MAG,1.0,MEDIUM,10
25,MAG,2.0,HARD,28
26,MAG,3.0,HARD,33
27,NOR,1.0,MEDIUM,23
28,NOR,2.0,HARD,28
29,NOR,3.0,MEDIUM,13
30,OCO,1.0,MEDIUM,19
31,OCO,2.0,HARD,24
32,OCO,3.0,MEDIUM,28
33,PER,1.0,MEDIUM,21
34,PER,2.0,HARD,30
35,PER,3.0,MEDIUM,20
36,PIA,1.0,MEDIUM,25
37,PIA,2.0,HARD,26
38,PIA,3.0,MEDIUM,20
39,RIC,1.0,MEDIUM,10
40,RIC,2.0,HARD,27
41,RIC,3.0,HARD,34
42,RUS,1.0,MEDIUM,22
43,RUS,2.0,MEDIUM,24
44,RUS,3.0,HARD,25
45,SAI,1.0,MEDIUM,22
46,SAI,2.0,HARD,25
47,SAI,3.0,MEDIUM,24
48,SAR,1.0,MEDIUM,1
49,SAR,2.0,MEDIUM,19
50,SAR,3.0,HARD,29
51,SAR,4.0,MEDIUM,20
52,STR,1.0,MEDIUM,20
53,STR,2.0,MEDIUM,23
54,STR,3.0,HARD,27
55,TSU,1.0,MEDIUM,21
56,TSU,2.0,HARD,23
57,TSU,3.0,HARD,26
58,VER,1.0,MEDIUM,23
59,VER,2.0,HARD,28
60,VER,3.0,MEDIUM,13
61,VER,4.0,SOFT,7
62,ZHO,1.0,HARD,28
63,ZHO,2.0,MEDIUM,23
64,ZHO,3.0,HARD,19
