,Driver,Stint,Compound,StintLength
0,ALB,1.0,SOFT,15
1,ALB,2.0,HARD,21
2,ALB,3.0,HARD,20
3,ALO,1.0,SOFT,15
4,ALO,2.0,HARD,26
5,ALO,3.0,HARD,16
6,BOT,1.0,SOFT,12
7,BOT,2.0,HARD,18
8,BOT,3.0,HARD,26
9,GAS,1.0,SOFT,12
10,GAS,2.0,HARD,19
11,GAS,3.0,HARD,12
12,GAS,4.0,SOFT,13
13,HAM,1.0,SOFT,12
14,HAM,2.0,HARD,21
15,HAM,3.0,HARD,24
16,HUL,1.0,SOFT,1
17,HUL,2.0,HARD,19
18,HUL,3.0,HARD,21
19,HUL,4.0,SOFT,15
20,LEC,1.0,SOFT,11
21,LEC,2.0,HARD,23
22,LEC,3.0,HARD,23
23,MAG,1.0,SOFT,11
24,MAG,2.0,HARD,21
25,MAG,3.0,HARD,24
26,NOR,1.0,SOFT,13
27,NOR,2.0,HARD,20
28,NOR,3.0,HARD,24
29,OCO,1.0,SOFT,10
30,OCO,2.0,HARD,20
31,OCO,3.0,HARD,26
32,PER,1.0,SOFT,12
33,PER,2.0,HARD,24
34,PER,3.0,SOFT,21
35,PIA,1.0,SOFT,12
36,PIA,2.0,HARD,22
37,PIA,3.0,HARD,23
38,RIC,1.0,SOFT,13
39,RIC,2.0,HARD,22
40,RIC,3.0,SOFT,21
41,RUS,1.0,SOFT,11
42,RUS,2.0,HARD,20
43,RUS,3.0,HARD,26
44,SAI,1.0,SOFT,14
45,SAI,2.0,HARD,21
46,SAI,3.0,HARD,22
47,SAR,1.0,SOFT,10
48,SAR,2.0,HARD,18
49,SAR,3.0,HARD,12
50,SAR,4.0,SOFT,15
51,STR,1.0,SOFT,9
52,STR,2.0,HARD,18
53,STR,3.0,HARD,30
54,TSU,1.0,SOFT,14
55,TSU,2.0,HARD,20
56,TSU,3.0,HARD,22
57,VER,1.0,SOFT,17
58,VER,2.0,HARD,20
59,VER,3.0,SOFT,20
60,ZHO,1.0,SOFT,9
61,ZHO,2.0,HARD,19
62,ZHO,3.0,HARD,28
