,Driver,Stint,Compound,StintLength
0,ALB,1.0,HARD,31
1,ALB,2.0,MEDIUM,20
2,ALO,1.0,MEDIUM,11
3,ALO,2.0,HARD,40
4,BEA,1.0,MEDIUM,14
5,BEA,2.0,HARD,37
6,BOT,1.0,MEDIUM,11
7,BOT,2.0,HARD,39
8,COL,1.0,MEDIUM,10
9,COL,2.0,HARD,41
10,GAS,1.0,HARD,50
11,GAS,2.0,SOFT,1
12,HAM,1.0,MEDIUM,12
13,HAM,2.0,HARD,39
14,HUL,1.0,MEDIUM,15
15,HUL,2.0,HARD,36
16,LEC,1.0,MEDIUM,16
17,LEC,2.0,HARD,35
18,NOR,1.0,HARD,37
19,NOR,2.0,MEDIUM,14
20,OCO,1.0,HARD,49
21,OCO,2.0,SOFT,1
22,PER,1.0,MEDIUM,13
23,PER,2.0,HARD,37
24,PIA,1.0,MEDIUM,15
25,PIA,2.0,HARD,36
26,RIC,1.0,HARD,49
27,RIC,2.0,SOFT,2
28,RUS,1.0,MEDIUM,12
29,RUS,2.0,HARD,39
30,SAI,1.0,MEDIUM,17
31,SAI,2.0,HARD,33
32,STR,1.0,MEDIUM,1
33,STR,2.0,HARD,21
34,STR,3.0,HARD,23
35,TSU,1.0,MEDIUM,12
36,TSU,2.0,HARD,2
37,VER,1.0,MEDIUM,12
38,VER,2.0,HARD,37
39,VER,3.0,SOFT,2
40,ZHO,1.0,HARD,34
41,ZHO,2.0,MEDIUM,17
