,Driver,Stint,Compound,StintLength
0,ALB,1.0,INTERMEDIATE,25
1,ALB,2.0,INTERMEDIATE,19
2,ALB,3.0,MEDIUM,9
3,ALO,1.0,INTERMEDIATE,25
4,ALO,2.0,INTERMEDIATE,19
5,ALO,3.0,HARD,26
6,BOT,1.0,INTERMEDIATE,42
7,BOT,2.0,MEDIUM,28
8,GAS,1.0,INTERMEDIATE,25
9,GAS,2.0,INTERMEDIATE,15
10,GAS,3.0,HARD,30
11,HAM,1.0,INTERMEDIATE,25
12,HAM,2.0,INTERMEDIATE,18
13,HAM,3.0,MEDIUM,11
14,HAM,4.0,HARD,16
15,HUL,1.0,WET,12
16,HUL,2.0,INTERMEDIATE,13
17,HUL,3.0,INTERMEDIATE,19
18,HUL,4.0,MEDIUM,26
19,LEC,1.0,INTERMEDIATE,25
20,LEC,2.0,INTERMEDIATE,3
21,LEC,3.0,HARD,3
22,LEC,4.0,INTERMEDIATE,10
23,MAG,1.0,WET,7
24,MAG,2.0,INTERMEDIATE,18
25,MAG,3.0,INTERMEDIATE,16
26,MAG,4.0,MEDIUM,13
27,MAG,5.0,MEDIUM,16
28,NOR,1.0,INTERMEDIATE,26
29,NOR,2.0,INTERMEDIATE,21
30,NOR,3.0,MEDIUM,23
31,OCO,1.0,INTERMEDIATE,44
32,OCO,2.0,MEDIUM,26
33,PER,1.0,INTERMEDIATE,25
34,PER,2.0,INTERMEDIATE,18
35,PER,3.0,MEDIUM,9
36,PIA,1.0,INTERMEDIATE,25
37,PIA,2.0,INTERMEDIATE,19
38,PIA,3.0,MEDIUM,26
39,RIC,1.0,INTERMEDIATE,26
40,RIC,2.0,INTERMEDIATE,17
41,RIC,3.0,MEDIUM,27
42,RUS,1.0,INTERMEDIATE,25
43,RUS,2.0,INTERMEDIATE,20
44,RUS,3.0,HARD,9
45,RUS,4.0,MEDIUM,16
46,SAI,1.0,INTERMEDIATE,25
47,SAI,2.0,INTERMEDIATE,18
48,SAI,3.0,MEDIUM,10
49,SAR,1.0,INTERMEDIATE,24
50,STR,1.0,INTERMEDIATE,25
51,STR,2.0,INTERMEDIATE,19
52,STR,3.0,HARD,26
53,TSU,1.0,INTERMEDIATE,44
54,TSU,2.0,MEDIUM,26
55,VER,1.0,INTERMEDIATE,25
56,VER,2.0,INTERMEDIATE,20
57,VER,3.0,MEDIUM,25
58,ZHO,1.0,INTERMEDIATE,24
59,ZHO,2.0,INTERMEDIATE,20
60,ZHO,3.0,MEDIUM,8
61,ZHO,4.0,MEDIUM,17
