,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,9
1,ALB,2.0,MEDIUM,14
2,ALB,3.0,HARD,33
3,ALO,1.0,MEDIUM,11
4,ALO,2.0,HARD,12
5,ALO,3.0,SOFT,20
6,ALO,4.0,MEDIUM,13
7,BOT,1.0,MEDIUM,9
8,BOT,2.0,HARD,11
9,GAS,1.0,MEDIUM,11
10,GAS,2.0,HARD,12
11,GAS,3.0,HARD,15
12,GAS,4.0,MEDIUM,18
13,HAM,1.0,SOFT,9
14,HAM,2.0,MEDIUM,12
15,HAM,3.0,HARD,35
16,HUL,1.0,MEDIUM,8
17,HUL,2.0,HARD,15
18,HUL,3.0,HARD,33
19,LEC,1.0,MEDIUM,21
20,LEC,2.0,HARD,35
21,MAG,1.0,HARD,17
22,MAG,2.0,HARD,10
23,MAG,3.0,MEDIUM,29
24,NOR,1.0,MEDIUM,22
25,NOR,2.0,HARD,34
26,OCO,1.0,MEDIUM,9
27,OCO,2.0,HARD,14
28,OCO,3.0,HARD,33
29,PER,1.0,MEDIUM,13
30,PER,2.0,HARD,10
31,PER,3.0,HARD,33
32,PIA,1.0,MEDIUM,16
33,PIA,2.0,MEDIUM,8
34,PIA,3.0,HARD,32
35,RIC,1.0,MEDIUM,14
36,RIC,2.0,MEDIUM,19
37,RUS,1.0,MEDIUM,11
38,RUS,2.0,MEDIUM,12
39,RUS,3.0,HARD,33
40,SAI,1.0,MEDIUM,17
41,SAI,2.0,HARD,39
42,SAR,1.0,SOFT,12
43,SAR,2.0,MEDIUM,12
44,SAR,3.0,HARD,32
45,STR,1.0,SOFT,9
46,STR,2.0,MEDIUM,12
47,STR,3.0,HARD,5
48,STR,4.0,MEDIUM,9
49,STR,5.0,HARD,21
50,TSU,1.0,SOFT,8
51,TSU,2.0,MEDIUM,15
52,TSU,3.0,HARD,4
53,VER,1.0,MEDIUM,13
54,VER,2.0,HARD,10
55,VER,3.0,HARD,33
56,ZHO,1.0,MEDIUM,8
57,ZHO,2.0,HARD,15
58,ZHO,3.0,HARD,17
59,ZHO,4.0,SOFT,16
