,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,12
1,ALB,2.0,HARD,42
2,ALB,3.0,MEDIUM,17
3,ALO,1.0,MEDIUM,31
4,ALO,2.0,HARD,40
5,BOT,1.0,SOFT,15
6,BOT,2.0,HARD,28
7,BOT,3.0,MEDIUM,27
8,GAS,1.0,MEDIUM,32
9,GAS,2.0,HARD,39
10,HAM,1.0,SOFT,23
11,HAM,2.0,HARD,25
12,HAM,3.0,SOFT,24
13,HUL,1.0,MEDIUM,14
14,HUL,2.0,HARD,57
15,LEC,1.0,MEDIUM,24
16,LEC,2.0,HARD,48
17,MAG,1.0,HARD,40
18,MAG,2.0,MEDIUM,31
19,NOR,1.0,MEDIUM,28
20,NOR,2.0,HARD,44
21,OCO,1.0,MEDIUM,30
22,OCO,2.0,HARD,41
23,PER,1.0,MEDIUM,29
24,PER,2.0,HARD,43
25,PIA,1.0,MEDIUM,33
26,PIA,2.0,HARD,39
27,RIC,1.0,MEDIUM,29
28,RIC,2.0,HARD,42
29,RUS,1.0,MEDIUM,25
30,RUS,2.0,HARD,29
31,RUS,3.0,SOFT,18
32,SAI,1.0,MEDIUM,30
33,SAI,2.0,HARD,42
34,SAR,1.0,MEDIUM,22
35,SAR,2.0,HARD,49
36,STR,1.0,MEDIUM,30
37,STR,2.0,HARD,41
38,TSU,1.0,SOFT,14
39,TSU,2.0,MEDIUM,18
40,TSU,3.0,HARD,39
41,VER,1.0,MEDIUM,27
42,VER,2.0,HARD,45
43,ZHO,1.0,MEDIUM,18
44,ZHO,2.0,HARD,33
45,ZHO,3.0,SOFT,19
