,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,8
1,ALB,2.0,HARD,23
2,ALB,3.0,HARD,38
3,ALO,1.0,MEDIUM,20
4,ALO,2.0,HARD,23
5,ALO,3.0,HARD,27
6,BOT,1.0,MEDIUM,9
7,BOT,2.0,HARD,31
8,BOT,3.0,HARD,29
9,GAS,1.0,SOFT,1
10,HAM,1.0,MEDIUM,16
11,HAM,2.0,HARD,33
12,HAM,3.0,MEDIUM,21
13,HUL,1.0,MEDIUM,16
14,HUL,2.0,HARD,22
15,HUL,3.0,HARD,31
16,LEC,1.0,MEDIUM,17
17,LEC,2.0,HARD,26
18,LEC,3.0,HARD,27
19,MAG,1.0,MEDIUM,14
20,MAG,2.0,HARD,27
21,MAG,3.0,HARD,28
22,NOR,1.0,MEDIUM,17
23,NOR,2.0,HARD,27
24,NOR,3.0,MEDIUM,26
25,OCO,1.0,MEDIUM,2
26,PER,1.0,HARD,24
27,PER,2.0,MEDIUM,18
28,PER,3.0,MEDIUM,28
29,PIA,1.0,MEDIUM,18
30,PIA,2.0,HARD,24
31,PIA,3.0,MEDIUM,28
32,RIC,1.0,MEDIUM,18
33,RIC,2.0,HARD,11
34,RIC,3.0,MEDIUM,40
35,RUS,1.0,HARD,28
36,RUS,2.0,MEDIUM,18
37,RUS,3.0,MEDIUM,24
38,SAI,1.0,SOFT,15
39,SAI,2.0,HARD,29
40,SAI,3.0,HARD,26
41,SAR,1.0,MEDIUM,13
42,SAR,2.0,HARD,21
43,SAR,3.0,HARD,33
44,STR,1.0,SOFT,9
45,STR,2.0,HARD,25
46,STR,3.0,HARD,35
47,TSU,1.0,SOFT,9
48,TSU,2.0,HARD,35
49,TSU,3.0,MEDIUM,25
50,VER,1.0,MEDIUM,23
51,VER,2.0,HARD,28
52,VER,3.0,MEDIUM,19
53,ZHO,1.0,MEDIUM,10
54,ZHO,2.0,HARD,28
55,ZHO,3.0,HARD,31
