,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,8
1,ALB,2.0,HARD,1
2,ALB,3.0,MEDIUM,14
3,ALB,4.0,MEDIUM,5
4,ALB,5.0,MEDIUM,23
5,ALO,1.0,SOFT,7
6,ALO,2.0,HARD,33
7,ALO,3.0,MEDIUM,19
8,ALO,4.0,SOFT,3
9,BOT,1.0,MEDIUM,8
10,BOT,2.0,HARD,54
11,GAS,1.0,SOFT,8
12,GAS,2.0,HARD,22
13,GAS,3.0,MEDIUM,32
14,HAM,1.0,MEDIUM,27
15,HAM,2.0,HARD,36
16,HUL,1.0,MEDIUM,13
17,HUL,2.0,HARD,49
18,LEC,1.0,MEDIUM,25
19,LEC,2.0,HARD,38
20,MAG,1.0,MEDIUM,37
21,MAG,2.0,HARD,25
22,NOR,1.0,MEDIUM,22
23,NOR,2.0,HARD,41
24,OCO,1.0,MEDIUM,25
25,OCO,2.0,HARD,37
26,PER,1.0,HARD,37
27,PER,2.0,MEDIUM,26
28,PIA,1.0,MEDIUM,23
29,PIA,2.0,HARD,40
30,RIC,1.0,MEDIUM,11
31,RIC,2.0,HARD,51
32,RUS,1.0,MEDIUM,21
33,RUS,2.0,HARD,31
34,RUS,3.0,MEDIUM,11
35,SAI,1.0,MEDIUM,27
36,SAI,2.0,HARD,36
37,SAR,1.0,HARD,31
38,SAR,2.0,MEDIUM,31
39,STR,1.0,MEDIUM,37
40,STR,2.0,HARD,26
41,TSU,1.0,MEDIUM,12
42,TSU,2.0,HARD,50
43,VER,1.0,MEDIUM,24
44,VER,2.0,HARD,39
45,ZHO,1.0,HARD,33
46,ZHO,2.0,MEDIUM,29
