,Driver,Stint,Compound,StintLength
0,ALB,1.0,SOFT,1
1,ALO,1.0,SOFT,1
2,ALO,2.0,SOFT,12
3,ALO,3.0,MEDIUM,20
4,ALO,4.0,HARD,20
5,BOT,1.0,SOFT,1
6,BOT,2.0,SOFT,5
7,BOT,3.0,HARD,16
8,BOT,4.0,HARD,30
9,GAS,1.0,SOFT,1
10,GAS,2.0,HARD,15
11,GAS,3.0,MEDIUM,16
12,GAS,4.0,HARD,20
13,HAM,1.0,MEDIUM,1
14,HAM,2.0,HARD,22
15,HAM,3.0,HARD,16
16,HAM,4.0,MEDIUM,14
17,HUL,1.0,SOFT,1
18,HUL,2.0,SOFT,4
19,HUL,3.0,HARD,28
20,HUL,4.0,HARD,19
21,LEC,1.0,MEDIUM,1
22,LEC,2.0,MEDIUM,25
23,LEC,3.0,HARD,27
24,MAG,1.0,MEDIUM,1
25,MAG,2.0,MEDIUM,21
26,MAG,3.0,HARD,30
27,NOR,1.0,MEDIUM,1
28,NOR,2.0,MEDIUM,10
29,NOR,3.0,HARD,15
30,NOR,4.0,HARD,27
31,OCO,1.0,SOFT,1
32,OCO,2.0,HARD,18
33,OCO,3.0,HARD,14
34,OCO,4.0,MEDIUM,19
35,PER,1.0,MEDIUM,1
36,PER,2.0,MEDIUM,14
37,PER,3.0,MEDIUM,18
38,PER,4.0,HARD,20
39,PIA,1.0,MEDIUM,1
40,PIA,2.0,MEDIUM,11
41,PIA,3.0,HARD,20
42,PIA,4.0,HARD,21
43,RIC,1.0,MEDIUM,1
44,RUS,1.0,MEDIUM,1
45,RUS,2.0,HARD,21
46,RUS,3.0,HARD,15
47,RUS,4.0,MEDIUM,16
48,SAI,1.0,MEDIUM,1
49,SAI,2.0,MEDIUM,14
50,SAI,3.0,MEDIUM,21
51,SAI,4.0,HARD,17
52,SAR,1.0,SOFT,1
53,SAR,2.0,HARD,21
54,SAR,3.0,HARD,12
55,SAR,4.0,MEDIUM,7
56,SAR,5.0,SOFT,11
57,STR,1.0,SOFT,1
58,STR,2.0,SOFT,11
59,STR,3.0,MEDIUM,10
60,STR,4.0,HARD,12
61,STR,5.0,SOFT,19
62,TSU,1.0,MEDIUM,1
63,TSU,2.0,SOFT,6
64,TSU,3.0,HARD,15
65,TSU,4.0,HARD,31
66,VER,1.0,MEDIUM,1
67,VER,2.0,MEDIUM,15
68,VER,3.0,MEDIUM,18
69,VER,4.0,HARD,19
70,ZHO,1.0,MEDIUM,1
71,ZHO,2.0,SOFT,6
72,ZHO,3.0,HARD,4
73,ZHO,4.0,HARD,1
