,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,10
1,ALB,2.0,HARD,43
2,ALB,3.0,SOFT,4
3,ALO,1.0,HARD,22
4,ALO,2.0,MEDIUM,35
5,BOT,1.0,SOFT,11
6,BOT,2.0,HARD,18
7,BOT,3.0,MEDIUM,28
8,GAS,1.0,MEDIUM,12
9,GAS,2.0,HARD,45
10,HAM,1.0,HARD,26
11,HAM,2.0,MEDIUM,31
12,HUL,1.0,MEDIUM,12
13,HUL,2.0,HARD,16
14,HUL,3.0,MEDIUM,29
15,LEC,1.0,MEDIUM,19
16,LEC,2.0,HARD,38
17,MAG,1.0,HARD,22
18,MAG,2.0,MEDIUM,6
19,MAG,3.0,MEDIUM,3
20,MAG,4.0,MEDIUM,26
21,NOR,1.0,MEDIUM,29
22,NOR,2.0,HARD,28
23,OCO,1.0,MEDIUM,22
24,OCO,2.0,HARD,35
25,PER,1.0,MEDIUM,17
26,PER,2.0,HARD,11
27,PER,3.0,MEDIUM,29
28,PIA,1.0,MEDIUM,27
29,PIA,2.0,HARD,13
30,PIA,3.0,MEDIUM,17
31,RIC,1.0,HARD,28
32,RIC,2.0,MEDIUM,29
33,RUS,1.0,MEDIUM,24
34,RUS,2.0,HARD,33
35,SAI,1.0,MEDIUM,27
36,SAI,2.0,HARD,30
37,SAR,1.0,MEDIUM,11
38,SAR,2.0,HARD,17
39,STR,1.0,MEDIUM,11
40,STR,2.0,HARD,17
41,STR,3.0,MEDIUM,29
42,TSU,1.0,MEDIUM,28
43,TSU,2.0,HARD,29
44,VER,1.0,MEDIUM,23
45,VER,2.0,HARD,34
46,ZHO,1.0,MEDIUM,28
47,ZHO,2.0,SOFT,29
