,Driver,Stint,Compound,StintLength
0,ALB,2.0,HARD,76
1,ALO,2.0,MEDIUM,75
2,BOT,2.0,MEDIUM,14
3,BOT,3.0,HARD,61
4,GAS,2.0,MEDIUM,76
5,HAM,2.0,MEDIUM,50
6,HAM,3.0,HARD,27
7,HUL,1.0,MEDIUM,1
8,LEC,2.0,HARD,77
9,MAG,1.0,HARD,1
10,NOR,2.0,HARD,77
11,OCO,1.0,HARD,1
12,PER,1.0,HARD,1
13,PIA,2.0,HARD,77
14,RIC,2.0,HARD,75
15,RUS,2.0,MEDIUM,77
16,SAI,2.0,HARD,77
17,SAR,2.0,HARD,56
18,SAR,3.0,MEDIUM,19
19,STR,2.0,MEDIUM,41
20,STR,3.0,HARD,6
21,STR,4.0,SOFT,28
22,TSU,2.0,HARD,76
23,VER,2.0,MEDIUM,51
24,VER,3.0,HARD,26
25,ZHO,2.0,HARD,69
26,ZHO,3.0,SOFT,6
