,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,17
1,ALB,2.0,HARD,36
2,ALO,1.0,MEDIUM,12
3,ALO,2.0,HARD,23
4,ALO,3.0,HARD,18
5,BOT,1.0,HARD,33
6,BOT,2.0,MEDIUM,19
7,COL,1.0,MEDIUM,16
8,COL,2.0,HARD,37
9,GAS,1.0,MEDIUM,10
10,GAS,2.0,HARD,20
11,GAS,3.0,HARD,22
12,HAM,1.0,MEDIUM,15
13,HAM,2.0,HARD,22
14,HAM,3.0,HARD,16
15,HUL,1.0,MEDIUM,5
16,HUL,2.0,HARD,27
17,HUL,3.0,HARD,20
18,LEC,1.0,MEDIUM,15
19,LEC,2.0,HARD,38
20,MAG,1.0,MEDIUM,14
21,MAG,2.0,HARD,39
22,NOR,1.0,MEDIUM,14
23,NOR,2.0,HARD,18
24,NOR,3.0,HARD,21
25,OCO,1.0,HARD,31
26,OCO,2.0,MEDIUM,21
27,PER,1.0,HARD,23
28,PER,2.0,HARD,12
29,PER,3.0,MEDIUM,18
30,PIA,1.0,MEDIUM,16
31,PIA,2.0,HARD,22
32,PIA,3.0,HARD,15
33,RIC,1.0,MEDIUM,11
34,RIC,2.0,HARD,42
35,RUS,1.0,MEDIUM,11
36,RUS,2.0,HARD,22
37,RUS,3.0,HARD,20
38,SAI,1.0,MEDIUM,19
39,SAI,2.0,HARD,34
40,STR,1.0,HARD,19
41,STR,2.0,HARD,17
42,STR,3.0,MEDIUM,14
43,STR,4.0,SOFT,2
44,TSU,1.0,HARD,7
45,VER,1.0,HARD,22
46,VER,2.0,HARD,19
47,VER,3.0,MEDIUM,12
48,ZHO,1.0,MEDIUM,15
49,ZHO,2.0,HARD,37
