,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,35
1,ALB,2.0,SOFT,1
2,ALB,3.0,SOFT,1
3,ALB,4.0,SOFT,18
4,ALB,5.0,SOFT,1
5,ALO,1.0,MEDIUM,35
6,ALO,2.0,HARD,1
7,ALO,3.0,MEDIUM,1
8,ALO,4.0,MEDIUM,20
9,BOT,1.0,MEDIUM,24
10,BOT,2.0,HARD,11
11,BOT,3.0,MEDIUM,1
12,BOT,4.0,MEDIUM,21
13,COL,1.0,UNKNOWN,1
14,GAS,1.0,MEDIUM,35
15,GAS,2.0,HARD,1
16,GAS,3.0,HARD,1
17,GAS,4.0,HARD,20
18,HAM,1.0,MEDIUM,34
19,HAM,2.0,HARD,1
20,HAM,3.0,HARD,1
21,HAM,4.0,HARD,11
22,HAM,5.0,HARD,10
23,HUL,1.0,HARD,1
24,HUL,2.0,HARD,30
25,HUL,3.0,MEDIUM,5
26,HUL,4.0,MEDIUM,1
27,HUL,5.0,MEDIUM,3
28,LAW,1.0,MEDIUM,35
29,LAW,2.0,HARD,1
30,LAW,3.0,HARD,1
31,LAW,4.0,HARD,3
32,LAW,5.0,SOFT,17
33,LEC,1.0,MEDIUM,35
34,LEC,2.0,HARD,1
35,LEC,3.0,HARD,1
36,LEC,4.0,HARD,20
37,MAG,1.0,MEDIUM,27
38,MAG,2.0,HARD,9
39,MAG,3.0,HARD,1
40,MAG,4.0,HARD,20
41,NOR,1.0,MEDIUM,35
42,NOR,2.0,HARD,1
43,NOR,3.0,HARD,1
44,NOR,4.0,HARD,8
45,NOR,5.0,HARD,12
46,OCO,1.0,UNKNOWN,1
47,PER,1.0,MEDIUM,35
48,PER,2.0,HARD,1
49,PER,3.0,HARD,1
50,PER,4.0,HARD,2
51,PIA,1.0,MEDIUM,34
52,PIA,2.0,HARD,2
53,PIA,3.0,HARD,1
54,PIA,4.0,HARD,20
55,RUS,1.0,MEDIUM,23
56,RUS,2.0,HARD,12
57,RUS,3.0,HARD,1
58,RUS,4.0,HARD,1
59,RUS,5.0,HARD,20
60,SAI,1.0,MEDIUM,34
61,SAI,2.0,HARD,2
62,SAI,3.0,HARD,1
63,SAI,4.0,HARD,20
64,STR,1.0,MEDIUM,1
65,STR,2.0,HARD,6
66,STR,3.0,HARD,1
67,TSU,1.0,MEDIUM,35
68,TSU,2.0,HARD,1
69,TSU,3.0,HARD,1
70,TSU,4.0,HARD,3
71,TSU,5.0,SOFT,17
72,VER,1.0,MEDIUM,35
73,VER,2.0,HARD,1
74,VER,3.0,HARD,1
75,VER,4.0,HARD,20
76,ZHO,1.0,MEDIUM,35
77,ZHO,2.0,HARD,1
78,ZHO,3.0,HARD,1
79,ZHO,4.0,HARD,20
